District,numParcel,available_land_sqft,TransitScore,mean_income,percentage_of_shi_units,numVacantParcel,available_land_sqft,TransitScore,mean_income,percentage_of_shi_units,numNonVacantParcel,available_land_sqft,TransitScore,mean_income,percentage_of_shi_units
14th Essex District,1,491128.0909,19,nan,12.65,,,,,,1,491128.0909,19,nan,12.65
14th Norfolk District,5,951335.8527,36.3,162032.6,6.57,,,,,,5,951335.8527,36.3,162032.6,6.57
14th Worcester District,16,4480986.229,21.375,26625.5,12.8,,,,,,16,4480986.229,21.375,26625.5,12.8
15th Essex District,6,143703.3818,51.16666667,66355.83333,9.75,1,33612.91166,56.5,67002,9.75,5,110090.4701,50.1,66226.6,9.75
16th Essex District,5,47412.24342,43.5,33753,14.97,3,61982.56836,43.5,34165,14.97,2,-14570.32494,43.5,33341,14.97
16th Middlesex District,15,104366.5489,38.9,45488.86667,12.38,5,30036.83884,38.1,44739.2,12.38,10,74329.71005,39.3,45863.7,12.38
16th Suffolk District,8,671138.4435,33.125,62612,8.8,,,,,,8,671138.4435,33.125,62612,8.8
17th Essex District,3,206750.6001,49.66666667,77681.66667,12.8,,,,,,3,206750.6001,49.66666667,77681.66667,12.8
17th Middlesex District,108,1206788.554,23.4537037,58180.49074,12.45,76,787405.4011,16.73026316,63300.13158,12.45,32,419383.1526,39.421875,46021.34375,12.45
18th Essex District,18,305697.022,50.47222222,81644,12.28,,,,,,18,305697.022,50.47222222,81644,12.28
18th Middlesex District,33,491305.577,47.83333333,27234.6875,12.5,15,81797.94434,46.53333333,14836,12.5,18,409507.6326,48.91666667,38174.70588,12.5
18th Worcester District,11,1656503.199,26.90909091,51392.90909,4.02,,,,,,11,1656503.199,26.90909091,51392.90909,4.02
19th Middlesex District,15,533920.2785,13.83333333,119055.8,10.04,3,94761.9243,5.5,120984.6667,10.04,12,439158.3542,15.91666667,118573.5833,10.04
19th Suffolk District,92,1015347.858,37.7173913,48667.98913,8.1,,,,,,92,1015347.858,37.7173913,48667.98913,8.1
1st Barnstable District,18,2524747.883,14.11111111,nan,6.07,5,220355.1608,17.2,nan,6.07,13,2304392.723,12.92307692,nan,6.07
1st Berkshire District,5,330792.1728,32.4,66591,9.16,,,,,,5,330792.1728,32.4,66591,9.16
1st Bristol District,36,3314351.141,16.51388889,113105.7222,11.16,,,,,,36,3314351.141,16.51388889,113105.7222,11.16
1st Essex District,13,746708.5101,50.57692308,73168,13.42,2,10385.93219,36,70063,13.42,11,736322.5779,53.22727273,73732.54545,13.42
1st Franklin District,13,835482.807,20.23076923,nan,3.36,3,201143.9618,5.833333333,nan,3.36,10,634338.8452,24.55,nan,3.36
1st Hampden District,2,485729.4609,19.5,52816,5.94,,,,,,2,485729.4609,19.5,52816,5.94
1st Hampshire District,24,1815364.929,41.5,66267.16667,10.72,,,,,,24,1815364.929,41.5,66267.16667,10.72
1st Middlesex District,8,1206934.229,13.875,112309.625,4.39,2,691448.9731,8.25,117438,4.39,6,515485.256,15.75,110600.1667,4.39
1st Norfolk District,4,20721.67134,32.625,79397,9.65,,,,,,4,20721.67134,32.625,79397,9.65
1st Plymouth District,4,183551.9969,25.125,72041.5,3.19,,,,,,4,183551.9969,25.125,72041.5,3.19
1st Worcester District,2,159904.6879,20.5,91118,4.82,1,29890.3235,21.5,91118,4.82,1,130014.3644,19.5,91118,4.82
20th Middlesex District,2,43561.46943,31.5,122373.5,9.92,,,,,,2,43561.46943,31.5,122373.5,9.92
21st Middlesex District,12,1047780.632,42.45833333,110615.5833,14.28,2,605860.7386,53,97482,14.28,10,441919.8934,40.35,113242.3,14.28
22nd Middlesex District,14,298637.6642,32.96428571,101622.5714,10.1,,,,,,14,298637.6642,32.96428571,101622.5714,10.1
23rd Middlesex District,12,604459.6638,37.25,94549,5.92,1,25337.90776,35.5,72763,5.92,11,579121.756,37.40909091,96529.54545,5.92
24th Middlesex District,64,1064205.902,57.90625,138523.2381,10.49,1,3939.443272,92,71250,10.49,63,1060266.459,57.36507937,139608.2903,10.49
25th Middlesex District,17,140754.4497,46.61764706,84474.17647,14.8,1,2172.103976,47,79615,14.8,16,138582.3457,46.59375,84777.875,14.8
26th Middlesex District,24,797097.057,47.02083333,77952.77273,12.86,7,51337.5356,46.07142857,77539,12.86,17,745759.5214,47.41176471,78107.9375,12.86
27th Middlesex District,6,-134706.4272,46.25,92305.83333,9.7,,,,,,6,-134706.4272,46.25,92305.83333,9.7
28th Middlesex District,31,488031.6448,41.53225806,47751.93548,6.36,,,,,,31,488031.6448,41.53225806,47751.93548,6.36
29th Middlesex District,23,91427.54302,67.93478261,85607.08696,12.53,8,30621.45981,86.8125,82499.875,12.53,15,60806.08321,57.86666667,87264.26667,12.53
2nd Barnstable District,64,1543678.322,31.1328125,nan,7.27,5,206412.0554,29.7,nan,7.27,59,1337266.267,31.25423729,nan,7.27
2nd Berkshire District,25,2018275.349,43.04,58050.33333,10.31,,,,,,25,2018275.349,43.04,58050.33333,10.31
2nd Bristol District,15,838471.2864,42.53333333,72774.33333,6.42,,,,,,15,838471.2864,42.53333333,72774.33333,6.42
2nd Essex District,9,1050759.665,27.44444444,99065,6.77,,,,,,9,1050759.665,27.44444444,99065,6.77
2nd Franklin District,19,1304317.341,22,61028.375,6.38,6,37388.20301,21.7,55600.5,6.38,13,1266929.138,22.11538462,62837.66667,6.38
2nd Hampden District,14,1293866.587,28.21428571,80393.28571,5,1,14814.83061,20.5,85943,5,13,1279051.756,28.80769231,79966.38462,5
2nd Hampshire District,2,416323.2864,37.75,64276,6.56,1,41955.51724,37,64276,6.56,1,374367.7692,38.5,64276,6.56
2nd Middlesex District,12,2268546.618,18.5,130925.1818,12.52,,,,,,12,2268546.618,18.5,130925.1818,12.52
2nd Norfolk District,23,2188784.72,28.82608696,30866.17391,9.61,,,,,,23,2188784.72,28.82608696,30866.17391,9.61
2nd Plymouth District,8,1478514.552,22.375,73160.625,6.78,,,,,,8,1478514.552,22.375,73160.625,6.78
2nd Suffolk District,7,125708.1445,40.21428571,53324.42857,19.28,1,10215.17178,45,47366,19.28,6,115492.9727,39.41666667,54317.5,19.28
2nd Worcester District,26,2185213.516,26.44230769,64142.88462,9.13,3,454626.2579,35.33333333,45636.33333,9.13,23,1730587.258,25.2826087,66556.78261,9.13
30th Middlesex District,6,75700.82802,56.08333333,92781.5,10.15,,,,,,6,75700.82802,56.08333333,92781.5,10.15
32nd Middlesex District,13,-51887.26882,43.80769231,108101.3846,7.96,,,,,,13,-51887.26882,43.80769231,108101.3846,7.96
34th Middlesex District,14,1612504.733,36.46428571,78767,8.69,2,5862.627914,30.5,90687.5,8.69,12,1606642.105,37.45833333,76780.25,8.69
35th Middlesex District,2,-16220.45497,41.75,84934.5,6.98,,,,,,2,-16220.45497,41.75,84934.5,6.98
36th Middlesex District,21,2260746.294,52.35714286,76703.57143,6.38,2,794901.5196,33,71235,6.38,19,1465844.774,54.39473684,77279.21053,6.38
37th Middlesex District,2,1223361.222,8,124651,4.55,,,,,,2,1223361.222,8,124651,4.55
3rd Barnstable District,37,1954464.874,14.04054054,nan,6.6,,,,,,37,1954464.874,14.04054054,nan,6.6
3rd Berkshire District,25,3621552.211,42.92,40258.44,9.21,5,123049.0683,38.3,38227.8,9.21,20,3498503.143,44.075,40766.1,9.21
3rd Bristol District,8,645691.613,58.875,46397.85714,6.55,3,370337.514,56.33333333,47233,6.55,5,275354.099,60.4,45771.5,6.55
3rd Essex District,10,512202.1846,45.55,42881,10,1,16093.87292,36.5,43140,10,9,496108.3117,46.55555556,42852.22222,10
3rd Middlesex District,5,739294.5163,30.3,76135.2,10.88,,,,,,5,739294.5163,30.3,76135.2,10.88
3rd Norfolk District,15,789552.7887,42.56666667,72867.13333,9.47,3,17036.98933,59,70288,9.47,12,772515.7994,38.45833333,73511.91667,9.47
3rd Plymouth District,2,93929.25064,26.25,88869.5,8.35,,,,,,2,93929.25064,26.25,88869.5,8.35
3rd Worcester District,26,1392734.034,44.48076923,49961.80769,8.68,2,9103.636058,72,18234,8.68,24,1383630.398,42.1875,52605.79167,8.68
4th Barnstable District,42,3084075.595,19.6547619,nan,6.06,6,604893.5775,6.916666667,nan,6.06,36,2479182.017,21.77777778,nan,6.06
4th Berkshire District,2,691127.5301,25.25,73610.5,3.89,1,542005.5545,3.5,75852,3.89,1,149121.9756,47,71369,3.89
4th Bristol District,6,2702807.105,10.25,97743.5,1.94,1,249359.5814,10,97464,1.94,5,2453447.523,10.3,97799.4,1.94
4th Essex District,14,1762257.92,21.67857143,96630.78571,7.58,,,,,,14,1762257.92,21.67857143,96630.78571,7.58
4th Hampden District,23,1048414.912,48.97826087,49917.13043,7.24,3,29969.83557,59,45022,7.24,20,1018445.077,47.475,50651.4,7.24
4th Middlesex District,11,257669.5903,16.95454545,103357.4545,11.99,,,,,,11,257669.5903,16.95454545,103357.4545,11.99
4th Norfolk District,9,1746318.813,25.38888889,81568.22222,8.01,,,,,,9,1746318.813,25.38888889,81568.22222,8.01
4th Plymouth District,5,1187783.938,14.1,124445,5.58,,,,,,5,1187783.938,14.1,124445,5.58
4th Worcester District,21,565808.6104,31.83333333,54516.7619,8.18,5,48846.10877,40.9,46133.4,8.18,16,516962.5016,29,57136.5625,8.18
5th Barnstable District,31,2390731.295,10.37096774,nan,6.63,13,500153.8621,4.346153846,nan,6.63,18,1890577.433,14.72222222,nan,6.63
5th Bristol District,8,484492.7435,17.125,81159.25,6.24,,,,,,8,484492.7435,17.125,81159.25,6.24
5th Essex District,22,1273891.128,47.31818182,53061.58824,7.04,5,55790.93106,45.9,43382,7.04,17,1218100.197,47.73529412,54352.2,7.04
5th Middlesex District,22,1470983.713,34.56818182,116355,10.49,5,56398.14069,32.3,116329.8,10.49,17,1414585.573,35.23529412,116362.4118,10.49
5th Norfolk District,7,203032.1762,47.14285714,101341.5,9.72,,,,,,7,203032.1762,47.14285714,101341.5,9.72
5th Plymouth District,3,882026.0856,33,86000,8.37,,,,,,3,882026.0856,33,86000,8.37
5th Worcester District,11,1032712.882,25.13636364,63909.81818,3.93,5,438675.5141,27.7,64513.8,3.93,6,594037.3676,23,63406.5,3.93
6th Bristol District,15,931420.417,33.1,49506.2,11.11,,,,,,15,931420.417,33.1,49506.2,11.11
6th Essex District,18,1112721.749,39.55555556,74378,11.61,,,,,,18,1112721.749,39.55555556,74378,11.61
6th Hampden District,7,1824855.506,33,50648.85714,9.23,2,18496.44757,36.5,48125,9.23,5,1806359.059,31.6,51658.4,9.23
6th Middlesex District,4,44493.30891,46.125,82795.25,10.41,,,,,,4,44493.30891,46.125,82795.25,10.41
6th Norfolk District,35,1725825.258,43.77142857,96021.74286,12.24,3,120617.5058,3,69868,12.24,32,1605207.752,47.59375,98473.65625,12.24
6th Plymouth District,21,2455269.38,11.28571429,107361.381,7.38,,,,,,21,2455269.38,11.28571429,107361.381,7.38
6th Worcester District,17,1346267.802,31.97058824,60126.64706,4.68,1,53704.65496,22.5,77480,4.68,16,1292563.147,32.5625,59042.0625,4.68
7th Bristol District,28,1449146.436,43.64285714,30341.21429,11.14,,,,,,28,1449146.436,43.64285714,30341.21429,11.14
7th Essex District,28,633784.9911,54.17857143,64422.14286,13.24,,,,,,28,633784.9911,54.17857143,64422.14286,13.24
7th Hampden District,19,1278125.454,35.52631579,65392.84211,8.65,2,161906.5953,16.75,80714,8.65,17,1116218.859,37.73529412,63590.35294,8.65
7th Middlesex District,21,2378907.088,45.64285714,48861.38095,9.09,,,,,,21,2378907.088,45.64285714,48861.38095,9.09
7th Norfolk District,4,131674.7899,26.125,122508.5,6.51,,,,,,4,131674.7899,26.125,122508.5,6.51
7th Plymouth District,11,2363397.304,16.22727273,91842.27273,5.21,1,328043.9157,6,87328,5.21,10,2035353.388,17.25,92293.7,5.21
7th Worcester District,33,1131976.075,19.65151515,90042.12121,4.46,,,,,,33,1131976.075,19.65151515,90042.12121,4.46
8th Bristol District,17,102480.0399,28.41176471,73382.23529,10.8,1,5759.273834,15.5,82500,10.8,16,96720.76609,29.21875,72812.375,10.8
8th Essex District,34,388054.8048,55.57352941,145464.9412,6.55,1,47138.87951,36.5,84107,6.55,33,340915.9253,56.15151515,147324.2727,6.55
8th Hampden District,6,161926.4917,36.16666667,37347.33333,10.37,3,187059.4401,25.33333333,40939.33333,10.37,3,-25132.94844,47,33755.33333,10.37
8th Middlesex District,10,1181849.557,14.1,134611.1,12.09,3,346731.5015,2.166666667,147396,12.09,7,835118.0558,19.21428571,129131.8571,12.09
8th Norfolk District,6,968661.9095,31.66666667,103592.1667,10.15,,,,,,6,968661.9095,31.66666667,103592.1667,10.15
8th Plymouth District,14,1904350.862,21.25,95884.57143,10.94,,,,,,14,1904350.862,21.25,95884.57143,10.94
8th Suffolk District,6,-60621.34317,52.16666667,106211.6667,14.8,,,,,,6,-60621.34317,52.16666667,106211.6667,14.8
8th Worcester District,14,2991253.142,14.35714286,91853.16667,5.22,2,227752.9941,3,101115,5.22,12,2763500.148,16.25,90000.8,5.22
9th Bristol District,112,2336318.826,25.92857143,66129.5,11.63,6,37522.63857,26.66666667,70764,11.63,106,2298796.188,25.88679245,65867.16981,11.63
9th Essex District,1,207373.6208,25.5,69725,12.06,,,,,,1,207373.6208,25.5,69725,12.06
9th Hampden District,6,2310689.19,47.33333333,42092.16667,16.48,,,,,,6,2310689.19,47.33333333,42092.16667,16.48
9th Norfolk District,3,1522776.622,17.16666667,100634.6667,8.68,,,,,,3,1522776.622,17.16666667,100634.6667,8.68
9th Plymouth District,72,1777771.805,36.24305556,37921.625,13.01,24,253062.8189,36.4375,46306.70833,13.01,48,1524708.986,36.14583333,33729.08333,13.01
9th Worcester District,6,3113597.354,18.5,115766.8,6.2,,,,,,6,3113597.354,18.5,115766.8,6.2
"Barnstable, Dukes & Nantucket District",28,2744715.377,36.94642857,89084.2381,6.02,9,1149832.418,33.83333333,96691.22222,6.02,19,1594882.959,38.42105263,83379,6.02
