Page,Order,Town_or_City,DHCD_ID,Project_Name,Address,Type,Total_SHI_Units,Affordability_Expires,Built_with_Comp_Permit,Subsidizing_Agency
224,12,Falmouth,9806,Shore Street,Shore Street,Rental,3,Perp,NO,"DHCD, HUD"
224,13,Falmouth,10234,Kelly Green Development,Pine Street,Ownership,2,Perp,YES,MassHousing
225,1,Falmouth,10235,Village at Old Main,41 Old Main Road,Ownership,2,Perp,YES,MassHousuing
225,2,Falmouth,10236,"Falmouth Housing Trust/St. Mark's, Rd Development",761 Teaticket Highway,Ownership,3,Perp,NO,DHCD
225,3,Falmouth,10237,Notantico Woods,5 Osham Way & 0 Woods Hole,Rental,11,Perp,YES,MHP
226,1,Fitchburg,1044,Town View Towers,16 Prichard St.,Rental,100,Perp,No,HUD
226,2,Fitchburg,1045,The Sundial,29 Merriam Parkway,Rental,168,2030,No,HUD
226,3,Fitchburg,1046,Green Acres Village,Normandy Road,Rental,160,Perp,No,DHCD
226,4,Fitchburg,1047,Canton Valley Terrace,Canton St.,Rental,48,Perp,No,DHCD
226,5,Fitchburg,1048,Daniel Heights,Daniel Heights,Rental,56,Perp,No,DHCD
226,6,Fitchburg,1049,Wallace Tower,54 Wallace Avenue,Rental,130,Perp,No,DHCD
226,7,Fitchburg,1050,n/a,132 Pleasant St.,Rental,10,Perp,No,DHCD
226,8,Fitchburg,1051,Durkin Apts,50 Day St.,Rental,123,Perp,No,DHCD
226,9,Fitchburg,1052,Elizabeth House,76 Mechanic St,Rental,8,Perp,No,DHCD
226,10,Fitchburg,1053,n/a,16 Prospect St.,Rental,10,Perp,No,DHCD
226,11,Fitchburg,1054,n/a,240 Ashburnham St.,Rental,8,Perp,Yes,DHCD
226,12,Fitchburg,1055,n/a,"Almount/Arlington/Ashburnham/Clinton,etc.",Rental,15,Perp,No,DHCD
226,13,Fitchburg,1056,Apple Tree Residences,135 Apple Tree Rd,Rental,4,Perp,No,EOHHS
226,14,Fitchburg,1057,Blossom Court Apts,37-43 Blossom St. (40 Day St?),Rental,22,2022,No,DHCD
227,1,Fitchburg,1057,Blossom Court Apts,37-43 Blossom St. (40 Day St?),Rental,22,2022,No,MassHousing
227,2,Fitchburg,1058,Brigham Park,69 Brigham Park,Rental,7,2021,No,DHCD
227,3,Fitchburg,1060,Fitchburg Green,"350 Water St, 370 Water St (A-F), 110 Middle St (A-F)",Rental,159,2031*,No,MassHousing
227,4,Fitchburg,1062,Glen Avenue,9 Glen Ave,Rental,5,2096,No,EOHHS
227,5,Fitchburg,1063,Hotel Raymond,35 Day St.,Rental,74,11/11/23,Yes,HUD
227,6,Fitchburg,1064,Joseph's House,129 or 279 Daniels St,Rental,140,2032*,No,MassHousing
227,7,Fitchburg,1065,Lower Main St. Nghd Restoration,"90-92 Day, 111-121 Green, 20-22 Orange, 94 Myrtle, 1-3-5 Wood",Rental,17,2029,No,DHCD
227,8,Fitchburg,1066,Meadowbrook Village,Wannoosac Road or Meadowbrook Lane,Rental,35,2032*,No,HUD
227,9,Fitchburg,1068,Tara Condominiums,105 Plymouth St,Rental,12,2053,No,"DHCD, DHCD, DHCD"
227,10,Fitchburg,1069,Rollstone House,4 Leighton Street,Rental,12,2023,No,"DHCD, HUD"
227,11,Fitchburg,1070,West View Condominiums,33 Huron St,Ownership,11,Perp,No,DHCD
228,1,Fitchburg,1071,Fair Clare,128 Fairmount/42 Clarendon,Ownership,15,2044,No,"DHCD, HUD"
228,2,Fitchburg,3765,Mount Vernon Housing,24 Mt. Vernon St,Rental,3,2041,No,HUD
228,3,Fitchburg,3802,Normandin Properties,48-56 Oliver St,Rental,10,2018,No,MHP
228,4,Fitchburg,4279,DDS Group Homes,Confidential,Rental,56,N/A,No,DDS
228,5,Fitchburg,4560,DMH Group Homes,Confidential,Rental,30,N/A,No,DMH
228,6,Fitchburg,6514,Plymouth Street Phase II,Clarendon Street,Ownership,1,19-Jun,No,HUD
228,7,Fitchburg,6515,Plymouth Street Phase II,Orchard Street,Ownership,1,19-Jun,No,HUD
228,8,Fitchburg,6516,Plymouth Street Phase II,Orchard Street,Ownership,1,19-Jun,No,HUD
228,9,Fitchburg,6517,Plymouth Street Phase II,Plymouth Street,Ownership,1,19-Jun,No,HUD
228,10,Fitchburg,6519,Fitchburg HOR Program,Highland Avenue,Ownership,1,9/11/17,No,DHCD
228,11,Fitchburg,6520,Fitchburg HOR Program,Columbus Street,Ownership,1,4/3/18,No,DHCD
228,12,Fitchburg,6521,Fitchburg HOR Program,Arlington Street,Ownership,1,6/8/19,No,DHCD
228,13,Fitchburg,6522,Fitchburg HOR Program,Boylston Street,Ownership,1,10/13/20,No,DHCD
229,1,Fitchburg,6523,Fitchburg HOR Program,Clyde Street,Ownership,1,2/5/22,No,DHCD
229,2,Fitchburg,6524,Fitchburg HOR Program,Rainville Avenue,Ownership,1,5/13/22,No,DHCD
229,3,Fitchburg,6525,Fitchburg HOR Program,Vernon Court,Ownership,1,7/11/22,No,DHCD
229,4,Fitchburg,6526,Fitchburg HOR Program,Beech Street,Ownership,1,12/1/22,No,DHCD
229,5,Fitchburg,6527,Fitchburg HOR Program,Pearl Street,Ownership,1,1/17/23,No,DHCD
229,6,Fitchburg,6528,Fitchburg HOR Program,Winter Street,Ownership,1,4/8/23,No,DHCD
229,7,Fitchburg,6529,Fitchburg HOR Program,Mount Vernon,Ownership,1,4/16/23,No,DHCD
229,8,Fitchburg,6530,Fitchburg HOR Program,Sanborn Street,Ownership,1,5/5/23,No,DHCD
229,9,Fitchburg,6531,Fitchburg HOR Program,Milk Street,Ownership,1,9/4/23,No,DHCD
229,10,Fitchburg,6532,Fitchburg HOR Program,Water Street,Ownership,1,11/12/23,No,DHCD
229,11,Fitchburg,6533,Fitchburg HOR Program,Mount Globe Street,Ownership,1,12/15/23,No,DHCD
229,12,Fitchburg,6534,Fitchburg HOR Program,South Street,Ownership,1,12/22/23,No,DHCD
229,13,Fitchburg,6535,Fitchburg HOR Program,Fourth Street,Ownership,1,2/1/24,No,DHCD
229,14,Fitchburg,6536,Fitchburg HOR Program,Dumais Street,Ownership,1,4/8/24,No,DHCD
230,1,Fitchburg,6537,Fitchburg HOR Program,Sheridan Street,Ownership,1,6/23/24,No,DHCD
230,2,Fitchburg,6538,Fitchburg HOR Program,River Street,Ownership,1,7/20/24,No,DHCD
230,3,Fitchburg,6539,Fitchburg HOR Program,Myrtle Avenue,Ownership,1,9/8/24,No,DHCD
230,4,Fitchburg,6540,Fitchburg HOR Program,Chestnut Street,Ownership,1,12/16/24,No,DHCD
230,5,Fitchburg,6541,Fitchburg HOR Program,Mount Vernon,Ownership,1,12/20/25,No,DHCD
230,6,Fitchburg,6542,Fitchburg HOR Program,Beach Street,Ownership,1,1/16/26,No,DHCD
230,7,Fitchburg,6543,Fitchburg HOR Program,Rollstone Street,Ownership,1,6/15/26,No,DHCD
230,8,Fitchburg,6544,Fitchburg HOR Program,Snow Street,Ownership,1,10/2/26,No,DHCD
230,9,Fitchburg,6545,Fitchburg HOR Program,Allen Place,Ownership,1,11/15/26,No,DHCD
230,10,Fitchburg,6546,Fitchburg HOR Program,Brier Street,Ownership,1,11/22/26,No,DHCD
230,11,Fitchburg,6547,Fitchburg HOR Program,Townsend Street,Ownership,1,4/2/27,No,DHCD
230,12,Fitchburg,6548,Fitchburg HOR Program,Brigham Street,Ownership,1,4/8/28,No,DHCD
230,13,Fitchburg,6549,Fitchburg HOR Program,Cane Street,Ownership,1,12/3/28,No,DHCD
230,14,Fitchburg,6550,Fitchburg HOR Program,Hazel Street,Ownership,1,1/25/29,No,DHCD
231,1,Fitchburg,6551,Fitchburg HOR Program,Sanborn Street,Ownership,1,4/27/29,No,DHCD
231,2,Fitchburg,6552,Fitchburg HOR Program,Pacific Street,Ownership,1,4/16/33,No,DHCD
232,1,Florida,4280,DDS Group Homes,Confidential,Rental,0,N/A,No,DDS
233,1,Foxborough,1072,Centennial Court,41 Centennial Court,Rental,40,Perp,No,DHCD
233,2,Foxborough,1073,N. Carl Annon Court I,90 N. Carl Annon Ct.,Rental,64,Perp,No,DHCD
233,3,Foxborough,1074,n/a,65-67 Walnut Street,Rental,8,Perp,No,DHCD
233,4,Foxborough,1075,n/a,Scattered sites,Rental,9,Perp,Yes,DHCD
233,5,Foxborough,1076,Walnut Terrace,1-12 Walnut Terrace,Rental,12,Perp,No,DHCD
233,6,Foxborough,1077,n/a,Scattered sites,Rental,20,Perp,No,DHCD
233,7,Foxborough,1078,N. Carl Annon Court II,90 Carl Annon Ct.,Rental,64,2020*,No,HUD
233,8,Foxborough,4281,DDS Group Homes,Confidential,Rental,67,N/A,No,DDS
233,9,Foxborough,6474,Cocasset Place Condos,84 Cocasset Place,Ownership,2,perp,Yes,MassHousing
233,10,Foxborough,8688,Baker Street,"56, 64, & 68 Baker Street",Rental,20,perp,YES,"DHCD, DHCD, MassHousing"
233,11,Foxborough,9031,The Lodge at Foxborough,400 Foxborough Blvd,Rental,250,Perp,YES,MassHousing
233,12,Foxborough,9214,Chestnut Green Apartments,30 Chestnut St,Rental,55,Perp,NO,DHCD
234,1,Foxborough,9932,Domain Foxborough,Fisher St & South High St,Rental,248,Perp,YES,MassHousing
234,2,Foxborough,10193,Wyman Village,8 Community Way,Ownership,1,Perp,YES,NA
234,3,Foxborough,10194,Nadia Estates,Morris Street,Ownership,5,Perp,YES,MassHousing
235,1,Framingham,1079,Beaver Street Apts,Carlson/Beaver/Pusan Sts.,Rental,125,Perp,No,HUD
235,2,Framingham,1080,Brady Street Apts,John J. Brady Dr.,Rental,110,Perp,No,HUD
235,3,Framingham,1081,n/a,"2-74 Pearl Harbor Rd, 2-42 Anzio Rd, 3- 25 Arsenal Rd, 554-596 Concord St, 1- 35 Normandy Rd",Rental,110,Perp,No,DHCD
235,4,Framingham,1082,n/a,"3-61 St. Lo Rd, 32-49 Guadacanal Rd, 1- 9 Corregidor Rd, 64 Arsenal Rd.",Rental,75,Perp,No,DHCD
235,5,Framingham,1083,n/a,2-12 Oran Road,Rental,25,Perp,No,DHCD
235,6,Framingham,1084,n/a,"39-53 Everit Ave, 15-23 John J. Gallagher Dr, 130 Grant St",Rental,40,Perp,No,DHCD
235,7,Framingham,1085,n/a,29-54 Arsenal Road,Rental,80,Perp,No,DHCD
235,8,Framingham,1086,n/a,"37-39 Normandy Rd, 2-32 Arsenal Rd.",Rental,80,Perp,No,DHCD
235,9,Framingham,1087,n/a,Rose Kennedy Lane,Rental,204,Perp,No,DHCD
235,10,Framingham,1088,Hastings House,115 Cochituate Road,Rental,72,Perp,No,DHCD
235,11,Framingham,1089,Memorial House,317 Hollis St.,Rental,60,Perp,Yes,DHCD
235,12,Framingham,1090,n/a,40 Temple Place,Rental,8,Perp,No,DHCD
235,13,Framingham,1091,n/a,24 Underwood Ave.,Rental,8,Perp,No,DHCD
236,1,Framingham,1092,n/a,85 Alexander Road,Rental,8,Perp,No,DHCD
236,2,Framingham,1093,n/a,Scattered sites,Rental,6,Perp,No,"DHCD, DHCD"
236,3,Framingham,1096,22-40 Pine Street,2 Pine Place,Rental,11,2026*,No,HUD
236,4,Framingham,1098,Advocates,Hollis Street,Rental,4,2027,No,EOHHS
236,5,Framingham,1099,Beaver Park Apts I &II,Second Street,Rental,228,7/1/30,No,"DHCD/, MassHousing"
236,6,Framingham,1100,"Beaver Park Apts I, II setaside",Beaver Park Road,Rental,58,perp,No,"DHCD, DHCD"
236,7,Framingham,1101,Beaver Terrace Apartments,1A-7B Beaver Terrace Cir (Second St?),Rental,254,2032*,No,HUD
236,8,Framingham,1102,Claflin House,40 Taylor St.,Rental,40,perp,Yes,HUD
236,9,Framingham,1103,Cochituate Cooperative Homes,Second Street (or 1A-37L Interfaith Terrace?),Ownership,161,2018*,No,HUD
236,10,Framingham,1104,Edmands House,15 Edmands Rd.,Rental,190,2033*,No,MassHousing
236,11,Framingham,1105,Evergreen St. SRO,40 Evergreen Street,Rental,17,Perp,No,DHCD
236,12,Framingham,1106,Foundations Project,"10-12 Coburn St, 50-52 Highland St.",Rental,6,2028,No,DHCD
237,1,Framingham,1106,Foundations Project,"10-12 Coburn St, 50-52 Highland St.",Rental,6,2028,No,HUD
237,2,Framingham,1107,Framingham Green,136-138 Maynard Road,Rental,111,2034*,Yes,MassHousing
237,3,Framingham,1108,Irving House,90-92 Irving Street,Rental,16,2032,No,"DHCD, FHLBB"
237,4,Framingham,1109,Irving Square Apts,73-79 Irving St.,Rental,46,perp,Yes,HUD
237,5,Framingham,1110,Irving Street Apts,81 Irving St.,Rental,11,2033*,No,HUD
237,6,Framingham,1111,New Beginnings at Bethany Hill,89 Bethany Road,Rental,42,2020*,No,HUD
237,7,Framingham,1112,Normandy Arms,15-17 Second St,Rental,44,2033,No,DHCD
237,8,Framingham,1113,Pine Street SRO,10-12 Pine St.,Rental,15,2028,No,DHCD
237,9,Framingham,1114,Saxonville Village,1559 Concord Street,Rental,76,2031*,No,"HUD, HUD"
237,10,Framingham,1115,Sherwood Park,102 Phelps Road,Rental,81,2018*,No,HUD
237,11,Framingham,1116,South Street,"43,47,51 South St",Rental,10,Perp,No,DHCD
237,12,Framingham,1117,The Tribune,46-82 Irving St.,Rental,53,perp,Yes,HUD
238,1,Framingham,1118,Duffett Road,Duffett Road,Ownership,1,2094,No,HUD
238,2,Framingham,1119,Earnes Street,Earnes Street,Ownership,1,2100,No,HUD
238,3,Framingham,1120,Kendall Avenue,Kendall Avenue,Ownership,1,2094,No,HUD
238,4,Framingham,1121,Mayo Street,Mayo Street,Ownership,1,2094,No,HUD
238,5,Framingham,1122,Edith Street,Edith Street,Ownership,1,2095,No,HUD
238,6,Framingham,1123,Allah Street,Allah Street,Ownership,1,2096,No,HUD
238,7,Framingham,1124,Waverly Street,Waverly Street,Ownership,2,2087,No,HUD
238,8,Framingham,1125,Second Street,Second Street,Ownership,1,2033,No,HUD
238,9,Framingham,1131,DMH Group Homes,Confidential,Rental,50,N/A,No,DMH
238,10,Framingham,1132,DDS Group Homes,Confidential,Rental,141,N/A,No,DDS
238,11,Framingham,1133,Kendall Street,86 Kendall Street,Rental,5,2019,No,DHCD
238,12,Framingham,1134,Walnut Street,Walnut Street,Rental,1,2026,No,HUD
238,13,Framingham,1135,Habitat for Humanity,Weld Street,Ownership,1,perp,No,DHCD
238,14,Framingham,6571,Prior Drive,Prior Drive,Ownership,1,2053,No,DHCD
239,1,Framingham,8831,76 Clark St Project,76 Clark St,Rental,8,2057,NO,DHCD
239,2,Framingham,8996,Shillman House,49 Edmands Road,Rental,150,perp,YES,"HUD, MassHousing, DHCD"
239,3,Framingham,10059,Lawrence St,Lawrence St,Rental,2,2032,NO,DHCD
239,4,Framingham,10060,Beaver St,Beaver St,NA,2,2032,NO,DHCD
239,5,Framingham,10061,Coburn St,Coburn St,Rental,2,2031,NO,HUD
239,6,Framingham,10197,Clarks Hill Village,3R Clarks Hill St & 18 Arthur St,Ownership,0,Perp,NO,DHCD
239,7,Framingham,10198,Danforth Green,off River Path Drive,Mix,0,Perp,NO,DHCD
239,8,Framingham,10200,73-75 Hollis St,73-75 Hollis St,Rental,0,Perp,YES,"DHCD, HUD"
240,1,Franklin,1136,n/a,Park St.,Rental,28,Perp,No,DHCD
240,2,Franklin,1137,n/a,Central Park Terrace,Rental,40,Perp,No,DHCD
240,3,Franklin,1138,n/a,Central Park Terrace,Rental,40,Perp,No,DHCD
240,4,Franklin,1139,n/a,Central Park Terrace,Rental,56,Perp,No,DHCD
240,5,Franklin,1140,n/a,Winter Street,Rental,4,Perp,No,DHCD
240,6,Franklin,1141,n/a,Winter St.,Rental,25,Perp,No,DHCD
240,7,Franklin,1142,n/a,192 Brook Street,Rental,8,Perp,No,DHCD
240,8,Franklin,1143,n/a,Walnut St.,Rental,6,Perp,No,DHCD
240,9,Franklin,1144,Beaver Court,Beaver Court,Ownership,9,Perp,Yes,DHCD
240,10,Franklin,1145,Benjamin's Landing,Benjamin's Landing Lane,Ownership,15,Perp,No,DHCD
240,11,Franklin,1146,Dover Farms,Palomino Drive,Ownership,19,2040,Yes,DHCD
240,12,Franklin,1147,Glen Meadow,139 Glen Meadow Rd/Chestnut St,Rental,288,2047*,No,"DHCD, MassHousing"
240,13,Franklin,1149,Franklin Commons,575 East Central Street,Rental,96,Perp,Yes,MHP
241,1,Franklin,1149,Franklin Commons,575 East Central Street,Rental,96,Perp,Yes,"DHCD, DHCD, DHCD"
241,2,Franklin,3820,Residences at Union Place,Independence Way (formerly Upper Union St),Rental,300,Perp,Yes,MassHousing
241,3,Franklin,3821,The Woodlands,Falagia Street (off Stonehedge Road),Ownership,4,2054,Yes,DHCD
241,4,Franklin,4283,DDS Group Homes,Confidential,Rental,22,N/A,No,DDS
241,5,Franklin,5097,n/a,Grove Street,Rental,0,Perp,No,DHCD
241,6,Franklin,5702,Union Square,301 Union Street,Rental,0,5/14/24,No,DHCD
241,7,Franklin,5704,Metacomet Land Trust,Lewis Street,Ownership,1,2090,No,DHCD
241,8,Franklin,5705,Metacomet Land Trust,School Street,Ownership,1,2091,No,DHCD
241,9,Franklin,5706,Metacomet Land Trust,Lincoln Street,Ownership,1,2091,No,DHCD
241,10,Franklin,5707,Metacomet Land Trust,Maple Street,Ownership,1,2091,No,DHCD
241,11,Franklin,5708,Metacomet Land Trust,Rolling Ridge,Ownership,1,2091,No,DHCD
241,12,Franklin,5709,Metacomet Land Trust,Summer Street,Ownership,1,2091,No,DHCD
242,1,Franklin,5710,Metacomet Land Trust,Summer Street,Ownership,1,2091,No,DHCD
242,2,Franklin,6104,Brandywine Village,Brandywine Road (off Populatic St),Ownership,16,perp,Yes,FHLBB
242,3,Franklin,7630,Franklin Heights Estates,between Lincoln & Daniels Street,Ownership,18,perp,Yes,DHCD
242,4,Franklin,8698,The Villages at Oak Hill,61 Innsbruck Way,Ownership,6,perp,NO,DHCD
242,5,Franklin,8710,Eaton Place,Off Panther Way,Rental,50,perp,YES,HUD
242,6,Franklin,9019,Hidden Acres Village,Longobardi Drive,Ownership,2,Perp,NO,DHCD
242,7,Franklin,9282,Meadowbrook Heights,Grey Wolfe Drive,Ownership,9,Perp,NO,DHCD
242,8,Franklin,9841,Weston Woods,1330-1342 West Central Street,Rental,280,perp,YES,"NA, MassHousing, MassHousing, Mass Housing"
242,9,Franklin,9853,"Affordable Housing Trust Home, Preservation Program",Landry Street,Ownership,1,perp,NO,DCHD
242,10,Franklin,9854,"Affordable Housing Trust Home, Preservation Program",Chestnut Street,Ownership,1,perp,NO,DHCD
243,1,Franklin,9930,"Affordable Housing Trust Home, Preservation Program",Arlington Street,Ownership,1,Perp,NO,DHCD
243,2,Franklin,9931,"Affordable Housing Trust Home, Preservation Program",Beaver Court,Ownership,1,Perp,NO,DHCD
244,1,Freetown,1150,NA,Winfield Street,Rental,4,2024,No,EOHHS
244,2,Freetown,1152,Leslie Lane,Lesley Lane,Rental,4,2030,No,"DHCD, FHLBB, MHP"
244,3,Freetown,4284,DDS Group Homes,Confidential,Rental,72,N/A,No,DDS
244,4,Freetown,4783,The Purchase,Freeman Circle,Ownership,6,Perp,Yes,FHLBB
245,1,Gardner,1153,n/a,Spruce/Birch/Cypress,Rental,41,Perp,No,DHCD
245,2,Gardner,1154,n/a,Waterford St.,Rental,26,Perp,No,DHCD
245,3,Gardner,1155,n/a,Blanchard St.,Rental,84,Perp,No,DHCD
245,4,Gardner,1156,n/a,104 Church Street,Rental,69,Perp,No,DHCD
245,5,Gardner,1157,n/a,Church St.,Rental,108,Perp,No,DHCD
245,6,Gardner,1158,n/a,10-56 Boulder Drive,Rental,7,Perp,Yes,DHCD
245,7,Gardner,1159,n/a,Pearl Street,Rental,1,Perp,No,DHCD
245,8,Gardner,1160,n/a,10-56 Boulder Drive,Rental,13,Perp,Yes,DHCD
245,9,Gardner,1161,Binnall House Apartments,85-137 Connors St.,Rental,134,1/14/23,No,"MassHousing, HUD"
245,10,Gardner,1162,Colonial Apartments,19 City Hall Ave,Rental,31,Perp,No,"MassHousing, DHCD, DHCD"
245,11,Gardner,1164,Gardner House,35 Catherine Street,Rental,9,9/30/21,No,HUD
246,1,Gardner,1165,Graham Street,27-29 Graham Street,Rental,38,2018*,No,"DHCD, HUD"
246,2,Gardner,1166,Heywood Wakefield Village,Lake St./ 194 Central St,Rental,171,2042,No,"DHCD, HUD"
246,3,Gardner,1167,Nichols Street,134 Nichols Street,Rental,12,2029,No,"DHCD, DHCD, FHLBB"
246,4,Gardner,1168,Olde English Village,Manca Drive; Hemlock Dr,Rental,200,2038,No,"DHCD, HUD"
246,5,Gardner,1170,Unity House Veterans SRO,52 South Main St,Rental,16,2028,No,"DHCD, FHLBB, HUD"
246,6,Gardner,1171,Wakefield Place,"Central, Pine, Cross Sts.",Rental,175,2034,Yes,"DHCD, DHCD, DHCD, MassHousing"
247,1,Gardner,1171,Wakefield Place,"Central, Pine, Cross Sts.",Rental,175,2034,Yes,MassHousing
247,2,Gardner,3766,MVOC Central St,NA,Rental,19,2055,No,"DHCD, DHCD, DHCD"
247,3,Gardner,4285,DDS Group Homes,Confidential,Rental,53,N/A,No,DDS
247,4,Gardner,4561,DMH Group Homes,Confidential,Rental,16,N/A,No,DMH
247,5,Gardner,9495,Heywood Wakefield Commons,30-50 Pine Street,Rental,78,2109,NO,"HUD, MassDevelopment, DHCD"
247,6,Gardner,10112,Lofts at 30 Pine St,30 Pine St,Rental,55,Perp,YES,"DHCD, MassHousing"
248,1,Georgetown,1172,n/a,23 Trestle Way,Rental,52,Perp,No,DHCD
248,2,Georgetown,1173,n/a,Trestle Way,Rental,74,Perp,No,DHCD
248,3,Georgetown,1174,n/a,Jewett St.,Rental,10,Perp,Yes,DHCD
248,4,Georgetown,1176,DDS Group Homes,Confidential,Rental,24,NA,No,DDS
248,5,Georgetown,1177,Molloy Rd,Molloy Rd,Ownership,1,2035,No,DHCD
248,6,Georgetown,1178,True Lane,True Lane,Ownership,2,2035,No,DHCD
248,7,Georgetown,1179,Georgetown Village,"1,2,3,4,5, & 7 Norino Way",Rental,186,Perp,Yes,"NA, FHLBB"
248,8,Georgetown,4090,Central Street,201 Central Street,Ownership,1,perp*,No,DHCD
248,9,Georgetown,10106,Turning Leaf,Lisa Lane,Mix,2,Perp,NO,DHCD
249,1,Gill,1181,Stoughton Place,12 Main Road,Rental,14,perp,No,DHCD
249,2,Gill,4287,DDS Group Homes,Confidential,Rental,10,N/A,No,DDS
250,1,Gloucester,1182,Maplewood Avenue,Maplewood Ave.,Rental,60,Perp,No,HUD
250,2,Gloucester,1183,Prospect,Mason Street,Rental,2,Perp,No,HUD
250,3,Gloucester,1184,Prospect,17 Washington Square,Rental,3,Perp,No,HUD
250,4,Gloucester,1185,Prospect,Sargent Street,Rental,2,Perp,No,HUD
250,5,Gloucester,1186,Prospect,18 Essex St.,Rental,3,Perp,No,HUD
250,6,Gloucester,1187,Prospect Square,26 Prospect Square,Rental,3,Perp,No,HUD
250,7,Gloucester,1189,Riverdale Park,Veterans Way & Patriot Circle,Rental,160,Perp,No,DHCD
250,8,Gloucester,1190,Curtis B. Clark Building,99 Prospect St.,Rental,56,Perp,Yes,DHCD
250,9,Gloucester,1191,George W. McPherson Park,31 Prospect St.,Rental,97,Perp,No,DHCD
250,10,Gloucester,1192,John W. Sheedy Building,88 Pleasant St.,Rental,81,Perp,Yes,DHCD
250,11,Gloucester,1193,Lincoln Park,Lincoln Avenue,Rental,52,Perp,No,DHCD
250,12,Gloucester,1194,Poplar Park,Poplar Street,Rental,76,Perp,No,DHCD
250,13,Gloucester,1195,n/a,Hillcrest/ 374 Washington St.,Rental,8,Perp,No,DHCD
250,14,Gloucester,1196,n/a,11-17 Arthur St.,Rental,15,Perp,No,DHCD
251,1,Gloucester,1197,Haven Terrace,40-48 Haven Terrace,Ownership,22,Perp,No,"DHCD, DHCD"
251,2,Gloucester,1198,Cape Ann YMCA,67 Middle St,Rental,22,2017*,No,"DHCD, DHCD, FHLBB, HUD"
251,3,Gloucester,1199,Central Grammar,10 Dale Avenue,Rental,80,2053,No,"DHCD, MassHousing"
251,4,Gloucester,1200,Forbes School,41 Washington St.,Ownership,8,Perp,No,DHCD
251,5,Gloucester,1201,Babson Block Leasehold Condos,Granite Street,Ownership,15,perp,No,"DHCD, DHCD"
251,6,Gloucester,1203,Prospect Street,Prospect Street,Rental,11,2019*,No,HUD
251,7,Gloucester,1204,Duncan Street,Duncan Street,Rental,19,2019*,No,HUD
251,8,Gloucester,1205,Arthur Street Condominiums,20-24 Arthur Street,Ownership,8,2028,No,DHCD
251,9,Gloucester,1206,Griffin Court,Griffin Court,Ownership,4,2025,No,HUD
252,1,Gloucester,1207,Meadow Lane,Meadow Lane,Ownership,2,2025,No,HUD
252,2,Gloucester,1208,Veteran's Way,Veteran's Way,Ownership,1,2025,No,HUD
252,3,Gloucester,1209,Poplar Street,Poplar Street,Ownership,1,2025,No,HUD
252,4,Gloucester,3954,Essex Ave,147 Essex Ave,Rental,43,perp,No,"DHCD, DHCD, MHP"
252,5,Gloucester,4288,DDS Group Homes,Confidential,Rental,15,N/A,No,DDS
252,6,Gloucester,6228,Griffin Court II,Griffin Court & Emerson Avenue,Ownership,3,2029,Yes,HUD
252,7,Gloucester,6362,"Peggy's Cove Condo/Sibley Realty, Trust",22 Rocky Neck Avenue,Ownership,5,perp,No,HUD
252,8,Gloucester,8792,Glourcester HOR,New Way Lane,Rental,1,2022,NO,HUD
252,9,Gloucester,8796,Glourcester HOR Program,Exchange St,Rental,1,2022,NO,HUD
252,10,Gloucester,9082,DMH Group Homes,Confidential,Rental,8,N/A,NA,DMH
252,11,Gloucester,9230,Glourcester HOR Program,Eastern Ave,Rental,1,2024,NO,"HUD, HUD"
252,12,Gloucester,9231,Gloucester HOR Program,East Main St,Rental,2,2024,NO,HUD
253,1,Gloucester,9232,Gloucester HOR Program,Chestnut St,Rental,1,2024,NO,HUD
253,2,Gloucester,9286,Gloucester HOR Program,Lyndale St,Rental,1,2025,NO,"HUD, HUD"
253,3,Gloucester,9287,Gloucester HOR Program,School St,Rental,1,2024,NO,HUD
253,4,Gloucester,9288,Gloucester HOR Program,Babson St,Rental,1,2024,NO,HUD
253,5,Gloucester,9289,Gloucester HOR Program,Madison St,Rental,1,2025,NO,HUD
253,6,Gloucester,9292,Essex Ave-ownership,147 Essex Ave,Ownership,14,2056,NO,"DHCD, MHP"
253,7,Gloucester,9323,Gloucester HOR Program,Perkins St,Ownership,1,2025,NO,HUD
253,8,Gloucester,9324,Gloucester HOR Program,Green St,Ownership,1,2025,NO,HUD
253,9,Gloucester,9325,Gloucester HOR Program,Prospect St,Ownership,1,2025,NO,HUD
253,10,Gloucester,9326,Gloucester HOR Program,Washington Sq,Ownership,1,2025,NO,HUD
253,11,Gloucester,9376,LePage Affordable Housing,147 Essex Street,Rental,34,2041,NO,"DHCD, MassHousing, MHP"
254,1,Gloucester,9505,Gloucester HOR Program,Prospect St,Rental,1,2026,NO,HUD
254,2,Gloucester,9506,Gloucester HOR Program,Lexington Ave,Rental,2,2026,NO,HUD
254,3,Gloucester,9611,Gloucester HOR Program,Taylor St,Ownership,2,2110,NO,HUD
254,4,Gloucester,10090,Gloucester HOR Program,Prospect St,Rental,1,2030,NO,HUD
254,5,Gloucester,10091,Gloucester HOR Program,Warner St,Rental,1,2030,NO,HUD
254,6,Gloucester,10092,Gloucester HOR Program,Commonwealth Ave,Rental,1,2030,NO,HUD
254,7,Gloucester,10093,Gloucester HOR Program,Marchant St,Rental,1,2031,NO,HUD
254,8,Gloucester,10094,Gloucester HOR Program,Essex St,Rental,1,2031,NO,HUD
254,9,Gloucester,10095,Gloucester HOR Program,Maplewood Ave,Rental,3,2031,NO,HUD
