District,numNonVacantParcel,available_land_sqft,TransitScore,mean_income,percentage_of_shi_units
23rd Middlesex District,11,579121.756,37.40909091,96529.54545,5.92
24th Middlesex District,63,1060266.459,57.36507937,139608.2903,10.49
25th Middlesex District,16,138582.3457,46.59375,84777.875,14.8
26th Middlesex District,17,745759.5214,47.41176471,78107.9375,12.86
27th Middlesex District,6,-134706.4272,46.25,92305.83333,9.7
28th Middlesex District,31,488031.6448,41.53225806,47751.93548,6.36
29th Middlesex District,15,60806.08321,57.86666667,87264.26667,12.53
2nd Barnstable District,59,1337266.267,31.25423729,nan,7.27
2nd Berkshire District,25,2018275.349,43.04,58050.33333,10.31
2nd Bristol District,15,838471.2864,42.53333333,72774.33333,6.42
2nd Essex District,9,1050759.665,27.44444444,99065,6.77
2nd Franklin District,13,1266929.138,22.11538462,62837.66667,6.38
2nd Hampden District,13,1279051.756,28.80769231,79966.38462,5
2nd Hampshire District,1,374367.7692,38.5,64276,6.56
2nd Middlesex District,12,2268546.618,18.5,130925.1818,12.52
2nd Norfolk District,23,2188784.72,28.82608696,30866.17391,9.61
2nd Plymouth District,8,1478514.552,22.375,73160.625,6.78
2nd Suffolk District,6,115492.9727,39.41666667,54317.5,19.28
2nd Worcester District,23,1730587.258,25.2826087,66556.78261,9.13
30th Middlesex District,6,75700.82802,56.08333333,92781.5,10.15
32nd Middlesex District,13,-51887.26882,43.80769231,108101.3846,7.96
34th Middlesex District,12,1606642.105,37.45833333,76780.25,8.69
35th Middlesex District,2,-16220.45497,41.75,84934.5,6.98
36th Middlesex District,19,1465844.774,54.39473684,77279.21053,6.38
37th Middlesex District,2,1223361.222,8,124651,4.55
3rd Barnstable District,37,1954464.874,14.04054054,nan,6.6
3rd Berkshire District,20,3498503.143,44.075,40766.1,9.21
3rd Bristol District,5,275354.099,60.4,45771.5,6.55
3rd Essex District,9,496108.3117,46.55555556,42852.22222,10
3rd Middlesex District,5,739294.5163,30.3,76135.2,10.88
3rd Norfolk District,12,772515.7994,38.45833333,73511.91667,9.47
3rd Plymouth District,2,93929.25064,26.25,88869.5,8.35
3rd Worcester District,24,1383630.398,42.1875,52605.79167,8.68
4th Barnstable District,36,2479182.017,21.77777778,nan,6.06
4th Berkshire District,1,149121.9756,47,71369,3.89
4th Bristol District,5,2453447.523,10.3,97799.4,1.94
4th Essex District,14,1762257.92,21.67857143,96630.78571,7.58
4th Hampden District,20,1018445.077,47.475,50651.4,7.24
4th Middlesex District,11,257669.5903,16.95454545,103357.4545,11.99
4th Norfolk District,9,1746318.813,25.38888889,81568.22222,8.01
4th Plymouth District,5,1187783.938,14.1,124445,5.58
4th Worcester District,16,516962.5016,29,57136.5625,8.18
5th Barnstable District,18,1890577.433,14.72222222,nan,6.63
5th Bristol District,8,484492.7435,17.125,81159.25,6.24
5th Essex District,17,1218100.197,47.73529412,54352.2,7.04
5th Middlesex District,17,1414585.573,35.23529412,116362.4118,10.49
5th Norfolk District,7,203032.1762,47.14285714,101341.5,9.72
5th Plymouth District,3,882026.0856,33,86000,8.37
5th Worcester District,6,594037.3676,23,63406.5,3.93
6th Bristol District,15,931420.417,33.1,49506.2,11.11
6th Essex District,18,1112721.749,39.55555556,74378,11.61
6th Hampden District,5,1806359.059,31.6,51658.4,9.23
6th Middlesex District,4,44493.30891,46.125,82795.25,10.41
6th Norfolk District,32,1605207.752,47.59375,98473.65625,12.24
6th Plymouth District,21,2455269.38,11.28571429,107361.381,7.38
6th Worcester District,16,1292563.147,32.5625,59042.0625,4.68
7th Bristol District,28,1449146.436,43.64285714,30341.21429,11.14
7th Essex District,28,633784.9911,54.17857143,64422.14286,13.24
7th Hampden District,17,1116218.859,37.73529412,63590.35294,8.65
7th Middlesex District,21,2378907.088,45.64285714,48861.38095,9.09
7th Norfolk District,4,131674.7899,26.125,122508.5,6.51
7th Plymouth District,10,2035353.388,17.25,92293.7,5.21
7th Worcester District,33,1131976.075,19.65151515,90042.12121,4.46
8th Bristol District,16,96720.76609,29.21875,72812.375,10.8
8th Essex District,33,340915.9253,56.15151515,147324.2727,6.55
8th Hampden District,3,-25132.94844,47,33755.33333,10.37
8th Middlesex District,7,835118.0558,19.21428571,129131.8571,12.09
8th Norfolk District,6,968661.9095,31.66666667,103592.1667,10.15
8th Plymouth District,14,1904350.862,21.25,95884.57143,10.94
8th Suffolk District,6,-60621.34317,52.16666667,106211.6667,14.8
8th Worcester District,12,2763500.148,16.25,90000.8,5.22
9th Bristol District,106,2298796.188,25.88679245,65867.16981,11.63
9th Essex District,1,207373.6208,25.5,69725,12.06
9th Hampden District,6,2310689.19,47.33333333,42092.16667,16.48
9th Norfolk District,3,1522776.622,17.16666667,100634.6667,8.68
9th Plymouth District,48,1524708.986,36.14583333,33729.08333,13.01
9th Worcester District,6,3113597.354,18.5,115766.8,6.2
"Barnstable, Dukes & Nantucket District",19,1594882.959,38.42105263,83379,6.02
