Town_or_City,Type,Num_Parcels,Total_SHI_Units
Northampton,NA,1,83
Northampton,Ownership,3,20
Northampton,Rental,29,1289
Northborough,NA,1,22
Northborough,Ownership,6,39
Northborough,Rental,10,540
Northbridge,NA,1,15
Northbridge,Ownership,4,34
Northbridge,Rental,18,404
Northfield,Rental,3,27
Norton,Ownership,8,28
Norton,Rental,11,567
Norwell,Ownership,7,27
Norwell,Rental,6,270
Norwood,Ownership,3,10
Norwood,Rental,15,1218
Oak Bluffs,Ownership,23,22
Oak Bluffs,Rental,12,124
Oakham,Rental,1,0
Orange,Rental,12,405
Orleans,Ownership,12,43
Orleans,Rental,10,261
Otis,Rental,1,0
Oxford,Rental,8,404
Palmer,Ownership,1,3
Palmer,Rental,5,266
Paxton,Rental,2,62
Peabody,Mix,10,23
Peabody,Ownership,136,205
Peabody,Rental,40,1824
Pelham,Rental,1,0
Pembroke,Ownership,8,59
Pembroke,Rental,12,557
Pepperell,Ownership,3,15
Pepperell,Rental,6,115
Peru,Rental,1,0
Petersham,Rental,1,0
Phillipston,Ownership,3,3
Phillipston,Rental,1,5
Pittsfield,Ownership,78,118
Pittsfield,Rental,43,1822
Plainfield,Rental,1,0
Plainville,Ownership,2,13
Plainville,Rental,6,559
Plymouth,Ownership,8,31
Plymouth,Rental,14,680
Plympton,Ownership,1,4
Plympton,Rental,2,47
Princeton,Rental,2,26
Provincetown,Mix,2,15
Provincetown,Ownership,10,24
Provincetown,Rental,14,169
Quincy,Ownership,2,215
Quincy,Rental,58,4037
Randolph,Ownership,11,11
Randolph,Rental,13,1269
Raynham,Ownership,3,43
Raynham,Rental,7,446
Reading,Mix,1,77
Reading,Ownership,8,91
Reading,Rental,21,805
Rehoboth,Ownership,2,0
Rehoboth,Rental,1,27
Revere,NA,1,17
Revere,Ownership,25,31
Revere,Rental,28,1771
Richmond,Rental,1,4
Rochester,Rental,2,8
Rockland,Ownership,5,57
Rockland,Rental,7,393
Rockport,Rental,5,135
Rowe,Rental,1,0
Rowley,Ownership,3,16
Rowley,Rental,4,78
Royalston,Ownership,1,3
Royalston,Rental,1,0
Russell,Ownership,8,8
Russell,Rental,1,0
Rutland,Rental,4,86
Salem,Ownership,46,125
Salem,Rental,50,2457
Salisbury,Mix,1,2
Salisbury,Ownership,100,192
Salisbury,Rental,9,436
Sandisfield,Rental,1,0
Sandwich,Ownership,33,79
Sandwich,Rental,10,228
Saugus,Ownership,23,36
Saugus,Rental,11,696
Savoy,NA,1,0
Scituate,NA,1,18
Scituate,Ownership,3,15
Scituate,Rental,10,319
Seekonk,Ownership,3,4
Seekonk,Rental,3,83
Sharon,NA,1,49
Sharon,Ownership,3,10
Sharon,Rental,8,624
Sheffield,NA,1,0
Sheffield,Rental,2,30
Shelburne,NA,1,5
Shelburne,Rental,1,46
Sherborn,NA,1,0
Sherborn,Ownership,1,10
Sherborn,Rental,1,24
Shirley,NA,1,0
Shirley,Ownership,1,9
Shirley,Rental,1,48
Shrewsbury,Ownership,3,5
Shrewsbury,Rental,12,882
Shutesbury,NA,1,2
Somerset,Rental,5,273
Somerville,Mix,3,9
Somerville,Ownership,6,25
Somerville,Rental,59,3345
South Hadley,Rental,9,424
Southampton,Rental,2,44
Southborough,NA,1,2
Southborough,Ownership,5,17
Southborough,Rental,8,453
Southbridge,NA,1,26
Southbridge,Rental,8,473
Southwick,NA,1,18
Southwick,Ownership,34,34
Southwick,Rental,6,112
Spencer,Rental,8,267
Springfield,NA,3,19
Springfield,Ownership,9,256
Springfield,Rental,117,10595
Sterling,Mix,1,0
Sterling,NA,1,12
Sterling,Ownership,2,16
Sterling,Rental,1,40
Stockbridge,NA,1,22
Stockbridge,Rental,3,91
Stoneham,NA,1,14
Stoneham,Ownership,1,2
Stoneham,Rental,8,479
Stoughton,Ownership,6,140
Stoughton,Rental,17,1100
Stow,NA,1,4
Stow,Ownership,3,35
Stow,Rental,4,146
Sturbridge,NA,1,4
Sturbridge,Ownership,2,19
Sturbridge,Rental,6,186
Sudbury,NA,1,5
Sudbury,Ownership,16,37
Sudbury,Rental,12,627
Sunderland,Rental,2,0
Sutton,NA,1,0
Sutton,Ownership,2,10
Sutton,Rental,1,40
Swampscott,NA,1,18
Swampscott,Ownership,1,2
Swampscott,Rental,7,230
Swansea,Ownership,3,11
Swansea,Rental,7,232
Taunton,Mix,7,14
Taunton,Ownership,2,58
Taunton,Rental,33,1577
Templeton,Ownership,22,62
Templeton,Rental,7,176
Tewksbury,Ownership,14,141
Tewksbury,Rental,19,907
Tisbury,NA,1,0
Tisbury,Ownership,25,28
Tisbury,Rental,7,81
Tolland,NA,1,0
Topsfield,Ownership,1,6
Topsfield,Rental,6,149
Townsend,NA,1,0
Townsend,Ownership,18,26
Townsend,Rental,3,134
Truro,NA,1,0
Truro,Ownership,6,8
Truro,Rental,3,20
Tyngsborough,Mix,2,203
Tyngsborough,NA,1,21
Tyngsborough,Ownership,4,61
Tyngsborough,Rental,5,180
Tyringham,NA,1,0
Upton,NA,1,0
Upton,Ownership,2,15
Upton,Rental,3,163
Uxbridge,NA,1,17
Uxbridge,Ownership,3,48
Uxbridge,Rental,8,199
Wakefield,Mix,1,32
Wakefield,Ownership,22,78
Wakefield,Rental,15,649
Wales,Ownership,23,23
Wales,Rental,2,20
Walpole,NA,1,24
Walpole,Ownership,1,4
Walpole,Rental,7,608
Waltham,Mix,1,6
Waltham,Ownership,6,11
Waltham,Rental,47,1825
Ware,Ownership,22,22
Ware,Rental,10,365
Wareham,Ownership,72,99
Wareham,Rental,12,665
Warren,Mix,1,2
Warren,Ownership,24,25
Warren,Rental,5,74
Warwick,Rental,1,0
Washington,Rental,1,0
Watertown,Ownership,19,51
Watertown,Rental,25,1089
Wayland,Ownership,12,52
Wayland,Rental,7,265
Webster,Mix,1,3
Webster,Ownership,6,17
Webster,Rental,22,702
Wellesley,Ownership,7,31
Wellesley,Rental,13,584
Wellfleet,Ownership,12,17
Wellfleet,Rental,4,13
Wendell,Rental,1,5
Wenham,Ownership,4,19
Wenham,Rental,4,99
West Boylston,Ownership,3,21
West Boylston,Rental,9,202
West Bridgewater,Ownership,2,18
West Bridgewater,Rental,3,103
West Brookfield,Rental,4,68
West Newbury,Ownership,2,9
West Newbury,Rental,5,30
West Springfield,Ownership,1,4
West Springfield,Rental,12,425
West Stockbridge,Rental,1,0
West Tisbury,Ownership,15,21
West Tisbury,Rental,2,2
Westborough,Ownership,5,60
Westborough,Rental,11,911
Westfield,Mix,2,0
Westfield,Ownership,2,0
Westfield,Rental,31,1248
Westford,Ownership,16,156
Westford,Rental,15,900
Westhampton,Rental,3,17
Westminster,Ownership,2,45
Westminster,Rental,2,42
Weston,Ownership,6,27
Weston,Rental,9,142
Westport,Mix,1,48
Westport,Ownership,38,47
Westport,Rental,3,137
Westwood,Ownership,3,40
Westwood,Rental,7,548
Weymouth,Ownership,1,10
