muni,numParcel,available_land_sqft,TransitScore,mean_income,percentage_of_shi_units,numVacantParcel,available_land_sqft,TransitScore,mean_income,percentage_of_shi_units,numNonVacantParcel,available_land_sqft,TransitScore,mean_income,percentage_of_shi_units
Foxborough,20,2202140.582,12.125,100159.5,12.62,,,,,,20,2202140.582,12.125,100159.5,12.62
Framingham,26,3150399.758,44.59615385,54290.8,10.41,,,,,,26,3150399.758,44.59615385,54290.8,10.41
Franklin,10,567482.6776,27.65,101585.1,11.91,,,,,,10,567482.6776,27.65,101585.1,11.91
Gardner,9,943626.335,28.33333333,49398.77778,14.96,3,454626.2579,35.33333333,45636.33333,14.96,6,489000.0771,24.83333333,51280,14.96
Georgetown,3,596976.0906,5.833333333,119511.3333,11.61,,,,,,3,596976.0906,5.833333333,119511.3333,11.61
Gill,1,433597.9593,14,nan,4.06,,,,,,1,433597.9593,14,nan,4.06
Gloucester,21,1192039.861,47.71428571,49286.125,7.37,5,55790.93106,45.9,43382,7.37,16,1136248.93,48.28125,50129.57143,7.37
Grafton,5,3040715.883,19,113494.5,5.18,,,,,,5,3040715.883,19,113494.5,5.18
Greenfield,20,1552567.343,47.475,nan,13.89,,,,,,20,1552567.343,47.475,nan,13.89
Groton,6,1127511.72,9.5,120360.3333,5.62,2,691448.9731,8.25,117438,5.62,4,436062.7471,10.125,121821.5,5.62
Groveland,2,43365.31953,16.5,97109,3.3,,,,,,2,43365.31953,16.5,97109,3.3
Hadley,2,416323.2864,37.75,64276,12,1,41955.51724,37,64276,12,1,374367.7692,38.5,64276,12
Halifax,8,703522.3516,8.9375,92111,0.94,3,480926.1724,7.833333333,92111,0.94,5,222596.1792,9.6,92111,0.94
Hamilton,3,89421.0357,29.16666667,91382,3.02,,,,,,3,89421.0357,29.16666667,91382,3.02
Hampden,2,408374.0058,19.75,85943,3.09,1,14814.83061,20.5,85943,3.09,1,393559.1752,19,85943,3.09
Hanson,6,804767.3556,10.75,98122.83333,4.4,,,,,,6,804767.3556,10.75,98122.83333,4.4
Harvard,1,1261818.127,2,148625,5.7,,,,,,1,1261818.127,2,148625,5.7
Harwich,5,525335.9272,7.7,nan,5.47,,,,,,5,525335.9272,7.7,nan,5.47
Hatfield,1,48381.25602,13,64619,3.36,,,,,,1,48381.25602,13,64619,3.36
Haverhill,14,903734.8036,46.32142857,51113.57143,10,1,16093.87292,36.5,43140,10,13,887640.9307,47.07692308,51726.92308,10
Hingham,3,850861.2762,11.83333333,130116.6667,11.37,,,,,,3,850861.2762,11.83333333,130116.6667,11.37
Holbrook,4,422875.3574,59.125,70288,10.32,3,17036.98933,59,70288,10.32,1,405838.3681,59.5,70288,10.32
Holden,2,159904.6879,20.5,91118,6.14,1,29890.3235,21.5,91118,6.14,1,130014.3644,19.5,91118,6.14
Holliston,6,879336.4895,13,133241.8333,4.77,3,346731.5015,2.166666667,147396,4.77,3,532604.988,23.83333333,119087.6667,4.77
Hudson,5,739294.5163,30.3,76135.2,11.2,,,,,,5,739294.5163,30.3,76135.2,11.2
Hull,1,64089.18287,48.5,71193,1.69,,,,,,1,64089.18287,48.5,71193,1.69
Ipswich,6,758563.3107,23.66666667,77616.16667,8.95,,,,,,6,758563.3107,23.66666667,77616.16667,8.95
Kingston,4,442054.811,18.25,103829,4.18,,,,,,4,442054.811,18.25,103829,4.18
Lawrence,5,47412.24342,43.5,33753,14.97,3,61982.56836,43.5,34165,14.97,2,-14570.32494,43.5,33341,14.97
Lee,1,149121.9756,47,71369,6.51,,,,,,1,149121.9756,47,71369,6.51
Leominster,21,565808.6104,31.83333333,54516.7619,8.18,5,48846.10877,40.9,46133.4,8.18,16,516962.5016,29,57136.5625,8.18
Littleton,4,1259447.015,14.25,121951.75,12.9,,,,,,4,1259447.015,14.25,121951.75,12.9
Lowell,157,2278286.532,30.15605096,50664.25,12.5,96,899240.1843,22.5,54760.89583,12.5,61,1379046.348,42.20491803,44109.61667,12.5
Ludlow,16,769100.6027,35.71875,64442.125,3.51,2,161906.5953,16.75,80714,3.51,14,607194.0073,38.42857143,62117.57143,3.51
Lunenburg,1,-38456.9054,14,100677,4.83,,,,,,1,-38456.9054,14,100677,4.83
Lynn,26,1060373.357,39.80769231,46450.57692,12.42,2,8166.691395,43,32895.5,12.42,24,1052206.666,39.54166667,47580.16667,12.42
Manchester,2,133123.0052,22,124025,5.05,,,,,,2,133123.0052,22,124025,5.05
Mansfield,19,1118990.999,22.94736842,123031.3684,10.76,,,,,,19,1118990.999,22.94736842,123031.3684,10.76
Marblehead,32,309911.879,56.71875,149299.8125,3.9,,,,,,32,309911.879,56.71875,149299.8125,3.9
Marlborough,3,62668.75835,38.5,78556,11.41,,,,,,3,62668.75835,38.5,78556,11.41
Mashpee,4,595142.3795,16.75,nan,5.21,,,,,,4,595142.3795,16.75,nan,5.21
Medford,13,629589.1346,35.03846154,84291.69231,6.98,3,31200.53567,32.16666667,84712.66667,6.98,10,598388.5989,35.9,84165.4,6.98
Medway,4,361181.7782,12,113057.5,8.17,,,,,,4,361181.7782,12,113057.5,8.17
Melrose,13,-51887.26882,43.80769231,108101.3846,7.96,,,,,,13,-51887.26882,43.80769231,108101.3846,7.96
Merrimac,3,113655.0513,43.83333333,83508,5.58,,,,,,3,113655.0513,43.83333333,83508,5.58
Methuen,6,605940.3052,53,62305.4,9.21,1,33612.91166,56.5,67002,9.21,5,572327.3935,52.3,61131.25,9.21
Middleborough,5,771817.3647,38.1,62963,6.6,,,,,,5,771817.3647,38.1,62963,6.6
Middleton,2,335319.1119,13,102604,5.01,1,222807.4369,15.5,102604,5.01,1,112511.675,10.5,102604,5.01
Milford,24,752101.6425,30.04166667,82504.16667,8.54,,,,,,24,752101.6425,30.04166667,82504.16667,8.54
Millbury,28,276555.8487,19.33928571,90683.10714,3.95,,,,,,28,276555.8487,19.33928571,90683.10714,3.95
Millville,1,85456.96882,12,78704,2.25,,,,,,1,85456.96882,12,78704,2.25
Milton,9,156905.4093,34.38888889,121943.8889,4.99,,,,,,9,156905.4093,34.38888889,121943.8889,4.99
Monson,7,261982.9836,18.64285714,82215,4.05,,,,,,7,261982.9836,18.64285714,82215,4.05
Montague,8,404087.9877,24.25,nan,9.58,2,58477.60219,8.5,nan,9.58,6,345610.3855,29.5,nan,9.58
Nahant,3,80200.55053,48.66666667,90741,2.98,,,,,,3,80200.55053,48.66666667,90741,2.98
Nantucket,13,1475153.348,38.92307692,96837.30769,2.7,8,1139706.018,34.25,98522,2.7,5,335447.33,46.4,94141.8,2.7
Natick,22,1470983.713,34.56818182,116355,10.51,5,56398.14069,32.3,116329.8,10.51,17,1414585.573,35.23529412,116362.4118,10.51
Needham,76,1236681.403,27.98,134997.1333,12.66,,,,,,76,1236681.403,27.98,134997.1333,12.66
New Bedford,297,4515495.087,35.26094276,58101.89226,11.93,31,807799.5631,37.66129032,53392.35484,11.93,266,3707695.524,34.98120301,58650.74812,11.93
New Salem,2,34725.40172,5,nan,0,2,34725.40172,5,nan,0,,,,,
Newton,42,721099.5652,47.82142857,143463.5854,7.47,1,17936.64341,49.5,116094,7.47,41,703162.9218,47.7804878,144147.825,7.47
North Attleborough,12,977041.0535,37.04166667,92481.33333,2.54,5,186499.5498,33.9,99852.6,2.54,7,790541.5038,39.28571429,87216.14286,2.54
North Brookfield,3,177168.4788,25.33333333,73599,7.05,1,30375.24253,23.5,73599,7.05,2,146793.2363,26.25,73599,7.05
Northampton,21,1398835.525,46.71428571,64128.71429,10.92,,,,,,21,1398835.525,46.71428571,64128.71429,10.92
Northborough,13,596439.0234,11.69230769,115742.7692,11.35,,,,,,13,596439.0234,11.69230769,115742.7692,11.35
Northfield,2,145175.6714,18.5,nan,2.09,,,,,,2,145175.6714,18.5,nan,2.09
Norton,1,2327379.046,19,108177,8.87,,,,,,1,2327379.046,19,108177,8.87
Norwood,6,1556626.254,60.66666667,85184.16667,9.87,,,,,,6,1556626.254,60.66666667,85184.16667,9.87
Oak Bluffs,2,27470.46385,20.25,82045,6.83,1,10126.4004,30.5,82045,6.83,1,17344.06345,10,82045,6.83
Orleans,6,905551.0204,16.91666667,nan,9.24,1,63407.09541,12.5,nan,9.24,5,842143.925,17.8,nan,9.24
Oxford,3,760807.2187,27,60689,7.32,,,,,,3,760807.2187,27,60689,7.32
Peabody,15,1798335.07,42.03333333,63767.2,9.27,1,394715.2804,21,83461,9.27,14,1403619.79,43.53571429,62360.5,9.27
Pembroke,11,1430274.3,9.772727273,102174.5455,9.51,,,,,,11,1430274.3,9.772727273,102174.5455,9.51
Pepperell,2,79422.50892,27,88157.5,3,,,,,,2,79422.50892,27,88157.5,3
Phillipston,1,69567.7472,5.5,72900,1.22,,,,,,1,69567.7472,5.5,72900,1.22
Pittsfield,26,3636821.777,42.92307692,40860.30769,9.21,5,123049.0683,38.3,38227.8,9.21,21,3513772.708,44.02380952,41487.09524,9.21
Plainville,1,552772.7256,13,98280,16.54,,,,,,1,552772.7256,13,98280,16.54
Plymouth,9,488768.034,16.61111111,81269.22222,3.19,,,,,,9,488768.034,16.61111111,81269.22222,3.19
Provincetown,6,84135.02714,46.16666667,nan,9.8,,,,,,6,84135.02714,46.16666667,nan,9.8
Quincy,36,2314375.974,32.375,47044.47222,9.61,,,,,,36,2314375.974,32.375,47044.47222,9.61
Raynham,5,1232298.117,6.3,100060,9.68,,,,,,5,1232298.117,6.3,100060,9.68
Reading,9,413302.6764,46.83333333,100179.5,10.48,,,,,,9,413302.6764,46.83333333,100179.5,10.48
Rehoboth,1,249359.5814,10,97464,0.63,1,249359.5814,10,97464,0.63,,,,,
Revere,95,1033639.896,37.82631579,49216.13684,8.1,,,,,,95,1033639.896,37.82631579,49216.13684,8.1
Rockland,3,882026.0856,33,86000,6.4,,,,,,3,882026.0856,33,86000,6.4
Rowley,2,441052.7923,10.25,114063,4.22,,,,,,2,441052.7923,10.25,114063,4.22
Salem,28,633784.9911,54.17857143,64422.14286,13.24,,,,,,28,633784.9911,54.17857143,64422.14286,13.24
Salisbury,1,195308.1707,46.5,73750,15.41,,,,,,1,195308.1707,46.5,73750,15.41
Sandwich,6,1331845.245,9.083333333,nan,3.75,,,,,,6,1331845.245,9.083333333,nan,3.75
Saugus,1,207373.6208,25.5,69725,6.81,,,,,,1,207373.6208,25.5,69725,6.81
Scituate,5,1187783.938,14.1,124445,4.91,,,,,,5,1187783.938,14.1,124445,4.91
Sharon,1,650311.0572,15.5,115500,10.65,,,,,,1,650311.0572,15.5,115500,10.65
Shelburne,2,299981.3291,15.75,nan,5.71,1,142666.3596,0.5,nan,5.71,1,157314.9695,31,nan,5.71
Shrewsbury,12,883772.3681,43.58333333,102273,6.37,,,,,,12,883772.3681,43.58333333,102273,6.37
Somerville,24,839629.0728,44.70833333,78844.3913,9.7,7,51337.5356,46.07142857,77539,9.7,17,788291.5372,44.14705882,79305.11765,9.7
Southborough,4,302513.0679,15.75,136665,13.75,,,,,,4,302513.0679,15.75,136665,13.75
Southbridge,11,140585.6059,40.68181818,47149,6.64,,,,,,11,140585.6059,40.68181818,47149,6.64
Spencer,4,632408.9909,45.25,56346,5.2,2,17880.98928,48,56346,5.2,2,614528.0017,42.5,56346,5.2
Springfield,97,6529665.116,33.41752577,32545.75258,16.56,,,,,,97,6529665.116,33.41752577,32545.75258,16.56
Sterling,1,303105.1808,21.5,107348,2.33,,,,,,1,303105.1808,21.5,107348,2.33
Stoughton,15,790389.6351,53.56666667,74084.8,11.54,,,,,,15,790389.6351,53.56666667,74084.8,11.54
Sudbury,14,836554.845,5.035714286,176236.8571,11.3,,,,,,14,836554.845,5.035714286,176236.8571,11.3
Sunderland,2,126300.9772,2,nan,0,,,,,,2,126300.9772,2,nan,0
Sutton,1,111303.8932,20.5,100539,1.5,,,,,,1,111303.8932,20.5,100539,1.5
Swampscott,2,78142.9258,37.25,84107,4.31,1,47138.87951,36.5,84107,4.31,1,31004.04629,38,84107,4.31
Swansea,10,308174.2301,14.6,84230,3.86,,,,,,10,308174.2301,14.6,84230,3.86
Taunton,8,645691.613,58.875,46397.85714,6.41,3,370337.514,56.33333333,47233,6.41,5,275354.099,60.4,45771.5,6.41
Templeton,2,122871.8908,15.75,70030,7.9,,,,,,2,122871.8908,15.75,70030,7.9
Topsfield,1,340097.7758,9.5,136812,7.19,,,,,,1,340097.7758,9.5,136812,7.19
Upton,1,72881.47141,16,124856,6.31,,,,,,1,72881.47141,16,124856,6.31
Uxbridge,5,1528826.438,14.5,80069,5,,,,,,5,1528826.438,14.5,80069,5
Walpole,9,512471.9059,40,124776.7778,7.08,4,47976.15812,22.625,131107,7.08,5,464495.7477,53.9,119712.6,7.08
Ware,3,571888.5494,20,48749.66667,8.53,,,,,,3,571888.5494,20,48749.66667,8.53
Wareham,6,639964.4342,24.25,73227.33333,7.73,,,,,,6,639964.4342,24.25,73227.33333,7.73
Watertown,30,524316.7312,73.1,93490.43333,7.1,7,24721.4652,92.85714286,84107,7.1,23,499595.266,67.08695652,96346.26087,7.1
Wayland,20,250035.702,13.1,144032.6316,6.39,,,,,,20,250035.702,13.1,144032.6316,6.39
Webster,7,784392.0869,27.78571429,40388,9.27,,,,,,7,784392.0869,27.78571429,40388,9.27
Wellesley,5,951335.8527,36.3,162032.6,6.77,,,,,,5,951335.8527,36.3,162032.6,6.77
Wellfleet,7,831256.7888,6.5,nan,1.94,5,541486.4821,5.8,nan,1.94,2,289770.3067,8.25,nan,1.94
West Boylston,2,1191328.475,9,79423,8.17,,,,,,2,1191328.475,9,79423,8.17
West Bridgewater,2,472761.0944,10.75,81071,4.55,,,,,,2,472761.0944,10.75,81071,4.55
West Springfield,3,517243.3824,34.66666667,58344.66667,3.4,,,,,,3,517243.3824,34.66666667,58344.66667,3.4
West Tisbury,2,168207.9069,4.25,94277,1.84,,,,,,2,168207.9069,4.25,94277,1.84
Westfield,23,1048414.912,48.97826087,49917.13043,7.24,3,29969.83557,59,45022,7.24,20,1018445.077,47.475,50651.4,7.24
Westford,8,1009099.603,20.625,136052.8571,13.77,,,,,,8,1009099.603,20.625,136052.8571,13.77
Westhampton,2,368148.1486,1,89545,2.68,,,,,,2,368148.1486,1,89545,2.68
Weymouth,9,1187105.454,25.22222222,66230.44444,7.59,,,,,,9,1187105.454,25.22222222,66230.44444,7.59
Whitman,3,543092.7542,16,91265.33333,3.63,,,,,,3,543092.7542,16,91265.33333,3.63
Williamstown,3,243654.7089,23.33333333,84240.33333,7.17,,,,,,3,243654.7089,23.33333333,84240.33333,7.17
Wilmington,19,599469.0144,12.10526316,118493.0625,10.26,5,113687.0238,4.7,120984.6667,10.26,14,485781.9906,14.75,117918.0769,10.26
Winchendon,17,1241587.181,25.44117647,71948.58824,8.1,,,,,,17,1241587.181,25.44117647,71948.58824,8.1
Worcester,16,3390986.625,23.83333333,20550.06667,13.39,1,540.9783854,33.5,41089,13.39,15,3390445.646,23.14285714,19083,13.39
Wrentham,2,970003.8968,19.25,101812,12.69,,,,,,2,970003.8968,19.25,101812,12.69
