state,county,candidate,party,votes,won
Indiana,Fayette County,Donald Rainwater,LIB,1414,False
Indiana,Floyd County,Eric Holcomb,REP,24972,True
Indiana,Floyd County,Woody Myers,DEM,14948,False
Indiana,Floyd County,Donald Rainwater,LIB,1669,False
Indiana,Fountain County,Eric Holcomb,REP,5189,True
Indiana,Fountain County,Donald Rainwater,LIB,1613,False
Indiana,Fountain County,Woody Myers,DEM,1150,False
Indiana,Franklin County,Eric Holcomb,REP,8633,True
Indiana,Franklin County,Woody Myers,DEM,1690,False
Indiana,Franklin County,Donald Rainwater,LIB,1499,False
Indiana,Fulton County,Eric Holcomb,REP,5436,True
Indiana,Fulton County,Donald Rainwater,LIB,2084,False
Indiana,Fulton County,Woody Myers,DEM,1603,False
Indiana,Gibson County,Eric Holcomb,REP,11607,True
Indiana,Gibson County,Woody Myers,DEM,2990,False
Indiana,Gibson County,Donald Rainwater,LIB,1533,False
Indiana,Grant County,Eric Holcomb,REP,16847,True
Indiana,Grant County,Woody Myers,DEM,5849,False
Indiana,Grant County,Donald Rainwater,LIB,4325,False
Indiana,Greene County,Eric Holcomb,REP,9579,True
Indiana,Greene County,Donald Rainwater,LIB,2604,False
Indiana,Greene County,Woody Myers,DEM,2511,False
Indiana,Hamilton County,Eric Holcomb,REP,117749,True
Indiana,Hamilton County,Woody Myers,DEM,58714,False
Indiana,Hamilton County,Donald Rainwater,LIB,17121,False
Indiana,Hancock County,Eric Holcomb,REP,25647,True
Indiana,Hancock County,Donald Rainwater,LIB,8624,False
Indiana,Hancock County,Woody Myers,DEM,8538,False
Indiana,Harrison County,Eric Holcomb,REP,14083,True
Indiana,Harrison County,Woody Myers,DEM,4514,False
Indiana,Harrison County,Donald Rainwater,LIB,1602,False
Indiana,Hendricks County,Eric Holcomb,REP,50697,True
Indiana,Hendricks County,Woody Myers,DEM,23179,False
Indiana,Hendricks County,Donald Rainwater,LIB,14246,False
Indiana,Henry County,Eric Holcomb,REP,12491,True
Indiana,Henry County,Donald Rainwater,LIB,4442,False
Indiana,Henry County,Woody Myers,DEM,4128,False
Indiana,Howard County,Eric Holcomb,REP,24359,True
Indiana,Howard County,Woody Myers,DEM,9871,False
Indiana,Howard County,Donald Rainwater,LIB,6317,False
Indiana,Huntington County,Eric Holcomb,REP,11759,True
Indiana,Huntington County,Donald Rainwater,LIB,3168,False
Indiana,Huntington County,Woody Myers,DEM,2804,False
Indiana,Jackson County,Eric Holcomb,REP,11714,True
Indiana,Jackson County,Donald Rainwater,LIB,4188,False
Indiana,Jackson County,Woody Myers,DEM,3234,False
Indiana,Jasper County,Eric Holcomb,REP,10378,True
Indiana,Jasper County,Woody Myers,DEM,2904,False
Indiana,Jasper County,Donald Rainwater,LIB,2089,False
Indiana,Jay County,Eric Holcomb,REP,5227,True
Indiana,Jay County,Donald Rainwater,LIB,1938,False
Indiana,Jay County,Woody Myers,DEM,1240,False
Indiana,Jefferson County,Eric Holcomb,REP,9076,True
Indiana,Jefferson County,Woody Myers,DEM,3711,False
Indiana,Jefferson County,Donald Rainwater,LIB,1750,False
Indiana,Jennings County,Eric Holcomb,REP,7547,True
Indiana,Jennings County,Donald Rainwater,LIB,2676,False
Indiana,Jennings County,Woody Myers,DEM,1930,False
Indiana,Johnson County,Eric Holcomb,REP,47467,True
Indiana,Johnson County,Woody Myers,DEM,17630,False
Indiana,Johnson County,Donald Rainwater,LIB,12177,False
Indiana,Knox County,Eric Holcomb,REP,11210,True
Indiana,Knox County,Woody Myers,DEM,2809,False
Indiana,Knox County,Donald Rainwater,LIB,1821,False
Indiana,Kosciusko County,Eric Holcomb,REP,23029,True
Indiana,Kosciusko County,Donald Rainwater,LIB,6845,False
Indiana,Kosciusko County,Woody Myers,DEM,5784,False
Indiana,LaGrange County,Eric Holcomb,REP,7520,True
Indiana,LaGrange County,Woody Myers,DEM,1690,False
Indiana,LaGrange County,Donald Rainwater,LIB,1365,False
Indiana,Lake County,Woody Myers,DEM,112352,True
Indiana,Lake County,Eric Holcomb,REP,94841,False
Indiana,Lake County,Donald Rainwater,LIB,10039,False
Indiana,LaPorte County,Eric Holcomb,REP,26129,True
Indiana,LaPorte County,Woody Myers,DEM,18133,False
Indiana,LaPorte County,Donald Rainwater,LIB,4356,False
Indiana,Lawrence County,Eric Holcomb,REP,13371,True
Indiana,Lawrence County,Donald Rainwater,LIB,3881,False
Indiana,Lawrence County,Woody Myers,DEM,3616,False
Indiana,Madison County,Eric Holcomb,REP,29434,True
Indiana,Madison County,Woody Myers,DEM,14254,False
Indiana,Madison County,Donald Rainwater,LIB,8118,False
Indiana,Marion County,Woody Myers,DEM,203475,True
Indiana,Marion County,Eric Holcomb,REP,152405,False
Indiana,Marion County,Donald Rainwater,LIB,34974,False
Indiana,Marshall County,Eric Holcomb,REP,13145,True
Indiana,Marshall County,Woody Myers,DEM,4025,False
Indiana,Marshall County,Donald Rainwater,LIB,2634,False
Indiana,Martin County,Eric Holcomb,REP,3232,True
Indiana,Martin County,Donald Rainwater,LIB,1177,False
Indiana,Martin County,Woody Myers,DEM,709,False
Indiana,Miami County,Eric Holcomb,REP,9208,True
Indiana,Miami County,Donald Rainwater,LIB,2714,False
Indiana,Miami County,Woody Myers,DEM,2439,False
Indiana,Monroe County,Woody Myers,DEM,33033,True
Indiana,Monroe County,Eric Holcomb,REP,24605,False
Indiana,Monroe County,Donald Rainwater,LIB,4885,False
Indiana,Montgomery County,Eric Holcomb,REP,10587,True
Indiana,Montgomery County,Donald Rainwater,LIB,3785,False
Indiana,Montgomery County,Woody Myers,DEM,2812,False
Indiana,Morgan County,Eric Holcomb,REP,22161,True
Indiana,Morgan County,Donald Rainwater,LIB,8184,False
Indiana,Morgan County,Woody Myers,DEM,5602,False
Indiana,Newton County,Eric Holcomb,REP,4358,True
Indiana,Newton County,Woody Myers,DEM,1148,False
Indiana,Newton County,Donald Rainwater,LIB,1050,False
Indiana,Noble County,Eric Holcomb,REP,12498,True
Indiana,Noble County,Donald Rainwater,LIB,3353,False
Indiana,Noble County,Woody Myers,DEM,3237,False
Indiana,Ohio County,Eric Holcomb,REP,2210,True
Indiana,Ohio County,Woody Myers,DEM,641,False
Indiana,Ohio County,Donald Rainwater,LIB,335,False
Indiana,Orange County,Eric Holcomb,REP,5591,True
Indiana,Orange County,Woody Myers,DEM,1952,False
Indiana,Orange County,Donald Rainwater,LIB,1216,False
Indiana,Owen County,Eric Holcomb,REP,5857,True
Indiana,Owen County,Donald Rainwater,LIB,2137,False
Indiana,Owen County,Woody Myers,DEM,1852,False
Indiana,Parke County,Eric Holcomb,REP,4766,True
Indiana,Parke County,Woody Myers,DEM,1127,False
Indiana,Parke County,Donald Rainwater,LIB,1079,False
Indiana,Perry County,Eric Holcomb,REP,5523,True
Indiana,Perry County,Woody Myers,DEM,2518,False
Indiana,Perry County,Donald Rainwater,LIB,607,False
Indiana,Pike County,Eric Holcomb,REP,4199,True
Indiana,Pike County,Woody Myers,DEM,1092,False
Indiana,Pike County,Donald Rainwater,LIB,850,False
Indiana,Porter County,Eric Holcomb,REP,45996,True
Indiana,Porter County,Woody Myers,DEM,33397,False
Indiana,Porter County,Donald Rainwater,LIB,7131,False
Indiana,Posey County,Eric Holcomb,REP,9648,True
Indiana,Posey County,Woody Myers,DEM,2773,False
Indiana,Posey County,Donald Rainwater,LIB,809,False
Indiana,Pulaski County,Eric Holcomb,REP,3874,True
Indiana,Pulaski County,Woody Myers,DEM,1019,False
Indiana,Pulaski County,Donald Rainwater,LIB,875,False
Indiana,Putnam County,Eric Holcomb,REP,9375,True
Indiana,Putnam County,Donald Rainwater,LIB,4269,False
Indiana,Putnam County,Woody Myers,DEM,2876,False
Indiana,Randolph County,Eric Holcomb,REP,7399,True
Indiana,Randolph County,Woody Myers,DEM,1863,False
Indiana,Randolph County,Donald Rainwater,LIB,1732,False
Indiana,Ripley County,Eric Holcomb,REP,9518,True
Indiana,Ripley County,Donald Rainwater,LIB,2458,False
Indiana,Ripley County,Woody Myers,DEM,2231,False
Indiana,Rush County,Eric Holcomb,REP,4949,True
Indiana,Rush County,Donald Rainwater,LIB,1716,False
Indiana,Rush County,Woody Myers,DEM,1215,False
Indiana,St. Joseph County,Eric Holcomb,REP,60696,True
Indiana,St. Joseph County,Woody Myers,DEM,48610,False
Indiana,St. Joseph County,Donald Rainwater,LIB,5387,False
Indiana,Scott County,Eric Holcomb,REP,6062,True
Indiana,Scott County,Woody Myers,DEM,2295,False
Indiana,Scott County,Donald Rainwater,LIB,1613,False
Indiana,Shelby County,Eric Holcomb,REP,12269,True
Indiana,Shelby County,Donald Rainwater,LIB,4099,False
Indiana,Shelby County,Woody Myers,DEM,3499,False
Indiana,Spencer County,Eric Holcomb,REP,7272,True
Indiana,Spencer County,Woody Myers,DEM,2461,False
Indiana,Spencer County,Donald Rainwater,LIB,926,False
Indiana,Starke County,Eric Holcomb,REP,6730,True
Indiana,Starke County,Woody Myers,DEM,2026,False
Indiana,Starke County,Donald Rainwater,LIB,1427,False
Indiana,Steuben County,Eric Holcomb,REP,11407,True
Indiana,Steuben County,Woody Myers,DEM,2939,False
Indiana,Steuben County,Donald Rainwater,LIB,1739,False
Indiana,Sullivan County,Eric Holcomb,REP,6009,True
Indiana,Sullivan County,Woody Myers,DEM,1550,False
Indiana,Sullivan County,Donald Rainwater,LIB,1357,False
Indiana,Switzerland County,Eric Holcomb,REP,2846,True
Indiana,Switzerland County,Woody Myers,DEM,822,False
Indiana,Switzerland County,Donald Rainwater,LIB,412,False
Indiana,Tippecanoe County,Eric Holcomb,REP,37979,True
Indiana,Tippecanoe County,Woody Myers,DEM,26179,False
Indiana,Tippecanoe County,Donald Rainwater,LIB,7057,False
Indiana,Tipton County,Eric Holcomb,REP,5169,True
Indiana,Tipton County,Donald Rainwater,LIB,1707,False
Indiana,Tipton County,Woody Myers,DEM,1200,False
Indiana,Union County,Eric Holcomb,REP,2533,True
Indiana,Union County,Woody Myers,DEM,603,False
Indiana,Union County,Donald Rainwater,LIB,323,False
Indiana,Vanderburgh County,Eric Holcomb,REP,46490,True
Indiana,Vanderburgh County,Woody Myers,DEM,27242,False
Indiana,Vanderburgh County,Donald Rainwater,LIB,3658,False
Indiana,Vermillion County,Eric Holcomb,REP,4938,True
Indiana,Vermillion County,Woody Myers,DEM,1531,False
Indiana,Vermillion County,Donald Rainwater,LIB,917,False
Indiana,Vigo County,Eric Holcomb,REP,25917,True
Indiana,Vigo County,Woody Myers,DEM,13999,False
Indiana,Vigo County,Donald Rainwater,LIB,3419,False
Indiana,Wabash County,Eric Holcomb,REP,9111,True
Indiana,Wabash County,Donald Rainwater,LIB,2979,False
Indiana,Wabash County,Woody Myers,DEM,2421,False
Indiana,Warren County,Eric Holcomb,REP,3009,True
Indiana,Warren County,Donald Rainwater,LIB,777,False
Indiana,Warren County,Woody Myers,DEM,672,False
Indiana,Warrick County,Eric Holcomb,REP,22703,True
Indiana,Warrick County,Woody Myers,DEM,9074,False
Indiana,Warrick County,Donald Rainwater,LIB,1747,False
Indiana,Washington County,Eric Holcomb,REP,7919,True
Indiana,Washington County,Woody Myers,DEM,2408,False
Indiana,Washington County,Donald Rainwater,LIB,1746,False
Indiana,Wayne County,Eric Holcomb,REP,16914,True
Indiana,Wayne County,Woody Myers,DEM,7534,False
Indiana,Wayne County,Donald Rainwater,LIB,3172,False
Indiana,Wells County,Eric Holcomb,REP,9371,True
Indiana,Wells County,Donald Rainwater,LIB,2712,False
Indiana,Wells County,Woody Myers,DEM,1967,False
Indiana,White County,Eric Holcomb,REP,7334,True
Indiana,White County,Woody Myers,DEM,1978,False
Indiana,White County,Donald Rainwater,LIB,1826,False
Indiana,Whitley County,Eric Holcomb,REP,11522,True
Indiana,Whitley County,Donald Rainwater,LIB,3191,False
Indiana,Whitley County,Woody Myers,DEM,2738,False
Missouri,Adair County,Mike Parson,REP,6597,True
Missouri,Adair County,Nicole Galloway,DEM,3546,False
Missouri,Adair County,Rik Combs,LIB,131,False
Missouri,Adair County,Jerome Bauer,GRN,44,False
Missouri,Andrew County,Mike Parson,REP,7195,True
Missouri,Andrew County,Nicole Galloway,DEM,2356,False
Missouri,Andrew County,Rik Combs,LIB,140,False
Missouri,Andrew County,Jerome Bauer,GRN,42,False
Missouri,Atchison County,Mike Parson,REP,2171,True
Missouri,Atchison County,Nicole Galloway,DEM,533,False
Missouri,Atchison County,Rik Combs,LIB,51,False
Missouri,Atchison County,Jerome Bauer,GRN,15,False
Missouri,Audrain County,Mike Parson,REP,7643,True
Missouri,Audrain County,Nicole Galloway,DEM,2663,False
Missouri,Audrain County,Rik Combs,LIB,232,False
Missouri,Audrain County,Jerome Bauer,GRN,70,False
Missouri,Barry County,Mike Parson,REP,12356,True
Missouri,Barry County,Nicole Galloway,DEM,2841,False
Missouri,Barry County,Rik Combs,LIB,242,False
Missouri,Barry County,Jerome Bauer,GRN,88,False
Missouri,Barton County,Mike Parson,REP,5114,True
Missouri,Barton County,Nicole Galloway,DEM,816,False
Missouri,Barton County,Rik Combs,LIB,69,False
Missouri,Barton County,Jerome Bauer,GRN,33,False
Missouri,Bates County,Mike Parson,REP,6410,True
Missouri,Bates County,Nicole Galloway,DEM,1762,False
Missouri,Bates County,Rik Combs,LIB,134,False
Missouri,Bates County,Jerome Bauer,GRN,51,False
Missouri,Benton County,Mike Parson,REP,8017,True
Missouri,Benton County,Nicole Galloway,DEM,2179,False
Missouri,Benton County,Rik Combs,LIB,181,False
Missouri,Benton County,Jerome Bauer,GRN,56,False
Missouri,Bollinger County,Mike Parson,REP,5063,True
Missouri,Bollinger County,Nicole Galloway,DEM,773,False
Missouri,Bollinger County,Rik Combs,LIB,91,False
Missouri,Bollinger County,Jerome Bauer,GRN,21,False
Missouri,Boone County,Nicole Galloway,DEM,48056,True
Missouri,Boone County,Mike Parson,REP,40478,False
Missouri,Boone County,Rik Combs,LIB,1711,False
Missouri,Boone County,Jerome Bauer,GRN,460,False
Missouri,Buchanan County,Mike Parson,REP,22147,True
Missouri,Buchanan County,Nicole Galloway,DEM,13225,False
Missouri,Buchanan County,Rik Combs,LIB,719,False
Missouri,Buchanan County,Jerome Bauer,GRN,303,False
Missouri,Butler County,Mike Parson,REP,14337,True
Missouri,Butler County,Nicole Galloway,DEM,3349,False
Missouri,Butler County,Rik Combs,LIB,257,False
Missouri,Butler County,Jerome Bauer,GRN,61,False
Missouri,Caldwell County,Mike Parson,REP,3603,True
Missouri,Caldwell County,Nicole Galloway,DEM,961,False
Missouri,Caldwell County,Rik Combs,LIB,98,False
Missouri,Caldwell County,Jerome Bauer,GRN,33,False
Missouri,Callaway County,Mike Parson,REP,14950,True
Missouri,Callaway County,Nicole Galloway,DEM,5611,False
Missouri,Callaway County,Rik Combs,LIB,461,False
Missouri,Callaway County,Jerome Bauer,GRN,79,False
Missouri,Camden County,Mike Parson,REP,18837,True
Missouri,Camden County,Nicole Galloway,DEM,5461,False
Missouri,Camden County,Rik Combs,LIB,326,False
Missouri,Camden County,Jerome Bauer,GRN,104,False
Missouri,Cape Girardeau County,Mike Parson,REP,29127,True
Missouri,Cape Girardeau County,Nicole Galloway,DEM,10272,False
Missouri,Cape Girardeau County,Rik Combs,LIB,630,False
Missouri,Cape Girardeau County,Jerome Bauer,GRN,132,False
Missouri,Carroll County,Mike Parson,REP,3671,True
Missouri,Carroll County,Nicole Galloway,DEM,770,False
Missouri,Carroll County,Rik Combs,LIB,44,False
Missouri,Carroll County,Jerome Bauer,GRN,13,False
Missouri,Carter County,Mike Parson,REP,2412,True
Missouri,Carter County,Nicole Galloway,DEM,401,False
Missouri,Carter County,Rik Combs,LIB,38,False
Missouri,Carter County,Jerome Bauer,GRN,10,False
Missouri,Cass County,Mike Parson,REP,37025,True
Missouri,Cass County,Nicole Galloway,DEM,18770,False
Missouri,Cass County,Rik Combs,LIB,1028,False
Missouri,Cass County,Jerome Bauer,GRN,319,False
Missouri,Cedar County,Mike Parson,REP,5771,True
Missouri,Cedar County,Nicole Galloway,DEM,1104,False
Missouri,Cedar County,Rik Combs,LIB,124,False
Missouri,Cedar County,Jerome Bauer,GRN,30,False
Missouri,Chariton County,Mike Parson,REP,3100,True
Missouri,Chariton County,Nicole Galloway,DEM,910,False
Missouri,Chariton County,Rik Combs,LIB,57,False
Missouri,Chariton County,Jerome Bauer,GRN,5,False
Missouri,Christian County,Mike Parson,REP,34827,True
Missouri,Christian County,Nicole Galloway,DEM,10863,False
Missouri,Christian County,Rik Combs,LIB,804,False
Missouri,Christian County,Jerome Bauer,GRN,166,False
Missouri,Clark County,Mike Parson,REP,2667,True
Missouri,Clark County,Nicole Galloway,DEM,648,False
Missouri,Clark County,Rik Combs,LIB,36,False
Missouri,Clark County,Jerome Bauer,GRN,21,False
Missouri,Clay County,Mike Parson,REP,64673,True
Missouri,Clay County,Nicole Galloway,DEM,58337,False
Missouri,Clay County,Rik Combs,LIB,2282,False
Missouri,Clay County,Jerome Bauer,GRN,686,False
Missouri,Clinton County,Mike Parson,REP,7518,True
Missouri,Clinton County,Nicole Galloway,DEM,3001,False
Missouri,Clinton County,Rik Combs,LIB,213,False
Missouri,Clinton County,Jerome Bauer,GRN,92,False
Missouri,Cole County,Mike Parson,REP,26886,True
Missouri,Cole County,Nicole Galloway,DEM,11726,False
Missouri,Cole County,Rik Combs,LIB,796,False
Missouri,Cole County,Jerome Bauer,GRN,165,False
Missouri,Cooper County,Mike Parson,REP,6224,True
Missouri,Cooper County,Nicole Galloway,DEM,2162,False
Missouri,Cooper County,Rik Combs,LIB,234,False
Missouri,Cooper County,Jerome Bauer,GRN,46,False
Missouri,Crawford County,Mike Parson,REP,8480,True
Missouri,Crawford County,Nicole Galloway,DEM,2230,False
Missouri,Crawford County,Rik Combs,LIB,176,False
Missouri,Crawford County,Jerome Bauer,GRN,46,False
Missouri,Dade County,Mike Parson,REP,3348,True
Missouri,Dade County,Nicole Galloway,DEM,668,False
Missouri,Dade County,Rik Combs,LIB,67,False
Missouri,Dade County,Jerome Bauer,GRN,22,False
Missouri,Dallas County,Mike Parson,REP,6646,True
Missouri,Dallas County,Nicole Galloway,DEM,1294,False
Missouri,Dallas County,Rik Combs,LIB,114,False
Missouri,Dallas County,Jerome Bauer,GRN,41,False
Missouri,Daviess County,Mike Parson,REP,2997,True
Missouri,Daviess County,Nicole Galloway,DEM,783,False
Missouri,Daviess County,Rik Combs,LIB,77,False
Missouri,Daviess County,Jerome Bauer,GRN,23,False
Missouri,DeKalb County,Mike Parson,REP,3763,True
Missouri,DeKalb County,Nicole Galloway,DEM,930,False
Missouri,DeKalb County,Rik Combs,LIB,93,False
Missouri,DeKalb County,Jerome Bauer,GRN,30,False
Missouri,Dent County,Mike Parson,REP,5768,True
Missouri,Dent County,Nicole Galloway,DEM,1141,False
Missouri,Dent County,Rik Combs,LIB,170,False
Missouri,Dent County,Jerome Bauer,GRN,34,False
Missouri,Douglas County,Mike Parson,REP,5773,True
Missouri,Douglas County,Nicole Galloway,DEM,1046,False
Missouri,Douglas County,Rik Combs,LIB,118,False
Missouri,Douglas County,Jerome Bauer,GRN,34,False
Missouri,Dunklin County,Mike Parson,REP,7880,True
Missouri,Dunklin County,Nicole Galloway,DEM,2281,False
Missouri,Dunklin County,Rik Combs,LIB,118,False
Missouri,Dunklin County,Jerome Bauer,GRN,30,False
Missouri,Franklin County,Mike Parson,REP,37136,True
Missouri,Franklin County,Nicole Galloway,DEM,14957,False
Missouri,Franklin County,Rik Combs,LIB,926,False
Missouri,Franklin County,Jerome Bauer,GRN,351,False
Missouri,Gasconade County,Mike Parson,REP,6192,True
Missouri,Gasconade County,Nicole Galloway,DEM,1537,False
Missouri,Gasconade County,Rik Combs,LIB,112,False
Missouri,Gasconade County,Jerome Bauer,GRN,29,False
Missouri,Gentry County,Mike Parson,REP,2539,True
Missouri,Gentry County,Nicole Galloway,DEM,631,False
Missouri,Gentry County,Rik Combs,LIB,42,False
Missouri,Gentry County,Jerome Bauer,GRN,8,False
Missouri,Greene County,Mike Parson,REP,84582,True
Missouri,Greene County,Nicole Galloway,DEM,53519,False
Missouri,Greene County,Rik Combs,LIB,2855,False
Missouri,Greene County,Jerome Bauer,GRN,668,False
Missouri,Grundy County,Mike Parson,REP,3537,True
Missouri,Grundy County,Nicole Galloway,DEM,821,False
Missouri,Grundy County,Rik Combs,LIB,53,False
Missouri,Grundy County,Jerome Bauer,GRN,15,False
Missouri,Harrison County,Mike Parson,REP,3139,True
Missouri,Harrison County,Nicole Galloway,DEM,602,False
Missouri,Harrison County,Rik Combs,LIB,47,False
Missouri,Harrison County,Jerome Bauer,GRN,12,False
Missouri,Henry County,Mike Parson,REP,7928,True
Missouri,Henry County,Nicole Galloway,DEM,2574,False
Missouri,Henry County,Rik Combs,LIB,155,False
Missouri,Henry County,Jerome Bauer,GRN,57,False
Missouri,Hickory County,Mike Parson,REP,4037,True
Missouri,Hickory County,Nicole Galloway,DEM,929,False
Missouri,Hickory County,Rik Combs,LIB,66,False
Missouri,Hickory County,Jerome Bauer,GRN,31,False
Missouri,Holt County,Mike Parson,REP,1928,True
Missouri,Holt County,Nicole Galloway,DEM,361,False
Missouri,Holt County,Rik Combs,LIB,34,False
Missouri,Holt County,Jerome Bauer,GRN,10,False
Missouri,Howard County,Mike Parson,REP,3525,True
Missouri,Howard County,Nicole Galloway,DEM,1387,False
Missouri,Howard County,Rik Combs,LIB,118,False
Missouri,Howard County,Jerome Bauer,GRN,36,False
Missouri,Howell County,Mike Parson,REP,14947,True
Missouri,Howell County,Nicole Galloway,DEM,3210,False
Missouri,Howell County,Rik Combs,LIB,287,False
Missouri,Howell County,Jerome Bauer,GRN,84,False
Missouri,Iron County,Mike Parson,REP,3266,True
Missouri,Iron County,Nicole Galloway,DEM,1105,False
Missouri,Iron County,Rik Combs,LIB,116,False
Missouri,Iron County,Jerome Bauer,GRN,44,False
Missouri,Jackson County,Nicole Galloway,DEM,194273,True
Missouri,Jackson County,Mike Parson,REP,128938,False
Missouri,Jackson County,Rik Combs,LIB,5540,False
Missouri,Jackson County,Jerome Bauer,GRN,2606,False
Missouri,Jasper County,Mike Parson,REP,37714,True
Missouri,Jasper County,Nicole Galloway,DEM,13204,False
Missouri,Jasper County,Rik Combs,LIB,956,False
Missouri,Jasper County,Jerome Bauer,GRN,286,False
Missouri,Jefferson County,Mike Parson,REP,73942,True
Missouri,Jefferson County,Nicole Galloway,DEM,38866,False
Missouri,Jefferson County,Rik Combs,LIB,2105,False
Missouri,Jefferson County,Jerome Bauer,GRN,781,False
Missouri,Johnson County,Mike Parson,REP,15321,True
Missouri,Johnson County,Nicole Galloway,DEM,6895,False
Missouri,Johnson County,Rik Combs,LIB,643,False
Missouri,Johnson County,Jerome Bauer,GRN,168,False
Missouri,Knox County,Mike Parson,REP,1516,True
Missouri,Knox County,Nicole Galloway,DEM,296,False
Missouri,Knox County,Rik Combs,LIB,20,False
Missouri,Knox County,Jerome Bauer,GRN,4,False
Missouri,Laclede County,Mike Parson,REP,13681,True
Missouri,Laclede County,Nicole Galloway,DEM,2747,False
Missouri,Laclede County,Rik Combs,LIB,260,False
Missouri,Laclede County,Jerome Bauer,GRN,82,False
Missouri,Lafayette County,Mike Parson,REP,12238,True
Missouri,Lafayette County,Nicole Galloway,DEM,4451,False
Missouri,Lafayette County,Rik Combs,LIB,274,False
Missouri,Lafayette County,Jerome Bauer,GRN,70,False
Missouri,Lawrence County,Mike Parson,REP,14176,True
Missouri,Lawrence County,Nicole Galloway,DEM,3185,False
Missouri,Lawrence County,Rik Combs,LIB,347,False
Missouri,Lawrence County,Jerome Bauer,GRN,105,False
Missouri,Lewis County,Mike Parson,REP,3638,True
