county,state,percentage16_Donald_Trump,percentage16_Hillary_Clinton,total_votes16,votes16_Donald_Trump,votes16_Hillary_Clinton,percentage20_Donald_Trump,percentage20_Joe_Biden,total_votes20,votes20_Donald_Trump,votes20_Joe_Biden,lat,long,cases,deaths,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,VotingAgeCitizen,Income,IncomeErr,IncomePerCap,IncomePerCapErr,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,Employed,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment
Allegheny,PA,0.4,0.564,643173,257488,363017,0.39,0.595,707837,275955,421004,40.46809875,-79.98167747,15940,419,1229605,593177,636428,2,79.1,12.7,0.1,3.5,0,961881,56333,474,35280,259,12.5,16.9,45,16.8,23.7,6.1,8.3,72,8.4,9.2,4.2,1.5,4.7,26.7,622670,86.7,8.6,4.6,0.1,5.9
Allen,IN,0.575,0.379,145787,83801,55222,0.544,0.431,168964,91885,72825,41.09194313,-85.06800636,9638,237,367747,179414,188333,7.2,74.6,11.3,0.2,3.5,0,260663,51091,655,26932,523,14.7,22,33.7,16.5,24.3,7.6,17.9,84.3,8.7,0.8,1.2,0.9,4,21.3,176365,87.2,8.6,4.1,0.1,6.3
Allen,KS,0.673,0.263,5314,3575,1398,0.711,0.267,5842,4155,1559,37.88582951,-95.30030847,112,1,12752,6318,6434,3.3,90.7,1.5,0.1,0.6,0.1,9728,43031,2171,23011,1282,14.2,18.2,27.5,15.6,20.7,8.6,27.5,80.9,10.7,0.9,3.5,0.7,3.3,17.4,6006,75.3,15.9,8.4,0.4,3.6
Allen,KY,0.799,0.167,8091,6466,1349,0.81,0.175,9363,7586,1642,36.75197631,-86.19457544,566,11,20628,10227,10401,1.9,95.4,1.9,0,0.2,0,15597,40598,2927,21652,1505,20,27.9,24.5,16.6,21.8,13.5,23.7,77.9,11,0.2,2.5,1.6,6.9,24.1,8443,74.8,13.9,11.3,0.1,7.5
Allen,OH,0.669,0.287,44636,29858,12815,0.691,0.294,46362,32052,13611,40.77285242,-84.10802343,2580,80,104157,52614,51543,2.9,81.2,11.7,0.2,0.7,0,79167,47905,1708,24551,743,15,20.9,28.2,18.4,21.8,8.5,23.2,86.4,8.1,0.7,1.6,1.2,2,18.9,48351,86.1,9.8,4,0.1,7.2
Allen,LA,0.743,0.228,9245,6867,2106,0.772,0.215,9810,7574,2108,30.65385745,-92.82442028,1856,63,25667,14542,11125,4.9,71.1,19,1.8,0.7,0,19205,42176,3540,20103,1700,16.6,22.4,29.1,23.1,21.3,15,11.5,84.3,9.8,0.7,0.7,2.2,2.3,28.3,8577,72.8,23.8,3.2,0.2,9.4
Allendale,SC,0.22,0.761,3578,788,2722,0.232,0.756,3593,835,2718,32.98837386,-81.35321066,424,7,9402,4952,4450,3.1,22.5,73.5,0.5,0,0,7492,23331,2177,13439,1150,30.4,52.7,20.3,24,18.8,13.9,22.9,80.4,10.7,2.2,4.1,1,1.6,28.3,2668,71,23.4,5.7,0,17.3
Alpena,MI,0.619,0.332,14688,9090,4877,0.63,0.354,16966,10686,6000,45.03477666,-83.62212411,180,14,28730,14169,14561,1.3,96,0.5,0.4,0.4,0.1,23062,40954,1521,24030,751,15,19.1,29.5,19.8,26.1,10,14.6,82.9,8.4,0.7,2.7,1.2,3.9,16.9,12665,83,10.4,6.4,0.2,6.4
Alpine,CA,0.367,0.553,575,211,318,0.323,0.643,736,238,473,38.59678594,-119.8223594,8,0,1203,664,539,9.7,64.6,1.5,20.6,0.7,0,936,63438,4535,27448,6258,19.8,17.3,38.2,21.9,18.7,12.8,8.3,62.1,13.2,0,9.1,1.6,14,21.9,374,58.6,30.2,11.2,0,14.6
Amador,CA,0.604,0.34,10049,6069,3420,0.609,0.366,22282,13571,8147,38.44583082,-120.65696,347,16,37306,20005,17301,13.2,79.3,2,0.7,1.5,0.2,30677,60636,2765,29628,1631,10.6,20.3,32.7,23.2,24.1,9.9,10.1,80.7,9.2,0.1,2.5,1.1,6.4,32,13444,63.9,21,14.7,0.4,9.3
Amelia,VA,0.669,0.306,7035,4704,2150,0.684,0.306,7881,5390,2411,37.34081025,-77.98584649,150,6,12802,6644,6158,1.1,72.4,23.7,0.3,0.1,0,10049,58535,5713,26118,1734,13,18.9,25.8,18.6,27.4,17.2,11.1,86.7,6,1.1,1.6,1.8,2.7,38,6166,76.1,15.8,6.7,1.3,3.3
Amherst,VA,0.636,0.329,15164,9643,4986,0.622,0.32,17719,11020,5673,37.60308293,-79.14548696,626,6,31819,15331,16488,2.3,75.5,17.6,0.2,0.6,0,25212,49677,3603,24296,1374,13.4,20.6,27.9,20.3,24.7,9.8,17.4,82.6,10.6,0.6,1.3,2.3,2.6,24.1,14506,78.6,16.2,5,0.1,5.6
Amite,MS,0.609,0.382,7033,4282,2688,0.633,0.354,5974,3781,2114,31.17467303,-90.80501621,436,13,12574,6133,6441,0.2,57.3,42,0,0.3,0,9902,30129,3714,19665,1493,22.8,29.5,24.4,19.2,16.5,19.2,20.6,81.2,12.1,2.2,0.4,1.4,2.7,37.1,4550,71.8,17.3,10.2,0.7,10.8
Anderson,KS,0.728,0.203,3277,2386,665,0.773,0.206,3720,2874,765,38.21413251,-95.29272815,203,0,7840,3849,3991,0.7,95.2,0.2,3.5,0,0,5849,40986,4317,21887,1627,13.6,21.9,28.4,23.1,17.1,15,16.3,77.6,11.8,0,2.5,1.4,6.7,24.2,3502,72.3,12,14.7,1,4.2
Anderson,KY,0.722,0.231,11420,8242,2634,0.728,0.252,13261,9651,3339,38.00671029,-84.99171713,280,1,22017,10639,11378,1.7,94.2,2.4,0,0.7,0,16456,51681,3353,24991,1272,12,15.2,31.8,14.7,27.6,9.4,16.6,86.4,10.7,0,0.5,0.2,2.1,26.6,10357,69.3,24.1,6.5,0.1,6.3
Anderson,SC,0.699,0.262,80296,56109,21040,0.703,0.283,96093,67565,27169,34.51828081,-82.63959517,6051,209,194174,93474,100700,3.5,77.6,16,0.2,0.9,0,146429,45551,877,24485,549,15.6,22.5,32.3,16.6,23.7,9.9,17.5,86.1,8.4,0.2,1.2,1.2,2.8,22.9,85591,80.7,13.4,5.8,0.2,6.7
Anderson,TN,0.646,0.303,29723,19201,9010,0.652,0.33,35527,23163,11733,36.12684348,-84.19965764,1869,16,75538,36803,38735,2.7,89.6,3.4,0.1,1.4,0.1,58291,47206,2109,26972,1169,16.3,24.8,33.6,19,23.6,10.1,13.7,86.8,8.4,0.1,0.8,0.9,3,23.3,32213,76.1,17,6.8,0.1,6.9
Anderson,TX,0.78,0.199,16887,13165,3358,0.786,0.205,19155,15062,3934,31.81534745,-95.65354823,2979,39,57747,35292,22455,17.3,59.7,20.9,0.3,0.5,0,44095,42313,2337,17466,894,15.7,23,24.4,23.5,23.4,12.9,15.9,85.1,9.9,0.2,0.5,0.7,3.6,23.7,19102,73.2,20.4,6.2,0.2,4.3
Andrew,MO,0.729,0.224,9140,6665,2045,0.742,0.241,9775,7256,2351,39.98492163,-94.80163024,474,8,17358,8622,8736,2.3,94.9,1.3,0.1,0.1,0,13329,56658,5755,28003,1772,9,8.3,35.4,14.9,22.6,10.6,16.5,86.8,6.6,0,2.2,0.5,3.8,22.5,8504,78.3,16.1,5.4,0.1,4.2
Andrews,TX,0.797,0.17,4926,3925,836,0.843,0.145,5856,4937,849,32.30468633,-102.6376548,667,10,17577,8980,8597,55.4,41.1,1.5,0.1,0.2,0.1,10695,70753,6115,29903,3147,11.9,15.5,21.3,13,24.2,22.7,18.8,79.8,16.8,0,0,0.8,2.5,19.8,8054,85.3,8.7,5.7,0.3,4.5
Androscoggin,ME,0.509,0.415,55340,28189,22975,,,,,,44.1664747,-70.20380627,876,10,107317,52550,54767,1.8,91.1,1.6,0.2,0.8,0,82714,49538,1293,26276,706,14.3,19.8,33.2,19.3,23.5,9.8,14.1,78.8,11.2,0.2,4,1.7,4.1,24.2,53532,82.1,11.2,6.5,0.1,5.2
Angelina,TX,0.725,0.252,29870,21666,7538,0.724,0.264,34628,25070,9136,31.25457347,-94.60901487,2317,93,87700,42707,44993,21.5,61.2,14.7,0.1,1.1,0,60533,46472,1452,21974,758,19.1,27.1,28.2,20.9,24,12.3,14.6,82.9,11.9,0.4,1.7,0.9,2.2,18.7,36164,77.2,16.7,6,0.1,7.6
Anne Arundel,MD,0.471,0.478,242939,114509,116074,0.42,0.559,293582,123337,164255,39.00670238,-76.60329337,12256,281,564600,279581,285019,7.3,69.6,15.9,0.1,3.6,0.1,418118,94502,1251,43258,544,6.1,7.4,47,15.4,23,7.5,7.1,80.1,7.5,3.6,2.3,1.4,5.1,30.2,290628,72.2,23.3,4.4,0.1,5.2
Anoka,MN,0.507,0.41,184084,93341,75499,0.498,0.479,210491,104903,100892,45.27476015,-93.24604565,9947,159,344861,172482,172379,4.2,82.7,5.5,0.5,4.2,0,251328,76796,917,34321,453,6.6,9.3,36.6,15.9,24.2,9,14.2,82.2,7.8,3.4,1,1,4.5,28.1,187986,84.5,11,4.3,0.1,4.2
Anson,NC,0.431,0.557,10394,4480,5785,0.476,0.518,11183,5321,5788,34.97403241,-80.09953279,737,11,25531,13361,12170,3.8,44.9,48.6,0.3,1.2,0,19852,38123,3690,19105,1456,22.7,29.8,23.4,20.7,15.9,12.1,27.9,85.9,10.6,0,1.6,0.5,1.4,27.8,10153,73.3,22,4.5,0.2,13.4
Antelope,NE,0.844,0.118,3220,2717,381,0.863,0.126,3583,3093,452,42.17695516,-98.0666283,182,1,6406,3213,3193,3.2,95.3,0.2,0.3,0.4,0,4851,46949,2107,28091,2085,11.5,14.6,36.2,15,18.9,17.2,12.7,76.7,7.4,0,4.9,1.2,9.8,16,3203,72,13.1,14.8,0.1,1.9
Antrim,MI,0.624,0.328,13572,8469,4448,0.564,0.42,17347,9783,7289,44.99690221,-85.15503082,143,0,23133,11479,11654,2.1,95,0.3,0.8,0.3,0,18589,50988,1365,29307,1193,12.6,20.5,27.5,21.6,22.5,10.8,17.7,74.7,14.5,0.7,1.9,1,7.3,25,9771,79.6,9.9,10.3,0.2,6.1
Apache,AZ,0.285,0.654,18659,5315,12196,0.327,0.661,34397,11240,22730,35.39465006,-109.4892383,4003,171,71602,35355,36247,6.1,18.5,0.5,72.8,0.3,0.1,50359,32360,1213,13865,370,35.9,45.3,29.7,25.4,20.6,11.5,12.8,78,8.9,1.2,4.6,1.2,6.2,26.7,18197,52.7,42.7,4.4,0.1,14.1
Appanoose,IA,0.661,0.297,6096,4031,1813,0.694,0.291,6506,4512,1891,40.74324454,-92.86865906,287,3,12547,6206,6341,1.8,95.7,0.6,0.1,0.5,0,9739,40377,2415,25543,2560,17.1,26.3,28.7,14,25.6,9.1,22.6,80.8,11.1,0.3,2,1,4.7,19.6,5502,77.2,13,9.6,0.2,6.3
Appling,GA,0.784,0.205,7003,5492,1434,0.782,0.213,8341,6526,1779,31.74847232,-82.28909114,1179,38,18471,9090,9381,9.7,69.6,17.9,0.6,0.8,0,13387,37089,3056,19936,1548,24.7,31.8,26,13.9,18.7,22.8,18.6,82.9,11.3,0.2,2.4,0.6,2.6,22,6951,78.8,16.2,4.9,0.2,7.7
Appomattox,VA,0.718,0.254,7954,5714,2023,0.725,0.262,9239,6702,2418,37.37569884,-78.81340003,308,6,15462,7507,7955,1.3,76.7,20.1,0.1,0.2,0,12017,54875,5421,26347,1585,14.4,22.2,33.2,16.8,23.3,12.9,13.9,80.1,10.1,0.5,1.8,2.4,5.1,31.9,6890,79.1,18,2.8,0.1,3.5
