,index,32,31
88,14559,42.3713593699,-71.0609139256
89,14560,42.3715114569,-71.0609646791
90,14563,42.3705698323,-71.0615826435
91,14567,42.3715004077,-71.0600569644
92,14592,42.3734072286,-71.0594131443
93,14596,42.3721066222,-71.060962684
94,14606,42.3724153915,-71.0617836203
95,15437,42.3726695251,-71.0649448871
96,15438,42.3727341657,-71.0651407813
97,15450,42.3712546395,-71.0633235923
98,15451,42.3711927888,-71.063144562
99,15452,42.3710760468,-71.0628138996
100,15454,42.3710241341,-71.0626956641
101,15467,42.3720736337,-71.0668543131
102,15469,42.3718089256,-71.0661504801
103,15470,42.3712097045,-71.0650352119
104,15473,42.3724969135,-71.0664009411
105,15475,42.3721796672,-71.0655133321
106,15482,42.3838614603,-71.0481677796
107,16166,42.3652637762,-71.0691649542
108,16827,42.3656159256,-71.0673888871
109,16842,42.3656159256,-71.0673888871
110,16843,42.3656159256,-71.0673888871
111,16873,42.3656159256,-71.0673888871
112,16895,42.3656159256,-71.0673888871
113,16896,42.3656159256,-71.0673888871
114,16897,42.3656159256,-71.0673888871
115,16898,42.3656159256,-71.0673888871
116,16904,42.3656159256,-71.0673888871
117,16932,42.3656159256,-71.0673888871
118,16933,42.3656159256,-71.0673888871
119,16936,42.3656159256,-71.0673888871
120,16950,42.3656159256,-71.0673888871
121,16951,42.3656159256,-71.0673888871
122,17033,42.3659322938,-71.0684683246
123,17035,42.3662440992,-71.0677069809
124,17931,42.3654930946,-71.0643031133
125,17932,42.3654096565,-71.0641719859
126,17938,42.3655755372,-71.0639321225
127,17939,42.3656259949,-71.0640403181
128,17940,42.3688105151,-71.0683348628
129,17941,42.368960314,-71.0680304453
130,17942,42.3685496313,-71.0691549189
131,18464,42.3648349118,-71.0586433662
132,18500,42.3637304178,-71.059984015
133,18501,42.363699265,-71.0600329506
134,18659,42.3640221222,-71.061890679
135,18670,42.363044398,-71.0608549067
136,18672,42.3671666158,-71.0619574295
137,18688,42.3656047212,-71.0632804756
138,18694,42.3661277891,-71.0635409421
