county,state_code,percentage16_Donald_Trump,percentage16_Hillary_Clinton,total_votes16,votes16_Donald_Trump,votes16_Hillary_Clinton,percentage20_Donald_Trump,percentage20_Joe_Biden,total_votes20,votes20_Donald_Trump,votes20_Joe_Biden,lat,long,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,VotingAgeCitizen,Income,IncomeErr,IncomePerCap,IncomePerCapErr,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,Employed,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment,state,cases,deaths,dem_16_margin,dem_20_margin,dem_margin_shift,cases_rate,deaths_rate,men_percent,women_percent
Aiken,SC,61.49412221,34.00425287,74773,45981,25426,60.56113165,37.88812584,85185,51589,32275,33.54338026,-81.63645384,165707,80260,85447,5.5,66.7,24.5,0.2,1,0,124553,47713,1780,26222,719,16.7,26.6,34,16.9,22.9,10.7,15.5,84.6,10.4,0.2,1,0.9,2.9,24.9,70753,78.1,16.4,5,0.4,9,South Carolina,5210,87,-27.48986934,-22.67300581,4.816863527,3.144103749,0.052502308,48.43488809,51.56511191
Aitkin,MN,60.05443658,34.12084921,9185,5516,3134,62.51748252,36.03396603,10010,6258,3607,46.60962049,-93.4116826,15841,8079,7762,1.3,94.1,0.5,2.2,0.4,0,13155,45860,1405,26883,743,12.1,15.9,30.7,19.9,23.1,13.2,13,79.4,9.1,0.5,4.1,1.5,5.4,26,6274,75.8,15.7,8.4,0.1,6.2,Minnesota,249,4,-25.93358737,-26.48351648,-0.549929113,1.571870463,0.025250931,51.00056815,48.99943185
Alachua,FL,36.443005,58.96250401,127827,46584,75370,35.64194868,62.70100291,142784,50891,89527,29.67866525,-82.35928158,259865,125712,134153,9.3,62,19.8,0.3,5.9,0.1,200490,45478,1546,26431,711,23.3,22,46.1,19.2,23.3,5.3,6.2,74.7,8.8,4.1,3.3,4.6,4.5,21.2,120466,70.2,25.5,4.2,0.1,6.6,Florida,10842,78,22.51949901,27.05905424,4.539555225,4.172166317,0.030015585,48.37588748,51.62411252
Alamance,NC,55.20183645,42.25571726,69264,38235,29268,53.70086176,45.07850313,84710,45490,38186,36.0434701,-79.39976137,157844,75078,82766,12.3,65,18.9,0.3,1.5,0,113344,44281,1192,25157,738,17.6,26.1,33,17.4,23,10.3,16.2,85.1,9.3,0.2,1.3,1.1,2.9,23.6,73906,81,13.2,5.6,0.2,6,North Carolina,5464,88,-12.9461192,-8.622358635,4.323760561,3.461645675,0.055751248,47.56468412,52.43531588
Alameda,CA,15.07831253,79.50777001,424517,64010,337524,17.59499712,80.36641746,750128,131985,602851,37.64629437,-121.8929271,1629615,799649,829966,22.5,32.2,10.7,0.3,28.7,0.8,1056116,85743,940,41363,335,11.3,13,48,16,20.4,6.4,9.2,62,10.1,14.6,3.7,3.6,6,32.5,826310,79.3,13.2,7.3,0.1,6,California,24162,466,64.42945748,62.77142034,-1.658037133,1.482681492,0.028595711,49.06981097,50.93018903
Alamosa,CO,43.94664347,45.93301435,6897,3031,3168,48.88947998,48.19789866,7519,3676,3624,37.57250606,-105.7885451,16345,8085,8260,45.8,48.6,1.6,1.3,1,0.2,11257,36315,4688,19217,1603,27.8,33.8,30.6,22.6,22.3,13.1,11.4,75.8,15.7,0,4.2,1.4,2.9,14.6,6593,73.1,18.2,6.3,2.3,9.9,Colorado,361,9,1.986370886,-0.691581327,-2.677952213,2.208626491,0.05506271,49.46466809,50.53533191
Albany,NY,35.20024832,59.51338703,125644,44227,74775,37.49722289,60.22348575,121529,45570,73189,42.60060306,-73.97723916,308580,149287,159293,5.7,73,11.7,0.1,6.4,0,238354,62293,1234,35278,565,12.4,15,44.7,17.3,25.1,5.5,7.5,77,7.5,5.9,4.6,1.6,3.5,20.4,158961,71.3,24.5,4.2,0.1,5.3,New York,3802,140,24.31313871,22.72626287,-1.586875842,1.232095405,0.04536911,48.37870244,51.62129756
Albany,WY,46.2911084,41.94884287,16420,7601,6888,46.08153838,48.83708439,18617,8579,9092,41.65498705,-105.7235415,37944,19883,18061,9.3,82.9,1.3,0.7,2.9,0,30057,45816,1840,26034,1146,23,11.8,42.1,20.8,19.2,10.1,7.8,70.1,9.7,2.1,8.8,4.7,4.7,12.7,21115,61.4,32.8,5.7,0.1,4.8,,0,0,-4.34226553,2.755546006,7.097811536,0,0,52.4009066,47.5990934
Albemarle,VA,34.26087576,59.31699148,56134,19232,33297,32.36264078,66.05998382,64284,20804,42466,38.02080697,-78.55481085,105105,50283,54822,5.7,77.2,9.5,0.2,5,0,78224,72265,2910,39273,1293,9.8,11,54,15.5,18.7,6.2,5.6,76.9,8.6,1.8,3.4,1.8,7.6,21.9,50689,68,24.5,7.2,0.3,3.2,Virginia,1619,24,25.05611572,33.69734304,8.641227317,1.540364398,0.022834309,47.8407307,52.1592693
Alcona,MI,67.98834763,28.03042564,6179,4201,1732,68.63938836,30.32705649,7063,4848,2142,44.6846864,-83.59507875,10413,5247,5166,1.4,96,0.3,0.5,0.4,0,8984,39424,1705,24463,1059,14.9,21.7,23.5,20.9,22.9,13.2,19.6,80.8,9.6,0.2,1.8,2.3,5.3,24,3357,78.3,14,7.5,0.2,9.3,Michigan,59,3,-39.95792199,-38.31233187,1.645590124,0.566599443,0.028810141,50.38893691,49.61106309
Alcorn,MS,79.94722955,18.15844665,14781,11817,2684,81.13690134,17.52669608,15639,12689,2741,34.88084463,-88.57996173,37242,18345,18897,3,83.2,11.7,0,0.3,0,27984,38919,1799,20527,1028,19.6,24.1,29.2,14.9,22.8,10.6,22.5,85.9,10.6,0.3,1,0.5,1.7,22.4,14884,81.1,13.9,5,0.1,8.6,Mississippi,1138,13,-61.7887829,-63.61020526,-1.821422359,3.055689813,0.034906826,49.25890124,50.74109876
Alexander,IL,53.04964539,44.75177305,2820,1496,1262,54.27099982,44.78778192,5631,3056,2522,37.18049267,-89.32910838,6776,3258,3518,1,61.8,34.6,0.6,0.2,0,5100,31014,2759,18564,1678,33.4,59.3,26.8,27.8,25.9,4.9,14.6,87.7,5.8,0.8,1.7,1.4,2.6,27.3,2164,75,20.6,4.4,0,8.2,Illinois,156,2,-8.29787234,-9.483217901,-1.18534556,2.302243211,0.029515939,48.08146399,51.91853601
Alexander,NC,76.76419966,20.82060963,18011,13826,3750,78.55864811,20.44234592,20120,15806,4113,35.9223796,-81.17751948,37159,18797,18362,4.6,87,5.9,0.2,1.2,0.1,28548,44523,2886,22655,1043,14.7,23.6,26.8,12.6,20.6,9.4,30.7,84.9,8.9,0,0.8,2.6,2.8,25.6,16393,83.2,10.5,6.2,0.2,6.7,North Carolina,1009,10,-55.94359003,-58.11630219,-2.172712159,2.715358325,0.026911381,50.58532253,49.41467747
Alexandria city,VA,17.80087116,76.82700581,74384,13241,57147,17.77864704,80.97205584,81806,14544,66240,,,154710,74501,80209,16.7,51.8,21.7,0.1,6.1,0,103194,93370,1553,57019,1089,10.5,17.7,58.5,16,16.1,4.7,4.6,58.2,8.3,21.9,3.5,2.9,5.2,31.8,95344,70.1,25,4.9,0,3.9,,0,0,59.02613465,63.1934088,4.167274144,0,0,48.15525823,51.84474177
Alfalfa,OK,85.59397163,9.574468085,2256,1931,216,87.44473917,10.25641026,2262,1978,232,36.73090616,-98.32408495,5877,3502,2375,5,76.2,2.4,1.9,0,0,4597,57432,4840,28007,3779,11.2,16,31.6,15.8,18.9,20,13.8,77.2,11.9,0,4.9,2.5,3.5,18.8,2238,64.7,21.2,13.8,0.3,4.5,Oklahoma,139,0,-76.01950355,-77.18832891,-1.168825366,2.365152289,0,59.58822529,40.41177471
Alger,MI,57.27897186,36.84910259,4513,2585,1663,58.69522882,39.9805258,5135,3014,2053,46.41292944,-86.60260122,9254,5088,4166,1.4,84.2,7.2,3.3,0.1,0,7779,42647,5475,21771,1475,13,16.6,27.9,23.2,23.1,8.1,17.7,72.9,11.1,2,4.3,1.8,8,21.3,3160,77.1,17.6,5.3,0,6.9,Michigan,130,1,-20.42986927,-18.71470302,1.715166248,1.404797925,0.010806138,54.98162957,45.01837043
Allamakee,IA,59.5582858,35.23475208,6837,4072,2409,63.45354605,34.52205389,7459,4733,2575,43.28383218,-91.37860922,13940,7098,6842,6.1,91.2,0.9,0.1,0.3,0,10379,47895,3365,27377,1746,11.4,15.3,29.8,15.3,17.5,17.5,19.9,74.1,11.1,0.2,5,2.1,7.5,24.3,6881,77.8,10.3,10.8,1.1,3.3,Iowa,449,9,-24.32353371,-28.93149216,-4.607958444,3.220946915,0.06456241,50.91822095,49.08177905
Allegan,MI,61.30582199,32.51319058,55153,33812,17932,61.59536781,36.3892114,67182,41381,24447,42.59147037,-85.89102866,114145,56997,57148,7.2,88.7,1.3,0.5,0.6,0,84358,58487,1264,27172,539,10.8,14.3,30.3,14.7,20.1,12.4,22.5,86,7.6,0.3,1.4,0.7,4.1,23.9,54028,86.3,7.7,5.9,0.2,3.6,Michigan,1644,7,-28.79263141,-25.20615641,3.586474996,1.440273337,0.006132551,49.93385606,50.06614394
Allegany,MD,72.02201122,23.97137103,27804,20025,6665,69.3889461,29.05595606,29130,20213,8464,39.62357628,-78.69280486,72591,37892,34699,1.7,87.3,8,0.2,0.8,0,58846,42771,1485,22355,683,16.8,22.9,29.9,23.4,24.8,8.8,13.1,82.5,9.7,0.5,4.4,1.2,1.7,20.9,28738,73.6,22.6,3.7,0,9,Maryland,845,24,-48.0506402,-40.33299004,7.717650151,1.16405615,0.03306195,52.19930845,47.80069155
Allegany,NY,68.44719771,26.14107884,17111,11712,4473,73.35996758,24.24874066,17271,12670,4188,42.25748406,-78.02750466,47400,24013,23387,1.5,94.5,1.4,0.3,1.2,0,37152,45359,1489,22377,581,16.5,25.7,31.4,22.2,19.2,10.5,16.6,75.1,7.8,0.6,12.4,1.3,2.8,21.4,20132,73.6,19.3,6.8,0.3,7.3,New York,374,19,-42.30611887,-49.11122691,-6.805108041,0.789029536,0.040084388,50.66033755,49.33966245
Alleghany,NC,72.66973533,24.93287303,5214,3789,1300,74.51986755,24.50331126,6040,4501,1480,36.49360862,-81.12857041,10935,5445,5490,9.4,87.3,2.4,0.1,0.2,0,8492,38944,2715,21153,1201,21,35.2,29.7,18,22.6,15.3,14.4,82.2,10.5,0.2,2.5,0.4,4.2,25,4447,70.6,16.9,12.4,0.2,5.7,North Carolina,326,1,-47.73686229,-50.01655629,-2.279693998,2.981252858,0.009144947,49.79423868,50.20576132
Alleghany,VA,66.69860389,29.63317821,7306,4873,2165,71.52972775,27.38371383,8191,5859,2243,37.78636074,-80.00222498,15489,7586,7903,1.4,91.9,5.5,0,0.1,0.1,12369,46020,4009,25952,1320,19.3,25.7,28.3,16.4,22.4,13.2,19.7,86.6,7.7,0.5,0.7,1.7,2.7,24.6,6225,81.6,12.2,6,0.2,4.4,Virginia,154,4,-37.06542568,-44.14601392,-7.08058824,0.994253987,0.025824779,48.97669314,51.02330686
Allegheny,PA,40.03401884,56.44157948,643173,257488,363017,38.98567043,59.47753508,707837,275955,421004,40.46809875,-79.98167747,1229605,593177,636428,2,79.1,12.7,0.1,3.5,0,961881,56333,474,35280,259,12.5,16.9,45,16.8,23.7,6.1,8.3,72,8.4,9.2,4.2,1.5,4.7,26.7,622670,86.7,8.6,4.6,0.1,5.9,Pennsylvania,16210,423,16.40756064,20.49186465,4.084304012,1.318309538,0.034401291,48.24126447,51.75873553
Allen,IN,57.48180565,37.87854884,145787,83801,55222,54.38140669,43.10089723,168964,91885,72825,41.09194313,-85.06800636,367747,179414,188333,7.2,74.6,11.3,0.2,3.5,0,260663,51091,655,26932,523,14.7,22,33.7,16.5,24.3,7.6,17.9,84.3,8.7,0.8,1.2,0.9,4,21.3,176365,87.2,8.6,4.1,0.1,6.3,Indiana,9919,240,-19.60325681,-11.28050946,8.322747349,2.697234784,0.065262259,48.78734565,51.21265435
Allen,KS,67.27512232,26.30786601,5314,3575,1398,71.12290312,26.68606642,5842,4155,1559,37.88582951,-95.30030847,12752,6318,6434,3.3,90.7,1.5,0.1,0.6,0.1,9728,43031,2171,23011,1282,14.2,18.2,27.5,15.6,20.7,8.6,27.5,80.9,10.7,0.9,3.5,0.7,3.3,17.4,6006,75.3,15.9,8.4,0.4,3.6,Kansas,143,1,-40.9672563,-44.4368367,-3.469580396,1.121392723,0.007841907,49.54516939,50.45483061
Allen,KY,79.915956,16.67284637,8091,6466,1349,81.02104026,17.53711417,9363,7586,1642,36.75197631,-86.19457544,20628,10227,10401,1.9,95.4,1.9,0,0.2,0,15597,40598,2927,21652,1505,20,27.9,24.5,16.6,21.8,13.5,23.7,77.9,11,0.2,2.5,1.6,6.9,24.1,8443,74.8,13.9,11.3,0.1,7.5,Kentucky,576,11,-63.24310963,-63.48392609,-0.240816464,2.792321117,0.053325577,49.57824316,50.42175684
Allen,OH,66.89219464,28.71000986,44636,29858,12815,69.13420474,29.35809499,46362,32052,13611,40.77285242,-84.10802343,104157,52614,51543,2.9,81.2,11.7,0.2,0.7,0,79167,47905,1708,24551,743,15,20.9,28.2,18.4,21.8,8.5,23.2,86.4,8.1,0.7,1.6,1.2,2,18.9,48351,86.1,9.8,4,0.1,7.2,Ohio,2715,80,-38.18218478,-39.77610975,-1.593924961,2.606641896,0.076807128,50.51412771,49.48587229
Allen,LA,74.2779881,22.77988102,9245,6867,2106,77.2069317,21.48827727,9810,7574,2108,30.65385745,-92.82442028,25667,14542,11125,4.9,71.1,19,1.8,0.7,0,19205,42176,3540,20103,1700,16.6,22.4,29.1,23.1,21.3,15,11.5,84.3,9.8,0.7,0.7,2.2,2.3,28.3,8577,72.8,23.8,3.2,0.2,9.4,Louisiana,1872,64,-51.49810708,-55.71865443,-4.220547349,7.293411774,0.249347411,56.65640706,43.34359294
Allendale,SC,22.0234768,76.07602012,3578,788,2722,23.23963262,75.64709157,3593,835,2718,32.98837386,-81.35321066,9402,4952,4450,3.1,22.5,73.5,0.5,0,0,7492,23331,2177,13439,1150,30.4,52.7,20.3,24,18.8,13.9,22.9,80.4,10.7,2.2,4.1,1,1.6,28.3,2668,71,23.4,5.7,0,17.3,South Carolina,426,7,54.05254332,52.40745895,-1.645084372,4.530950862,0.074452244,52.66964476,47.33035524
Alpena,MI,61.8872549,33.20397603,14688,9090,4877,62.98479312,35.36484734,16966,10686,6000,45.03477666,-83.62212411,28730,14169,14561,1.3,96,0.5,0.4,0.4,0.1,23062,40954,1521,24030,751,15,19.1,29.5,19.8,26.1,10,14.6,82.9,8.4,0.7,2.7,1.2,3.9,16.9,12665,83,10.4,6.4,0.2,6.4,Michigan,192,14,-28.68327887,-27.61994577,1.063333093,0.668290985,0.048729551,49.31778629,50.68221371
Alpine,CA,36.69565217,55.30434783,575,211,318,32.33695652,64.26630435,736,238,473,38.59678594,-119.8223594,1203,664,539,9.7,64.6,1.5,20.6,0.7,0,936,63438,4535,27448,6258,19.8,17.3,38.2,21.9,18.7,12.8,8.3,62.1,13.2,0,9.1,1.6,14,21.9,374,58.6,30.2,11.2,0,14.6,California,16,0,18.60869565,31.92934783,13.32065217,1.330008313,0,55.19534497,44.80465503
Amador,CA,60.39406906,34.03323714,10049,6069,3420,60.90566376,36.56314514,22282,13571,8147,38.44583082,-120.65696,37306,20005,17301,13.2,79.3,2,0.7,1.5,0.2,30677,60636,2765,29628,1631,10.6,20.3,32.7,23.2,24.1,9.9,10.1,80.7,9.2,0.1,2.5,1.1,6.4,32,13444,63.9,21,14.7,0.4,9.3,California,357,16,-26.36083192,-24.34251862,2.018313299,0.956950625,0.042888543,53.62408192,46.37591808
Amelia,VA,66.86567164,30.56147832,7035,4704,2150,68.392336,30.5925644,7881,5390,2411,37.34081025,-77.98584649,12802,6644,6158,1.1,72.4,23.7,0.3,0.1,0,10049,58535,5713,26118,1734,13,18.9,25.8,18.6,27.4,17.2,11.1,86.7,6,1.1,1.6,1.8,2.7,38,6166,76.1,15.8,6.7,1.3,3.3,Virginia,151,6,-36.30419332,-37.7997716,-1.495578283,1.179503203,0.046867677,51.89814092,48.10185908
Amherst,VA,63.59140069,32.88050646,15164,9643,4986,62.19312602,32.01647949,17719,11020,5673,37.60308293,-79.14548696,31819,15331,16488,2.3,75.5,17.6,0.2,0.6,0,25212,49677,3603,24296,1374,13.4,20.6,27.9,20.3,24.7,9.8,17.4,82.6,10.6,0.6,1.3,2.3,2.6,24.1,14506,78.6,16.2,5,0.1,5.6,Virginia,633,6,-30.71089422,-30.17664654,0.534247686,1.989377416,0.018856658,48.18190389,51.81809611
Amite,MS,60.8844021,38.21982084,7033,4282,2688,63.29092735,35.38667559,5974,3781,2114,31.17467303,-90.80501621,12574,6133,6441,0.2,57.3,42,0,0.3,0,9902,30129,3714,19665,1493,22.8,29.5,24.4,19.2,16.5,19.2,20.6,81.2,12.1,2.2,0.4,1.4,2.7,37.1,4550,71.8,17.3,10.2,0.7,10.8,Mississippi,438,13,-22.66458126,-27.90425176,-5.239670498,3.4833784,0.103387943,48.77525052,51.22474948
