state,called,final,dem_2020,rep_2020,other_2020,dem_percent,rep_percent,other_percent,dem_2020_margin,margin_shift,vote_change,state_code,EV,dem_2016,rep_2016,2016 Margin,Total 2016 Votes,Total 2020 Votes,usa_state_latitude,usa_state_longitude
New Hampshire,D,Yes,424921,365654,15607,52.70782528014766,45.3562595046776,1.9359152151747367,7.351565775470058,6.983970075470058,8.334789117364862,NH,4.0,348526.0,345790.0,0.3675957,744158,806182,43.193852,-71.572395
North Carolina,R,Yes,2684292,2758775,81737,48.586194188970325,49.934350612257006,1.4794551987726623,-1.3481564232866887,2.307072076713311,16.518600191835436,NC,15.0,2189316.0,2362631.0,-3.6552285,4741564,5524804,35.759572999999996,-79.0193
Ohio,R,Yes,2679165,3154834,88203,45.23933834070503,53.27130010087464,1.4893615584203308,-8.031961760169615,0.09761263983038583,7.745219810398897,OH,18.0,2394164.0,2841005.0,-8.129574400000001,5496487,5922202,40.417287,-82.907123
Pennsylvania,D,Yes,3459923,3378263,79397,50.016356869155025,48.83588675408738,1.147756376757605,1.1804701150676422,1.8988572150676424,13.117387867551471,PA,20.0,2926441.0,2970733.0,-0.7183871000000001,6115402,6917583,41.203322,-77.194525
Texas,R,Yes,5259126,5890347,165583,46.479009913870506,52.05760360355265,1.4633864825768428,-5.578593689682137,3.420833910317864,26.154207732083012,TX,38.0,3877868.0,4685047.0,-8.9994276,8969226,11315056,31.968598999999998,-99.901813
Wisconsin,D,Yes,1630866,1610184,56991,49.449536861427745,48.822437319608824,1.7280258189634392,0.6270995418189145,1.3914427418189144,10.815684693311827,WI,10.0,1382536.0,1405284.0,-0.7643432,2976150,3298041,43.784440000000004,-88.787868
Alabama,R,Yes,849624,1441170,32488,36.569990212122335,62.0316431668648,1.3983666210128602,-25.46165295474247,2.2634936452575296,9.414742211915764,AL,9.0,729547.0,1318255.0,-27.725146600000002,2123372,2323282,32.318231,-86.902298
Alaska,R,Yes,153778,189951,15801,42.771952271020496,52.83314327038078,4.394904458598726,-10.061190999360283,4.669449800639715,12.84399638427158,AK,3.0,116454.0,163387.0,-14.7306408,318608,359530,63.588753000000004,-154.493062
Arkansas,R,Yes,423932,760647,34490,34.77506195301496,62.39572985614432,2.8292081908407147,-27.62066790312936,-0.6996899031293573,7.821622362654615,AR,6.0,380494.0,684872.0,-26.920978,1130635,1219069,35.20105,-91.83183299999999
California,D,No,11109764,6005961,378259,63.506197330465156,34.33157935893848,2.1622233105963744,29.17461797152668,-0.934675128473323,23.356956675183568,CA,55.0,8753792.0,4483814.0,30.1092931,14181595,17493984,36.778261,-119.41793200000001
Colorado,D,Yes,1804352,1364607,87993,55.400018176503664,41.89828403980163,2.701697783694694,13.501734136702039,8.596198736702041,17.147276114839833,CO,9.0,1338870.0,1202484.0,4.9055354000000015,2780220,3256952,39.550051,-105.782067
Connecticut,D,Yes,1080680,715291,28302,59.23894066293806,39.209646801767065,1.5514125352948818,20.029293861170988,6.389907161170991,10.903448192009337,CT,7.0,897572.0,673215.0,13.6393867,1644920,1824273,41.603221000000005,-73.087749
Delaware,D,Yes,296268,200603,7475,58.74300579364167,39.774876771105546,1.4821174352527828,18.96812902253612,7.594896122536117,14.211372540139044,DE,3.0,235603.0,185127.0,11.3732329,441590,504346,38.910832,-75.52767
District of Columbia,D,Yes,317323,18586,8447,92.14969392140692,5.397321376714794,2.452984701878289,86.75237254469212,-0.0239745553078734,10.63006798000437,DC,3.0,282830.0,12723.0,86.7763471,311268,344356,38.905985,-77.03341800000001
Hawaii,D,No,366130,196864,11475,63.73363923901899,34.26886394217965,1.9974968188013629,29.464775296839342,-2.71803940316066,33.928525634300605,HI,4.0,266891.0,128847.0,32.1828147,428937,574469,19.898682,-155.66585700000002
Idaho,R,No,287021,554119,25962,33.10118071461028,63.904707865971936,2.9941114194177847,-30.803527151361667,0.9658914486383344,25.620531542690745,ID,4.0,189765.0,409055.0,-31.7694186,690255,867102,44.068202,-114.74204099999999
Illinois,D,Yes,3471915,2446891,114938,57.541635840035646,40.55344409706477,1.9049200628995864,16.988191742970873,-0.07542185702912718,8.982693522027937,IL,20.0,3090729.0,2146015.0,17.063613600000004,5536424,6033744,40.633125,-89.398528
Indiana,R,Yes,1242413,1729516,61183,40.96165918040613,57.02117165472293,2.017169164870932,-16.059512474316804,3.1056813256831965,10.901593369989595,IN,11.0,1033126.0,1557286.0,-19.1651938,2734958,3033112,40.551217,-85.602364
Kansas,R,Yes,570323,771406,30574,41.559553538832176,56.21251283426474,2.2279336269030963,-14.652959295432565,5.949251804567435,15.864630421090135,KS,6.0,427005.0,671018.0,-20.6022111,1184402,1372303,39.011902,-98.484246
Kentucky,R,Yes,772474,1326646,37648,36.151514811154044,62.08657186929044,1.7619133195555157,-25.935057058136398,3.902393141863598,11.05002783048506,KY,8.0,628854.0,1202971.0,-29.8374502,1924149,2136768,37.839333,-84.27001800000001
Louisiana,R,Yes,856034,1255776,36252,39.85145680152621,58.46088241400853,1.6876607844652531,-18.609425612482323,1.0296929875176843,5.866344148342657,LA,8.0,780154.0,1178638.0,-19.639118600000003,2029032,2148062,31.244822999999997,-92.14502399999999
Maine,D,Yes,435072,360737,23652,53.092459555732354,44.021252994346284,2.8862874499213507,9.071206561386076,6.110757261386078,9.564302398496107,ME,2.0,357735.0,335593.0,2.9604493,747927,819461,45.253783,-69.44546899999999
Maine 1st District,D,Yes,266376,164045,12691,60.11482424308075,37.021114300673425,2.8640614562458246,23.093709942407337,8.286277542407335,12.371141863773653,ME1,1.0,,,14.8074324,394329,443112,,
Maryland,D,Yes,1985023,976414,75593,65.36066486007711,32.15029156774876,2.489043572174131,33.210373292328356,6.79393379232835,9.188889520055396,MD,10.0,1677928.0,943169.0,26.416439500000003,2781446,3037030,39.045755,-76.641271
Massachusetts,D,Yes,2382202,1167202,81998,65.60006300596851,32.14191103050557,2.2580259635259328,33.458151975462926,6.261445475462924,9.213586819550768,MA,11.0,1995196.0,1090893.0,27.1967065,3325046,3631402,42.407211,-71.382437
Mississippi,R,Yes,539508,756789,17597,41.06175992888315,57.59893872717282,1.339301343944032,-16.53717879828967,1.2890710017103295,8.644014960015943,MS,6.0,485131.0,700714.0,-17.826249800000006,1209357,1313894,32.354668,-89.398528
Missouri,R,Yes,1253014,1718736,54212,41.40878173618836,56.799655778889495,1.7915624849221503,-15.390874042701128,3.246242957298872,7.7389664976029025,MO,10.0,1071068.0,1594511.0,-18.637117,2808605,3025962,37.964253,-91.83183299999999
Montana,R,Yes,244786,343602,15286,40.54936936160908,56.91846924002027,2.5321613983706444,-16.36909987841119,4.05363222158881,21.42766626370068,MT,3.0,177709.0,279240.0,-20.4227321,497147,603674,46.879682,-110.36256599999999
Nebraska,R,Yes,374583,556846,20283,39.35886066373021,58.50992737298679,2.1312119632830098,-19.151066709256575,5.897528090743425,12.723486862910686,NE,2.0,284494.0,495961.0,-25.0485948,844289,951712,41.492537,-99.901813
Nebraska 1st District,R,Yes,132261,180290,7495,41.32562194184586,56.33252719921511,2.3418508589390274,-15.00690525736925,5.712941142630753,13.355623401738342,NE1,1.0,,,-20.719846399999998,282338,320046,,
Nebraska 3rd District,R,Yes,65854,222179,5879,22.406026293584475,75.59371512561583,2.000258580799695,-53.187688832031355,1.0004352679686477,8.812368340188591,NE3,1.0,,,-54.1881241,270109,293912,,
New Jersey,D,Yes,2608335,1883274,57744,57.33419675281298,41.39652385734851,1.269279389838511,15.93767289546448,1.8349750954644808,17.43156895917085,NJ,14.0,2148278.0,1601933.0,14.1026978,3874046,4549353,40.058324,-74.405661
New Mexico,D,Yes,501614,401894,20457,54.28928584957222,43.496669246129464,2.2140449042983232,10.792616603442767,2.5794838034427663,15.738966176385851,NM,5.0,385234.0,319667.0,8.213132799999999,798318,923965,34.97273,-105.03236299999999
New York,D,Yes,5241957,3250075,119043,60.87459463539686,37.74296472856177,1.3824406360413768,23.131629906835087,0.641173806835095,11.521432559390053,NY,29.0,4556118.0,2819533.0,22.490456100000003,7721453,8611075,43.299428000000006,-74.217933
North Dakota,R,Yes,114902,235595,11322,31.756762359080092,65.11404873707572,3.129188903844187,-33.35728637799563,2.3716020220043674,5.069984899523754,ND,3.0,93758.0,216794.0,-35.72888839999999,344360,361819,47.551493,-101.002012
Oklahoma,R,Yes,503890,1020280,36529,32.286174335986644,65.37327184806297,2.340553815950417,-33.08709751207632,3.3040869879236823,7.412773091661895,OK,7.0,420375.0,949136.0,-36.391184499999994,1452992,1560699,35.007752,-97.092877
Oregon,D,Yes,1340383,958448,75490,56.45331865404888,40.36724604634336,3.179435299607761,16.086072607705525,5.108255807705524,18.63680061718772,OR,7.0,1002106.0,782403.0,10.9778168,2001336,2374321,43.804133,-120.554201
Rhode Island,D,Yes,307486,199922,10349,59.388091324694784,38.613094559803145,1.99881411550206,20.77499676489164,5.266447664891639,11.550941087248786,RI,4.0,252525.0,180543.0,15.508549100000002,464144,517757,41.580095,-71.477429
South Carolina,R,Yes,1091541,1385103,36685,43.43008814206178,55.11029395674024,1.4596179011979729,-11.680205814678462,2.585707085321541,19.510068106591124,SC,9.0,855373.0,1155389.0,-14.265912900000002,2103027,2513329,33.836081,-81.163725
South Dakota,R,Yes,150471,261043,11095,35.605252136135285,61.76938967225024,2.625358191614471,-26.16413753611495,3.6291846638850487,14.18994685119686,SD,3.0,117458.0,227721.0,-29.793322200000002,370093,422609,43.969515,-99.901813
Tennessee,R,Yes,1143711,1852475,57665,37.4514342710237,60.660294166283805,1.8882715626924824,-23.208859895260108,2.796841004739889,21.76308309280562,TN,11.0,870695.0,1522925.0,-26.0057009,2508027,3053851,35.517491,-86.58044699999999
Utah,R,Yes,560282,865140,62867,37.64604858330606,58.12983902991961,4.224112386774343,-20.483790446613533,-2.4044572466135317,31.54052835791874,UT,6.0,310676.0,515231.0,-18.0793332,1131430,1488289,39.32098,-111.093731
Vermont,D,Yes,242820,112704,11904,66.08641693066397,30.67376465593259,3.2398184134034427,35.412652274731386,9.004301074731384,16.619004846588187,VT,3.0,178573.0,95369.0,26.4083512,315067,367428,44.558803000000005,-72.577841
Virginia,D,Yes,2413568,1962430,84526,54.10951717780242,43.995503667282144,1.894979154915432,10.114013510520287,4.792818110520287,11.996026867854187,VA,13.0,1981473.0,1769443.0,5.3211954000000015,3982752,4460524,37.431573,-78.656894
Washington,D,Yes,2369612,1584651,133368,57.97030113530306,38.76697774334328,3.2627211213536644,19.203323391959785,3.4973234919597846,21.45167462750071,WA,12.0,1742718.0,1221747.0,15.705999900000002,3365644,4087631,47.751073999999996,-120.74013899999999
West Virginia,R,Yes,235984,545382,13286,29.69652124451961,68.63155192461606,1.6719268308643283,-38.93503068009645,3.137662919903555,11.443921963506115,WV,5.0,188794.0,489371.0,-42.0726936,713051,794652,38.597626,-80.454903
Wyoming,R,Yes,73491,193559,9715,26.553574332014524,69.93622748541179,3.510198182573664,-43.38265315339729,2.91262254660272,8.175134552020918,WY,3.0,55973.0,174419.0,-46.29527570000001,255849,276765,43.075967999999996,-107.29028400000001
