,Neighborhood,Topic,Frequency
725,Back Bay,Crime,0
726,Dorchester,Crime,0
727,Fenway,Crime,2
728,East Boston,Crime,5
729,Roxbury,Crime,5
730,Dorchester,Crime,5
731,Roxbury,Crime,10
732,Mattapan,Crime,0
733,Roxbury,Crime,1
734,Back Bay,Crime,2
735,South Boston,Crime,2
736,Back Bay,Crime,3
737,Beacon Hill,Crime,1
738,Downtown,Crime,0
739,Beacon Hill,Crime,0
740,Mattapan,Crime,0
741,Beacon Hill,Crime,2
742,Brighton,Crime,0
743,Allston,Crime,0
744,North End,Crime,0
745,Charlestown,Crime,0
746,East Boston,Crime,0
747,South Boston,Crime,0
748,South End,Crime,0
749,North End,Crime,0
750,Downtown,Crime,0
751,Charlestown,Crime,0
752,East Boston,Crime,0
753,South Boston,Crime,0
754,South End,Crime,0
755,Roxbury,Crime,0
756,Dorchester,Crime,0
757,Jamaica Plain,Crime,0
758,Beacon Hill,Crime,0
759,Brighton,Crime,0
760,Allston,Crime,0
761,Roxbury,Crime,0
762,Dorchester,Crime,0
763,Mattapan,Crime,0
764,Hyde Park,Crime,0
765,Beacon Hill,Crime,0
766,Roslindale,Crime,1
767,Mattapan,Crime,0
768,Back Bay,Crime,0
769,Beacon Hill,Crime,0
770,North End,Crime,0
771,East Boston,Crime,0
772,South End,Crime,0
773,Roxbury,Crime,0
774,Mission Hill,Crime,0
775,Jamaica Plain,Crime,0
776,Dorchester,Crime,0
777,Mattapan,Crime,0
778,Hyde Park,Crime,0
779,Downtown,Crime,1
780,North End,Crime,0
781,Roxbury,Crime,0
782,Beacon Hill,Crime,0
783,Roxbury,Crime,0
784,West Roxbury,Crime,0
785,Dorchester,Crime,1
786,Jamaica Plain,Crime,0
787,Charlestown,Crime,0
788,Beacon Hill,Crime,0
789,South Boston,Crime,0
790,Downtown,Crime,0
791,South Boston,Crime,0
792,Dorchester,Crime,7
793,Roxbury,Crime,5
794,Fenway,Crime,1
795,Back Bay,Crime,1
796,Beacon Hill,Crime,1
797,Downtown,Crime,1
798,South Boston,Crime,0
799,Brighton,Crime,0
800,Allston,Crime,0
801,North End,Crime,0
802,Downtown,Crime,0
803,Charlestown,Crime,0
804,East Boston,Crime,0
805,South Boston,Crime,0
806,South End,Crime,0
807,Roxbury,Crime,0
808,Brighton,Crime,0
809,Allston,Crime,0
810,Downtown,Crime,1
811,Fenway,Crime,1
812,Allston,Crime,0
813,Downtown,Crime,0
814,Longwood Medical Area,Crime,0
815,Beacon Hill,Crime,0
816,Downtown,Crime,0
817,Roxbury,Crime,3
818,Dorchester,Crime,3
819,East Boston,Crime,2
820,East Boston,Crime,0
821,South Boston,Crime,6
822,Roxbury,Crime,0
823,Dorchester,Crime,0
824,Allston,Crime,0
825,Beacon Hill,Crime,0
826,South Boston,Crime,0
827,Dorchester,Crime,0
828,South Boston,Crime,0
829,Jamaica Plain,Crime,0
830,Fenway,Crime,0
831,Jamaica Plain,Crime,0
832,Roxbury,Crime,7
833,Fenway,Crime,0
834,Mission Hill,Crime,9
835,Jamaica Plain,Crime,9
836,Dorchester,Crime,9
837,Mattapan,Crime,9
838,Beacon Hill,Crime,0
839,Downtown,Crime,0
840,South Boston,Crime,7
841,South End,Crime,1
842,Downtown,Crime,0
843,Brighton,Crime,0
844,Allston,Crime,0
845,Fenway,Crime,0
846,Back Bay,Crime,0
847,Beacon Hill,Crime,0
848,West End,Crime,0
849,North End,Crime,0
850,Downtown,Crime,0
851,Charlestown,Crime,0
852,East Boston,Crime,0
853,South Boston,Crime,0
854,South End,Crime,0
855,Roxbury,Crime,0
856,Mission Hill,Crime,0
857,Roslindale,Crime,3
858,Beacon Hill,Crime,1
859,Beacon Hill,Crime,0
860,South Boston,Crime,0
861,Beacon Hill,Crime,0
862,Beacon Hill,Crime,0
863,Brighton,Crime,0
864,Allston,Crime,0
865,Fenway,Crime,0
866,Roxbury,Crime,0
867,Mission Hill,Crime,0
868,Jamaica Plain,Crime,0
869,Dorchester,Crime,0
870,Dorchester,Crime,7
871,East Boston,Crime,2
872,Dorchester,Crime,13
873,Fenway,Crime,3
874,Downtown,Crime,0
875,Downtown,Crime,4
876,South End,Crime,4
877,Roxbury,Crime,4
878,Downtown,Crime,0
879,Roxbury,Crime,0
880,West Roxbury,Crime,0
881,Dorchester,Crime,4
882,Roslindale,Crime,4
883,Charlestown,Crime,0
884,Charlestown,Crime,0
885,Roxbury,Crime,4
886,Roxbury,Crime,3
887,East Boston,Crime,2
888,Back Bay,Crime,0
889,South End,Crime,4
890,Dorchester,Crime,12
891,Mattapan,Crime,12
892,South Boston,Crime,0
893,Roxbury,Crime,16
894,Roxbury,Crime,1
895,West Roxbury,Crime,1
896,Roxbury,Crime,1
897,East Boston,Crime,2
898,East Boston,Crime,1
899,Dorchester,Crime,5
900,Mattapan,Crime,5
901,East Boston,Crime,11
902,Roxbury,Crime,1
903,West Roxbury,Crime,1
904,South End,Crime,2
905,Roxbury,Crime,0
906,Dorchester,Crime,0
907,West Roxbury,Crime,0
908,East Boston,Crime,6
909,Longwood Medical Area,Crime,0
910,South Boston,Crime,0
911,Mattapan,Crime,0
912,South Boston,Crime,0
913,Fenway,Crime,6
914,Roxbury,Crime,6
915,Mission Hill,Crime,6
916,Back Bay,Crime,0
917,Charlestown,Crime,7
918,Roxbury,Crime,7
919,Dorchester,Crime,7
920,Roslindale,Crime,7
921,Hyde Park,Crime,7
922,Dorchester,Crime,1
923,Roslindale,Crime,1
924,South Boston,Crime,0
925,Roxbury,Crime,2
926,Roslindale,Crime,3
927,Back Bay,Crime,0
928,Fenway,Crime,0
929,Dorchester,Crime,0
930,Dorchester,Crime,11
931,Dorchester,Crime,6
932,Charlestown,Crime,0
933,Allston,Crime,17
934,Downtown,Crime,17
935,Charlestown,Crime,17
936,South End,Crime,17
937,Dorchester,Crime,17
938,North End,Crime,0
939,Fenway,Crime,3
940,Roslindale,Crime,0
941,Beacon Hill,Crime,0
942,South Boston,Crime,0
943,East Boston,Crime,2
944,Dorchester,Crime,11
945,Mattapan,Crime,11
946,Fenway,Crime,0
947,Dorchester,Crime,7
948,Dorchester,Crime,0
949,Beacon Hill,Crime,0
950,Beacon Hill,Crime,1
951,East Boston,Crime,1
952,Downtown,Crime,0
953,South End,Crime,0
954,Downtown,Crime,13
955,Roxbury,Crime,7
956,Dorchester,Crime,8
957,Mattapan,Crime,8
958,Back Bay,Crime,1
959,Roxbury,Crime,7
960,Downtown,Crime,1
961,Beacon Hill,Crime,0
962,Dorchester,Crime,0
963,Downtown,Crime,0
964,Dorchester,Crime,0
965,Dorchester,Crime,4
966,Dorchester,Crime,13
967,Dorchester,Crime,19
968,Roxbury,Crime,3
969,Downtown,Crime,2
970,Roxbury,Crime,0
971,South Boston,Crime,0
972,Roxbury,Crime,0
973,Dorchester,Crime,0
974,Jamaica Plain,Crime,0
975,Dorchester,Crime,0
976,Mattapan,Crime,4
977,Roxbury,Crime,1
978,Dorchester,Crime,1
979,Downtown,Crime,4
980,Fenway,Crime,0
981,South Boston,Crime,0
982,Back Bay,Crime,0
983,Charlestown,Crime,0
984,Fenway,Crime,0
985,Dorchester,Crime,8
986,Brighton,Crime,0
987,Jamaica Plain,Crime,0
988,Dorchester,Crime,0
989,East Boston,Crime,0
990,Dorchester,Crime,2
991,Dorchester,Crime,2
992,Roslindale,Crime,2
993,South End,Crime,7
994,Dorchester,Crime,12
995,Charlestown,Crime,0
996,Charlestown,Crime,0
997,East Boston,Crime,9
998,Brighton,Crime,0
999,Roxbury,Crime,0
1000,Jamaica Plain,Crime,5
1001,Beacon Hill,Crime,0
1002,East Boston,Crime,5
1003,Dorchester,Crime,6
1004,Downtown,Crime,0
