,Neighborhood,Topic,Frequency
141,Brighton,Crime,0
142,Roxbury,Crime,27
143,Dorchester,Crime,27
144,Mattapan,Crime,27
145,Beacon Hill,Crime,0
146,Downtown,Crime,0
147,South Boston,Crime,17
148,Roxbury,Crime,17
149,Mission Hill,Crime,17
150,Jamaica Plain,Crime,17
151,Jamaica Plain,Crime,6
152,Beacon Hill,Crime,1
153,Roxbury,Crime,0
154,Dorchester,Crime,0
155,Mattapan,Crime,0
156,Roxbury,Crime,1
157,Dorchester,Crime,1
158,Brighton,Crime,3
159,Charlestown,Crime,0
160,East Boston,Crime,0
161,Beacon Hill,Crime,0
162,Beacon Hill,Crime,1
163,South Boston,Crime,1
164,South Boston,Crime,3
165,Beacon Hill,Crime,0
166,Beacon Hill,Crime,0
167,Brighton,Crime,2
168,Roxbury,Crime,2
169,Dorchester,Crime,2
170,Mattapan,Crime,2
171,Hyde Park,Crime,2
172,North End,Crime,0
173,Charlestown,Crime,0
174,East Boston,Crime,0
175,Allston,Crime,0
176,Longwood Medical Area,Crime,0
177,Downtown,Crime,0
178,South Boston,Crime,0
179,South Boston Waterfront,Crime,0
180,Roxbury,Crime,0
181,Dorchester,Crime,0
182,Mattapan,Crime,0
183,Roslindale,Crime,0
184,Beacon Hill,Crime,2
185,Beacon Hill,Crime,0
186,Roxbury,Crime,0
187,Dorchester,Crime,0
188,Mattapan,Crime,0
189,Downtown,Crime,0
190,Dorchester,Crime,0
191,Mattapan,Crime,1
192,Beacon Hill,Crime,0
193,Roxbury,Crime,7
194,Downtown,Crime,0
195,Roxbury,Crime,0
196,Dorchester,Crime,0
197,Mattapan,Crime,0
198,Fenway,Crime,0
199,Roxbury,Crime,0
200,Allston,Crime,0
201,Mattapan,Crime,0
202,North End,Crime,0
203,Allston,Crime,0
204,Beacon Hill,Crime,0
205,Charlestown,Crime,0
206,Roxbury,Crime,0
207,Dorchester,Crime,0
208,Mattapan,Crime,0
209,Beacon Hill,Crime,2
210,Beacon Hill,Crime,0
211,South End,Crime,0
212,North End,Crime,0
213,Beacon Hill,Crime,0
214,Hyde Park,Crime,0
215,Downtown,Crime,8
216,Roxbury,Crime,8
217,Jamaica Plain,Crime,8
218,Roslindale,Crime,8
219,West Roxbury,Crime,8
220,Jamaica Plain,Crime,0
221,Dorchester,Crime,0
222,Beacon Hill,Crime,6
223,Roxbury,Crime,0
224,Dorchester,Crime,0
225,Mattapan,Crime,0
226,West Roxbury,Crime,0
227,Brighton,Crime,0
228,Roxbury,Crime,0
229,West Roxbury,Crime,0
230,Downtown,Crime,0
231,Roxbury,Crime,7
232,Beacon Hill,Crime,0
233,Charlestown,Crime,0
234,Back Bay,Crime,0
235,North End,Crime,0
236,South End,Crime,0
237,Roxbury,Crime,0
238,Dorchester,Crime,0
239,Mattapan,Crime,0
240,Dorchester,Crime,1
241,East Boston,Crime,0
242,Beacon Hill,Crime,0
243,South Boston,Crime,2
244,Beacon Hill,Crime,1
245,Beacon Hill,Crime,0
246,Brighton,Crime,3
247,East Boston,Crime,0
248,Allston,Crime,0
249,Downtown,Crime,0
250,Dorchester,Crime,0
251,Downtown,Crime,0
252,Back Bay,Crime,0
253,Beacon Hill,Crime,0
254,Roxbury,Crime,0
255,Dorchester,Crime,0
256,West Roxbury,Crime,0
257,Jamaica Plain,Crime,11
258,Roxbury,Crime,0
259,Roslindale,Crime,0
260,Dorchester,Crime,0
261,Mattapan,Crime,0
262,South Boston,Crime,7
263,Downtown,Crime,0
264,East Boston,Crime,0
265,Dorchester,Crime,0
266,Mattapan,Crime,0
267,North End,Crime,0
268,Dorchester,Crime,0
269,Mattapan,Crime,0
270,Roslindale,Crime,0
271,Downtown,Crime,0
272,Charlestown,Crime,0
273,East Boston,Crime,0
274,South Boston,Crime,0
275,Downtown,Crime,1
276,South Boston,Crime,0
277,Roslindale,Crime,0
278,South End,Crime,0
279,Dorchester,Crime,0
280,Dorchester,Crime,0
281,Dorchester,Crime,0
282,Brighton,Crime,0
283,Jamaica Plain,Crime,5
284,Roxbury,Crime,13
285,Jamaica Plain,Crime,13
286,Jamaica Plain,Crime,5
287,Dorchester,Crime,0
288,Roxbury,Crime,10
289,Jamaica Plain,Crime,0
290,Dorchester,Crime,0
291,Roxbury,Crime,0
292,Fenway,Crime,0
293,Downtown,Crime,0
294,Downtown,Crime,0
295,Jamaica Plain,Crime,27
296,Beacon Hill,Crime,0
297,East Boston,Crime,0
298,Mission Hill,Crime,5
299,Fenway,Crime,0
300,Fenway,Crime,1
301,Dorchester,Crime,2
302,Beacon Hill,Crime,5
303,Dorchester,Crime,22
304,Downtown,Crime,0
305,Roxbury,Crime,0
306,Brighton,Crime,1
307,Mattapan,Crime,1
308,Roxbury,Crime,0
309,Fenway,Crime,0
310,Back Bay,Crime,1
311,Charlestown,Crime,0
312,South Boston,Crime,0
313,Roxbury,Crime,0
314,Jamaica Plain,Crime,0
315,Dorchester,Crime,0
316,Mattapan,Crime,0
317,West Roxbury,Crime,0
318,Hyde Park,Crime,0
319,Hyde Park,Crime,0
320,Fenway,Crime,0
321,Beacon Hill,Crime,2
322,Roxbury,Crime,3
323,Charlestown,Crime,0
324,Roxbury,Crime,0
325,Downtown,Crime,0
326,South End,Crime,0
327,Downtown,Crime,0
328,Downtown,Crime,0
329,Fenway,Crime,0
330,Beacon Hill,Crime,0
331,Beacon Hill,Crime,0
332,Roxbury,Crime,3
333,Roxbury,Crime,22
334,Dorchester,Crime,22
335,Mattapan,Crime,22
336,Roxbury,Crime,31
337,Roxbury,Crime,21
338,Beacon Hill,Crime,0
339,Fenway,Crime,0
340,Beacon Hill,Crime,4
341,South Boston,Crime,0
342,Charlestown,Crime,0
343,East Boston,Crime,0
344,Back Bay,Crime,0
345,Beacon Hill,Crime,4
346,Charlestown,Crime,0
347,South Boston,Crime,6
348,Dorchester,Crime,6
349,Mattapan,Crime,6
350,Hyde Park,Crime,6
351,Beacon Hill,Crime,0
352,South Boston,Crime,0
353,Dorchester,Crime,0
354,Mattapan,Crime,0
355,Hyde Park,Crime,0
356,South Boston,Crime,0
357,Dorchester,Crime,0
358,Charlestown,Crime,0
359,East Boston,Crime,0
360,Roxbury,Crime,0
361,Jamaica Plain,Crime,0
362,West Roxbury,Crime,0
363,East Boston,Crime,1
364,Downtown,Crime,0
365,Beacon Hill,Crime,0
366,South Boston,Crime,0
367,Dorchester,Crime,0
368,Downtown,Crime,0
369,East Boston,Crime,0
370,South Boston,Crime,0
371,South End,Crime,0
372,Roxbury,Crime,0
373,Downtown,Crime,0
374,East Boston,Crime,0
375,Hyde Park,Crime,0
376,South Boston,Crime,3
377,Beacon Hill,Crime,0
378,Beacon Hill,Crime,0
379,Downtown,Crime,0
380,Beacon Hill,Crime,0
381,Beacon Hill,Crime,0
382,South Boston,Crime,0
383,Beacon Hill,Crime,0
384,Dorchester,Crime,0
385,North End,Crime,0
386,Beacon Hill,Crime,0
387,Hyde Park,Crime,1
388,Hyde Park,Crime,0
389,Beacon Hill,Crime,0
390,Downtown,Crime,0
391,Downtown,Crime,0
392,East Boston,Crime,0
393,Mattapan,Crime,0
394,Downtown,Crime,0
395,Downtown,Crime,0
396,East Boston,Crime,0
397,Back Bay,Crime,0
398,South End,Crime,0
399,East Boston,Crime,0
400,Beacon Hill,Crime,8
401,Roxbury,Crime,0
402,Dorchester,Crime,1
403,Downtown,Crime,0
404,Mattapan,Crime,0
405,Roxbury,Crime,0
406,Roxbury,Crime,0
407,Dorchester,Crime,0
408,Downtown,Crime,0
409,North End,Crime,0
410,Charlestown,Crime,0
411,East Boston,Crime,0
412,Dorchester,Crime,0
413,North End,Crime,1
414,Downtown,Crime,1
415,South Boston,Crime,1
416,Hyde Park,Crime,1
417,North End,Crime,0
418,Dorchester,Crime,0
419,Beacon Hill,Crime,2
420,Roxbury,Crime,0
421,East Boston,Crime,0
422,Dorchester,Crime,0
423,Mattapan,Crime,0
424,Beacon Hill,Crime,0
425,Beacon Hill,Crime,0
426,Hyde Park,Crime,0
427,Roslindale,Crime,0
428,Roxbury,Crime,0
429,West Roxbury,Crime,0
430,Roxbury,Crime,0
431,Brighton,Crime,0
432,Charlestown,Crime,0
433,East Boston,Crime,0
434,Jamaica Plain,Crime,0
435,Dorchester,Crime,0
436,Hyde Park,Crime,0
437,Dorchester,Crime,0
438,Beacon Hill,Crime,0
439,Downtown,Crime,0
440,Fenway,Crime,0
441,Dorchester,Crime,1
442,South Boston,Crime,0
443,Fenway,Crime,0
444,North End,Crime,0
445,Fenway,Crime,1
446,East Boston,Crime,3
447,South Boston,Crime,0
448,Downtown,Crime,3
449,East Boston,Crime,3
450,Fenway,Crime,0
451,Downtown,Crime,1
452,Fenway,Crime,0
453,South End,Crime,0
454,Roxbury,Crime,0
455,Dorchester,Crime,0
456,Fenway,Crime,0
457,Downtown,Crime,0
458,Downtown,Crime,0
459,Back Bay,Crime,0
460,Roxbury,Crime,0
461,Fenway,Crime,0
462,Roxbury,Crime,0
463,Dorchester,Crime,0
464,Back Bay,Crime,2
465,Beacon Hill,Crime,1
466,Beacon Hill,Crime,0
467,Downtown,Crime,0
468,Roxbury,Crime,1
469,West Roxbury,Crime,1
470,Back Bay,Crime,0
471,Beacon Hill,Crime,3
472,Beacon Hill,Crime,2
473,Jamaica Plain,Crime,1
474,Dorchester,Crime,4
475,Downtown,Crime,0
476,Fenway,Crime,0
477,Dorchester,Crime,0
478,Fenway,Crime,0
479,Roxbury,Crime,0
480,Beacon Hill,Crime,0
481,Roxbury,Crime,0
482,Dorchester,Crime,0
483,Beacon Hill,Crime,0
484,Brighton,Crime,0
485,Fenway,Crime,0
486,Back Bay,Crime,0
487,North End,Crime,0
488,South End,Crime,0
489,Beacon Hill,Crime,0
490,Downtown,Crime,0
491,Beacon Hill,Crime,1
492,Dorchester,Crime,0
493,Beacon Hill,Crime,0
494,Roxbury,Crime,6
495,Fenway,Crime,0
496,Roxbury,Crime,0
497,Roxbury,Crime,0
498,Beacon Hill,Crime,2
499,Downtown,Crime,0
500,Brighton,Crime,3
501,Fenway,Crime,0
502,Brighton,Crime,0
503,Allston,Crime,0
504,North End,Crime,0
505,East Boston,Crime,0
506,South Boston,Crime,0
507,Dorchester,Crime,0
508,Dorchester,Crime,0
509,Dorchester,Crime,0
510,Dorchester,Crime,0
511,Roxbury,Crime,0
512,Dorchester,Crime,0
513,West Roxbury,Crime,0
514,East Boston,Crime,0
515,Jamaica Plain,Crime,0
516,Roslindale,Crime,0
517,Hyde Park,Crime,0
518,Mattapan,Crime,0
519,Jamaica Plain,Crime,0
520,Roxbury,Crime,0
521,Roxbury,Crime,0
522,Fenway,Crime,0
523,Back Bay,Crime,0
524,Downtown,Crime,0
525,Charlestown,Crime,0
526,Beacon Hill,Crime,0
527,Fenway,Crime,0
528,South End,Crime,0
529,Roxbury,Crime,0
530,Dorchester,Crime,0
531,Brighton,Crime,0
532,Jamaica Plain,Crime,0
533,Allston,Crime,0
534,Back Bay,Crime,0
535,Charlestown,Crime,1
536,Charlestown,Crime,0
537,Roxbury,Crime,0
538,Beacon Hill,Crime,0
539,Beacon Hill,Crime,0
540,Mission Hill,Crime,3
541,Mission Hill,Crime,7
542,South Boston,Crime,6
543,Roxbury,Crime,6
544,Dorchester,Crime,6
545,East Boston,Crime,0
546,Dorchester,Crime,0
547,Beacon Hill,Crime,0
548,Beacon Hill,Crime,0
549,Fenway,Crime,0
550,North End,Crime,1
551,Roxbury,Crime,0
552,Back Bay,Crime,0
553,Dorchester,Crime,1
554,Dorchester,Crime,0
555,Back Bay,Crime,0
556,Beacon Hill,Crime,0
557,Fenway,Crime,0
558,Roxbury,Crime,2
559,South Boston,Crime,0
560,Fenway,Crime,0
561,Roxbury,Crime,0
562,Dorchester,Crime,0
563,Hyde Park,Crime,0
564,Beacon Hill,Crime,1
565,Beacon Hill,Crime,0
566,Roxbury,Crime,1
567,East Boston,Crime,4
568,South Boston,Crime,4
569,Beacon Hill,Crime,0
570,Beacon Hill,Crime,0
571,Jamaica Plain,Crime,1
572,Roxbury,Crime,0
573,Downtown,Crime,0
574,Roxbury,Crime,1
575,West Roxbury,Crime,1
576,Roslindale,Crime,0
577,Roxbury,Crime,0
578,Jamaica Plain,Crime,0
579,Roslindale,Crime,1
580,Brighton,Crime,0
581,Allston,Crime,0
582,East Boston,Crime,1
583,South Boston,Crime,0
584,Fenway,Crime,0
585,South Boston,Crime,10
586,Dorchester,Crime,0
587,Back Bay,Crime,0
588,Downtown,Crime,1
589,Beacon Hill,Crime,0
590,Beacon Hill,Crime,0
591,Fenway,Crime,0
592,Fenway,Crime,0
593,Fenway,Crime,0
594,Fenway,Crime,0
595,Fenway,Crime,0
596,Fenway,Crime,0
597,Back Bay,Crime,2
598,Back Bay,Crime,1
599,Dorchester,Crime,0
600,Dorchester,Crime,3
601,Downtown,Crime,0
602,Downtown,Crime,0
603,Allston,Crime,0
604,East Boston,Crime,0
605,Roxbury,Crime,0
606,Jamaica Plain,Crime,0
607,Dorchester,Crime,0
608,Mattapan,Crime,0
609,Roslindale,Crime,0
610,Hyde Park,Crime,0
611,Downtown,Crime,0
612,South End,Crime,13
613,Hyde Park,Crime,0
614,Fenway,Crime,0
615,Dorchester,Crime,0
616,Hyde Park,Crime,0
617,East Boston,Crime,0
618,Roxbury,Crime,0
619,Jamaica Plain,Crime,0
620,Dorchester,Crime,0
621,Dorchester,Crime,1
622,Downtown,Crime,1
623,Dorchester,Crime,0
624,Roxbury,Crime,4
625,Roxbury,Crime,4
626,Roxbury,Crime,0
627,Roxbury,Crime,1
628,Mattapan,Crime,1
629,Fenway,Crime,0
630,South Boston,Crime,0
631,Downtown,Crime,0
632,Fenway,Crime,0
633,Fenway,Crime,0
634,Downtown,Crime,0
635,South Boston,Crime,0
636,Beacon Hill,Crime,2
637,Beacon Hill,Crime,0
638,Downtown,Crime,0
639,Fenway,Crime,0
640,Mattapan,Crime,0
641,South Boston,Crime,0
642,Roxbury,Crime,1
643,Beacon Hill,Crime,0
644,Beacon Hill,Crime,0
645,Beacon Hill,Crime,1
646,Beacon Hill,Crime,1
647,East Boston,Crime,1
648,Downtown,Crime,0
649,East Boston,Crime,0
650,Roxbury,Crime,0
651,Jamaica Plain,Crime,0
652,Dorchester,Crime,0
653,Mattapan,Crime,0
654,Downtown,Crime,0
655,Beacon Hill,Crime,0
656,Downtown,Crime,0
657,Roxbury,Crime,0
658,Jamaica Plain,Crime,0
659,Roxbury,Crime,0
660,Jamaica Plain,Crime,0
661,South Boston,Crime,0
662,Jamaica Plain,Crime,0
663,Beacon Hill,Crime,0
664,Mattapan,Crime,1
665,Brighton,Crime,2
666,Beacon Hill,Crime,0
667,Beacon Hill,Crime,0
668,Roslindale,Crime,0
669,Dorchester,Crime,0
670,Dorchester,Crime,0
671,Back Bay,Crime,0
672,Beacon Hill,Crime,0
673,Downtown,Crime,0
674,Dorchester,Crime,0
675,Jamaica Plain,Crime,0
676,Fenway,Crime,0
677,Roxbury,Crime,0
678,Roxbury,Crime,0
679,Dorchester,Crime,0
680,Mattapan,Crime,0
681,Dorchester,Crime,4
682,Mattapan,Crime,4
683,Back Bay,Crime,0
684,South Boston,Crime,1
685,South Boston,Crime,0
686,Beacon Hill,Crime,0
687,Beacon Hill,Crime,0
688,Dorchester,Crime,1
689,Dorchester,Crime,1
690,Roxbury,Crime,0
691,Downtown,Crime,1
692,Jamaica Plain,Crime,0
693,Back Bay,Crime,0
694,North End,Crime,0
695,Charlestown,Crime,0
696,South End,Crime,0
697,Roxbury,Crime,2
698,South End,Crime,0
699,Roxbury,Crime,0
700,Downtown,Crime,1
701,Charlestown,Crime,0
702,Roxbury,Crime,0
703,West Roxbury,Crime,0
704,Roxbury,Crime,0
705,West Roxbury,Crime,0
706,Roxbury,Crime,0
707,Jamaica Plain,Crime,0
708,West Roxbury,Crime,0
709,Roxbury,Crime,0
710,Brighton,Crime,0
711,Downtown,Crime,0
712,Charlestown,Crime,0
713,East Boston,Crime,0
714,South End,Crime,0
715,Dorchester,Crime,0
716,Roxbury,Crime,0
717,West Roxbury,Crime,0
718,Brighton,Crime,0
719,Allston,Crime,0
720,Roxbury,Crime,0
721,Beacon Hill,Crime,0
722,Jamaica Plain,Crime,0
723,Allston,Crime,0
724,North End,Crime,0
725,East Boston,Crime,0
726,Downtown,Crime,3
727,Jamaica Plain,Crime,1
728,Jamaica Plain,Crime,1
729,Roxbury,Crime,1
730,Dorchester,Crime,1
731,Roxbury,Crime,0
732,Dorchester,Crime,0
733,Downtown,Crime,0
734,Charlestown,Crime,0
735,Downtown,Crime,1
736,Back Bay,Crime,0
737,North End,Crime,0
738,Downtown,Crime,0
739,Charlestown,Crime,0
740,Roxbury,Crime,0
741,West Roxbury,Crime,0
742,Beacon Hill,Crime,1
743,North End,Crime,1
744,South End,Crime,4
745,South End,Crime,2
746,Roslindale,Crime,2
747,South End,Crime,0
748,Roslindale,Crime,0
749,Roxbury,Crime,0
750,Jamaica Plain,Crime,0
751,Brighton,Crime,0
752,East Boston,Crime,1
753,South End,Crime,0
754,Dorchester,Crime,1
755,Roxbury,Crime,0
756,East Boston,Crime,10
757,Downtown,Crime,0
758,East Boston,Crime,53
759,Roxbury,Crime,0
760,Fenway,Crime,0
761,Roxbury,Crime,0
762,Hyde Park,Crime,0
763,Charlestown,Crime,0
764,Mattapan,Crime,0
765,Roslindale,Crime,1
766,Fenway,Crime,2
767,Fenway,Crime,0
768,Beacon Hill,Crime,0
769,Brighton,Crime,4
770,Dorchester,Crime,4
771,Roslindale,Crime,4
772,Charlestown,Crime,0
773,Dorchester,Crime,6
774,Roxbury,Crime,0
775,Downtown,Crime,0
776,Jamaica Plain,Crime,0
777,Dorchester,Crime,0
778,Mattapan,Crime,0
779,Downtown,Crime,0
780,Downtown,Crime,3
781,Charlestown,Crime,0
782,East Boston,Crime,0
783,Brighton,Crime,0
784,Allston,Crime,0
785,Allston,Crime,0
786,Brighton,Crime,0
787,East Boston,Crime,0
788,Dorchester,Crime,0
789,South End,Crime,1
790,Beacon Hill,Crime,0
791,North End,Crime,0
792,South Boston,Crime,0
793,South Boston Waterfront,Crime,0
794,Brighton,Crime,0
795,Allston,Crime,0
796,Dorchester,Crime,0
797,Downtown,Crime,0
798,South Boston,Crime,0
799,East Boston,Crime,0
800,Fenway,Crime,0
801,Beacon Hill,Crime,0
802,Beacon Hill,Crime,0
803,Mattapan,Crime,0
804,North End,Crime,0
805,Downtown,Crime,0
806,South Boston,Crime,0
807,Beacon Hill,Crime,0
808,Beacon Hill,Crime,0
809,Beacon Hill,Crime,0
810,Beacon Hill,Crime,0
811,Downtown,Crime,1
812,Beacon Hill,Crime,0
813,Dorchester,Crime,0
814,Back Bay,Crime,0
815,Beacon Hill,Crime,0
816,Beacon Hill,Crime,0
817,Roxbury,Crime,7
818,Mattapan,Crime,7
819,North End,Crime,0
820,Downtown,Crime,0
821,South End,Crime,0
822,Roxbury,Crime,0
823,Fenway,Crime,0
824,Brighton,Crime,0
825,Charlestown,Crime,0
826,Fenway,Crime,0
827,Back Bay,Crime,3
828,South End,Crime,0
829,Dorchester,Crime,0
830,Beacon Hill,Crime,0
831,Dorchester,Crime,0
832,Allston,Crime,1
833,Allston,Crime,1
834,North End,Crime,0
835,North End,Crime,0
836,Beacon Hill,Crime,0
837,Downtown,Crime,0
838,Beacon Hill,Crime,0
839,Fenway,Crime,0
840,Brighton,Crime,0
841,Beacon Hill,Crime,0
842,Dorchester,Crime,6
843,Roxbury,Crime,0
844,Roxbury,Crime,0
845,Jamaica Plain,Crime,2
846,Back Bay,Crime,0
847,Downtown,Crime,1
848,Jamaica Plain,Crime,0
849,Jamaica Plain,Crime,0
850,East Boston,Crime,1
851,Downtown,Crime,1
852,Harbor Islands,Crime,1
853,Fenway,Crime,4
854,Fenway,Crime,2
855,Fenway,Crime,1
856,Fenway,Crime,4
857,Downtown,Crime,4
858,South End,Crime,4
859,East Boston,Crime,38
860,South Boston,Crime,38
861,Dorchester,Crime,38
862,Charlestown,Crime,5
863,Roxbury,Crime,8
864,Roxbury,Crime,8
865,East Boston,Crime,4
866,Dorchester,Crime,23
867,Dorchester,Crime,9
868,Allston,Crime,0
869,Dorchester,Crime,0
870,Mattapan,Crime,1
871,Allston,Crime,1
872,Downtown,Crime,0
873,Downtown,Crime,1
874,Beacon Hill,Crime,0
875,South Boston,Crime,1
876,South End,Crime,1
877,Dorchester,Crime,0
878,East Boston,Crime,0
879,South Boston,Crime,0
880,South Boston Waterfront,Crime,0
881,Back Bay,Crime,0
882,North End,Crime,0
883,Downtown,Crime,0
884,South End,Crime,0
885,Brighton,Crime,0
886,Allston,Crime,0
887,Fenway,Crime,0
888,Downtown,Crime,0
889,Charlestown,Crime,0
890,East Boston,Crime,0
891,Roxbury,Crime,0
892,Jamaica Plain,Crime,0
893,Dorchester,Crime,0
894,Mattapan,Crime,0
895,Roslindale,Crime,0
896,Hyde Park,Crime,0
897,Downtown,Crime,0
898,Dorchester,Crime,2
899,Mattapan,Crime,0
900,Mattapan,Crime,0
901,Downtown,Crime,0
902,Roxbury,Crime,0
903,East Boston,Crime,0
904,Downtown,Crime,1
905,Back Bay,Crime,0
906,Downtown,Crime,0
907,North End,Crime,0
908,Fenway,Crime,0
909,Back Bay,Crime,0
910,Beacon Hill,Crime,0
911,Downtown,Crime,0
912,East Boston,Crime,0
913,South Boston,Crime,0
914,South End,Crime,0
915,Roxbury,Crime,0
916,Dorchester,Crime,0
917,Mattapan,Crime,0
918,Brighton,Crime,0
919,Allston,Crime,0
920,Jamaica Plain,Crime,1
921,Jamaica Plain,Crime,0
922,Allston,Crime,0
923,South End,Crime,0
924,Dorchester,Crime,0
925,Beacon Hill,Crime,0
926,Fenway,Crime,0
927,Beacon Hill,Crime,0
928,Roslindale,Crime,4
929,Downtown,Crime,2
930,Charlestown,Crime,1
931,Dorchester,Crime,1
932,Roslindale,Crime,1
933,Fenway,Crime,1
934,South Boston,Crime,1
935,South End,Crime,5
936,South Boston,Crime,0
937,Roxbury,Crime,0
938,Brighton,Crime,0
939,Fenway,Crime,0
940,South Boston,Crime,0
941,South Boston,Crime,0
942,Roxbury,Crime,1
943,West Roxbury,Crime,1
944,Roxbury,Crime,1
945,West Roxbury,Crime,1
946,Roxbury,Crime,1
947,West Roxbury,Crime,1
948,Roxbury,Crime,1
949,West Roxbury,Crime,1
950,Downtown,Crime,0
951,Back Bay,Crime,1
952,Charlestown,Crime,0
953,Beacon Hill,Crime,0
954,Dorchester,Crime,1
955,Fenway,Crime,0
956,Fenway,Crime,0
957,Roxbury,Crime,0
958,Beacon Hill,Crime,1
959,Jamaica Plain,Crime,0
960,South Boston,Crime,0
961,Roxbury,Crime,0
962,Roxbury,Crime,0
963,Beacon Hill,Crime,0
964,Beacon Hill,Crime,0
965,Dorchester,Crime,22
966,Fenway,Crime,0
967,Brighton,Crime,0
968,Dorchester,Crime,2
969,Dorchester,Crime,0
970,Dorchester,Crime,0
971,Fenway,Crime,0
972,Hyde Park,Crime,0
973,Hyde Park,Crime,0
974,Downtown,Crime,1
975,Downtown,Crime,0
976,Charlestown,Crime,2
977,East Boston,Crime,2
978,Charlestown,Crime,2
979,East Boston,Crime,0
980,Back Bay,Crime,1
981,East Boston,Crime,6
982,Downtown,Crime,0
983,West End,Crime,3
984,Beacon Hill,Crime,2
985,Roslindale,Crime,2
986,East Boston,Crime,0
987,Mattapan,Crime,0
988,Downtown,Crime,0
989,Jamaica Plain,Crime,0
990,Brighton,Crime,0
991,Beacon Hill,Crime,0
992,Dorchester,Crime,0
993,Beacon Hill,Crime,0
994,Downtown,Crime,0
995,Downtown,Crime,0
996,Dorchester,Crime,0
997,Charlestown,Crime,11
998,Beacon Hill,Crime,0
999,Charlestown,Crime,0
1000,Dorchester,Crime,0
1001,Roxbury,Crime,5
1002,Dorchester,Crime,0
