Impacted T,Proportion,Route Ids,Stop Id,Stop Name,Town,Town Id,Tract Id,Geometry,Impacted P,Income,Income Lev
"417701,417702,418101,417100,417602","0.31,0.01,0.41,0.17,0.28","217,211",3094,Newport Ave @ Furnace Brook Pkwy,QUINCY,243,418101,Point,1256,74766,2
"418200,416400,417200,417100","0.02,0.36,0.00,0.01",245,4331,Edgehill Rd opp Grafton Ave,MILTON,189,416400,Point,189,122583,2
"501102,422800","0.02,0.19",221,3641,River St @ Weymouth Port,WEYMOUTH,336,422800,Point,70,83887,2
"402102,402500,402400,402101,130402,130404,130406","0.07,0.00,0.08,0.24,0.09,0.11,0.07","35,70A,34E,52",10833,Dedham Mall @ Stop & Shop,DEDHAM,73,402101,Point,287,79831,2
"417701,417702,418101,417100,417602","0.43,0.09,0.31,0.03,0.29","211,210,212",3043,Hancock St @ Butler Rd,QUINCY,243,417701,Point,1241,70972,2
"418200,416400,417200,417100","0.04,0.23,0.06,0.22","217,215,245",3358,Adams St @ Granite Pl,MILTON,189,416400,Point,479,106625,2
"417901,417802,417801","0.01,0.76,0.13","216,214",3316,Palmer St @ Brockton Ave,QUINCY,243,417802,Point,217,38509,1
"417701,417702,418101,417100,417602","0.31,0.01,0.40,0.18,0.28","217,211",3198,Newport Ave @ Furnace Brook Pwky,QUINCY,243,417602,Point,1257,74985,2
"402102,402400,402101,130402,130404,130406","0.25,0.05,0.09,0.07,0.23,0.35","35,70A,34E,34",618,Washington St @ Tobin Rd,BOSTON,35,130404,Point,585,68115,2
"418200,416400,417200,417100","0.03,0.24,0.06,0.20","217,215,245",3392,Adams St @ Foster Ln,MILTON,189,416400,Point,454,107537,2
"417701,417702,418101,417100,417602","0.42,0.09,0.30,0.04,0.30","217,211,212,210,245",3034,Hancock St opp Butler Rd,QUINCY,243,417701,Point,1236,71297,2
"417901,417802,417801","0.01,0.75,0.14","216,214",3299,Palmer St opp Brockton Ave,QUINCY,243,417802,Point,219,39405,1
"140300,140201,140202,140107,140105,980700","0.60,0.01,0.10,0.92,0.17,0.06","33,32",6466,Hyde Park Ave @ Clay Street,BOSTON,35,140300,Point,1127,63065,2
"418200,416400,417200,417100","0.02,0.35,0.02,0.03",245,43781,Boulevard St @ Bryant Ave,MILTON,189,416400,Point,244,119084,2
"416300,416200,416101","0.31,0.18,0.06","245,240",4144,Reedsdale Rd @ Central Ave,MILTON,189,416200,Point,335,131657,3
"402102,402400,402101,130402,130404,130406","0.25,0.04,0.08,0.07,0.25,0.40","35,70A,34E,34",619,Washington St @ Meshaka St,BOSTON,35,130406,Point,621,66811,2
"418200,416400,417200,417100","0.03,0.28,0.05,0.13","217,215,245",3359,Adams St @ Church St,MILTON,189,416400,Point,382,110843,2
"416300,416200,416101","0.31,0.18,0.06","245,240",4203,Reedsdale Rd @ Brook Rd,MILTON,189,416101,Point,335,131657,3
"418200,416400,417200,417100","0.03,0.29,0.05,0.11","217,215,245",3391,Adams St @ Mechanic St,MILTON,189,416400,Point,366,111622,2
"402102,140102,140107,130406,980700","0.03,0.14,0.15,0.32,0.42","33,40",6521,Turtle Pond Pkwy @ Dedham Pkwy,BOSTON,35,140102,Point,382,37339,1
"402102,140102,140107,130406,980700","0.03,0.14,0.14,0.33,0.42",33,8950,Dedham Pkwy @ Turtle Pond Pkwy,BOSTON,35,980700,Point,386,37127,1
"416400,416300,416101","0.43,0.00,0.00",245,4409,Brook Rd @ Pleasant St,MILTON,189,416400,Point,190,124960,2
"416300,416200,416101","0.32,0.17,0.06",245,4405,Brook Rd @ Reedsdale Rd,MILTON,189,416300,Point,334,132301,3
"416400,416300,416101","0.43,0.00,0.00",245,4400,Brook Rd @ Pleasant St,MILTON,189,416400,Point,190,124960,2
"416400,416101","0.43,0.00",245,4410,Brook Rd @ Otis St,MILTON,189,416400,Point,190,124960,2
"416400,416101","0.43,0.00",245,4399,Brook Rd @ Otis St,MILTON,189,416400,Point,190,124960,2
"417702,417901,417802,417801","0.00,0.01,0.67,0.18","216,214",3317,Palmer St @ Empire St,QUINCY,243,417802,Point,219,43749,2
"416300,416200,416101","0.33,0.18,0.05",245,4404,Brook Rd @ Central Ave,MILTON,189,416300,Point,342,131771,3
"417702,417901,417802,417801","0.00,0.01,0.65,0.18","216,214",3298,Palmer St @ Forbush Ave,QUINCY,243,417802,Point,215,44158,2
"416300,416200,416101","0.34,0.18,0.05",240,4143,Central Ave @ Brook Rd,MILTON,189,416300,Point,348,131964,3
"417701,417702,418101,417100,417602","0.37,0.08,0.26,0.07,0.35","217,211,212,210,245",3033,Hancock St @ Furnace Brook Pkwy,QUINCY,243,417701,Point,1199,72413,2
"416400,416300,416101","0.24,0.10,0.07",245,4401,Brook Rd @ Centre St,MILTON,189,416400,Point,196,133129,3
"416400,416300,416101","0.24,0.10,0.07",245,4408,Brook Rd @ Centre St,MILTON,189,416400,Point,196,133129,3
"416200,140300,140202,140107,140105","0.05,0.71,0.23,0.32,0.17","33,24",6377,River St @ West St,BOSTON,35,140300,Point,1165,65062,2
"416200,140300,140202,140107,140105","0.05,0.71,0.23,0.32,0.17","33,24",6359,River St @ West St,BOSTON,35,140300,Point,1165,65062,2
"417702,417901,417802,417801","0.02,0.02,0.57,0.19","216,214",3318,Palmer St @ Roanoke St,QUINCY,243,417802,Point,225,47683,2
"140300,140201,140202,140107,140105,980700","0.60,0.00,0.06,0.85,0.26,0.07","33,32",6508,Hyde Park Ave opp Webster St,BOSTON,35,140300,Point,1127,63637,2
"417702,417901,417802,417801","0.02,0.02,0.56,0.19","216,214",3297,Palmer St @ Chesley Rd,QUINCY,243,417802,Point,223,47950,2
"418102,418101,418200,416400,417200,417100","0.03,0.00,0.03,0.11,0.13,0.59",217,3462,Beale St @ Rockwell Ave,QUINCY,243,417100,Point,941,97098,2
"140300,140202,140107,140105,980700","0.52,0.00,0.94,0.25,0.12","40,50",2785,61 Summer St opp Parrott St,BOSTON,35,140107,Point,1022,62084,2
"418200,416400,417200,417100","0.01,0.38,0.03,0.01","217,215,245",3389,Adams St @ Hollis St,MILTON,189,416400,Point,247,120006,2
"417701,417702,418101,417100,417602","0.24,0.00,0.32,0.27,0.35","217,211",3197,Newport Ave @ Lillian Rd,QUINCY,243,417602,Point,1232,77598,2
"418200,416400","0.00,0.43",245,4411,Brook Rd @ Governors Rd,MILTON,189,416400,Point,190,124960,2
"402102,402400,402101,130402,130404,130406","0.24,0.02,0.06,0.08,0.31,0.50","35,70A,34E,34",620,Washington St @ Birchwood St,BOSTON,35,130406,Point,704,64627,2
"417702,417901,417802,417801","0.07,0.03,0.47,0.20","216,214",3320,Palmer St opp Oakwood Rd,QUINCY,243,417802,Point,246,53279,2
"418200,416400","0.00,0.43",245,4398,Brook Rd @ Governors Rd,MILTON,189,416400,Point,190,124960,2
"417702,417901,417802,417801","0.08,0.03,0.45,0.21","216,214",3295,Palmer St @ Oakwood Rd,QUINCY,243,417802,Point,251,55000,2
"402102,140102,130406,980700","0.15,0.11,0.70,0.26",40,1614,W Boundary Rd @ Georgetowne Dr,BOSTON,35,980700,Point,655,44198,2
"140300,140102,140107,140105,980700","0.45,0.00,0.96,0.26,0.15",50,2816,Austin St @ Chestnut St,BOSTON,35,140107,Point,966,61966,2
"402102,140102,130406,980700","0.14,0.11,0.70,0.26",40,1621,W Boundary Rd @ Georgetowne Dr,BOSTON,35,980700,Point,649,43916,2
"418102,418101,418200,416400,417200,417100","0.02,0.00,0.02,0.11,0.15,0.60","217,245",3489,Beale St @ Forbes Hill Rd,QUINCY,243,417100,Point,975,97067,2
"417702,417901,417802,417801","0.10,0.03,0.42,0.21","216,214",3321,Palmer St opp Wilgus Rd,QUINCY,243,417802,Point,255,56742,2
"418200,416400,417200,417100","0.01,0.36,0.06,0.03","217,215,245",3360,Granite Ave @ Bassett St,MILTON,189,416400,Point,317,115865,2
"416300,416200,416101","0.39,0.22,0.02",245,4362,Brook Rd @ Lincoln St,MILTON,189,416300,Point,393,130518,3
"418200,416400,417200","0.01,0.41,0.02","217,245",3488,Adams St @ Babcock St,MILTON,189,416400,Point,231,121869,2
"417701,417702,418101,417100,417602","0.32,0.06,0.22,0.11,0.41","202,211,210,212",3045,Hancock St opp Carruth St,QUINCY,243,417602,Point,1177,73763,2
"418200,416400,417200","0.00,0.41,0.01","217,245",3463,Adams St opp Brook Rd,MILTON,189,416400,Point,201,123740,2
"416300,416200,416101","0.40,0.15,0.04",240,4204,Central Ave opp Rustlewood Rd,MILTON,189,416300,Point,359,134049,3
"417701,417702,418101,417100,417602","0.31,0.06,0.22,0.12,0.42","217,211,212,202,210,000,000",3032,Hancock St @ Carruth St,QUINCY,243,417602,Point,1182,74090,2
"416300,416200,416101","0.41,0.14,0.04",240,4142,Central Ave @ Rustlewood Rd,MILTON,189,416300,Point,358,134649,3
"418102,418200,416400,417200,417100","0.00,0.02,0.09,0.18,0.66","217,245",3490,Beale St @ Summit Ave,QUINCY,243,417100,Point,1074,96638,2
"417701,418101,417100,417602","0.18,0.26,0.35,0.39","217,211",3196,Newport Ave @ George Rd,QUINCY,243,417602,Point,1208,79915,2
"418102,418200,416400,417200,417100","0.00,0.02,0.09,0.18,0.67",217,3461,385 Beale St opp Summit Ave,QUINCY,243,417100,Point,1084,96665,2
"100800,100601,100500,100400,100900,100700","0.69,0.02,0.12,0.56,0.12,0.19",215,3373,Gallivan Blvd @ Huron Circle,BOSTON,35,100800,Point,2104,73338,2
"110607,110502,110501,110401,140106,980700,110403","0.15,1.00,0.69,0.04,0.58,0.01,0.55","40,34E,70A,34",633,Washington St @ Metropolitan Ave,BOSTON,35,110502,Point,2232,80718,2
"416400,417200,100800,100700,100603","0.05,0.02,0.07,0.94,0.13",202,8814,Hilltop St @ Hallet St,BOSTON,35,100700,Point,660,88735,2
"130402,130300,130200,130100,130404","0.13,0.42,0.52,0.06,0.10","37,38",843,Lagrange St @ Dent St,BOSTON,35,130300,Point,655,105100,2
"130402,130300,130200,130100,130404","0.13,0.42,0.52,0.06,0.10","37,38",845,Lagrange St opp Dent St,BOSTON,35,130300,Point,655,105100,2
"100800,100500,100400,100300,101002,100900","0.20,0.42,1.00,0.49,0.02,0.43",26,514,Washington St @ Coolidge Rd,BOSTON,35,100400,Point,3096,59388,2
"110607,110502,110501,110401,140106,980700,110403","0.16,1.00,0.68,0.06,0.55,0.00,0.55","40,70A,34E,34,50",604,Washington St @ Metropolitan Ave,BOSTON,35,110502,Point,2242,81352,2
"416400,417502,417501,417300,417200,100700,100603","0.00,0.53,0.00,0.11,0.25,0.19,0.10","201,202,210",30751,Newport Ave @ Hancock St,QUINCY,243,417200,Point,1307,82931,2
"416400,417200,100800,100700,100603","0.05,0.03,0.07,0.93,0.15",201,48812,Hallet St @ Hilltop St,BOSTON,35,100700,Point,681,88636,2
"100800,100500,100400,100300,101002,100900","0.20,0.44,1.00,0.51,0.02,0.41",26,493,Washington St @ Ogden St,BOSTON,35,100400,Point,3126,59085,2
"130402,130300,130200,130100","0.29,0.02,0.26,0.23",52,85566,Baker St @ Amesbury St,BOSTON,35,130100,Point,510,94653,2
"100400,100300,101102,101101,101002,100900,100200,100100","0.00,0.72,0.71,0.74,0.37,0.01,0.96,0.22",21,528,Morton St @ Norfolk St,BOSTON,35,100200,Point,3010,47474,2
"110607,140400,110502,110401,110301,981100,110403,110201","0.01,0.05,0.34,0.80,0.29,0.01,0.70,0.99","27,14,30",6461,Cummins Hwy @ Brown Ave,BOSTON,35,110403,Point,2024,64933,2
"100400,100300,101102,101101,101002,100900,100200,100100","0.00,0.75,0.69,0.70,0.37,0.01,0.96,0.22",26,443,Norfolk St @ Morton St,BOSTON,35,100200,Point,2987,47447,2
"100400,100300,101102,101101,101002,100900,100200,100100","0.00,0.73,0.69,0.73,0.36,0.01,0.96,0.23",21,541,Morton St @ Norfolk St,BOSTON,35,100200,Point,2992,47430,2
"417502,417501,417400,417300,417200","0.91,0.81,0.01,0.09,0.01",211,3131,E Squantum St @ Appleton St,QUINCY,243,417502,Point,1942,84551,2
"110607,140400,110502,110401,110103,110301,981100,110403,110201","0.02,0.05,0.37,0.81,0.00,0.28,0.00,0.70,0.99","27,14,30",6432,Cummins Hwy @ Brown Ave,BOSTON,35,110403,Point,2069,65388,2
"416400,100800,100601,100500,100400,100900,100700","0.00,0.68,0.07,0.09,0.36,0.05,0.33",215,33761,Gallivan Blvd opp Carruth St,BOSTON,35,100800,Point,1858,77019,2
"130402,130300,130200,130100,130404","0.08,0.54,0.57,0.04,0.09","35,37,36,38,27",810,Opp 2000 Centre St,BOSTON,35,130300,Point,687,107920,2
"110607,130300,130200,110601,110501,130404,980700","0.06,0.83,0.30,0.00,0.47,0.02,0.01",38,5260,Park St @ Gilmore Terr,BOSTON,35,130300,Point,887,106145,2
"416400,100800,100601,100500,100400,100900,100700","0.00,0.67,0.07,0.08,0.34,0.04,0.35",215,3372,Gallivan Blvd @ Carruth St,BOSTON,35,100800,Point,1803,77549,2
"130402,130300,130200,130100","0.26,0.01,0.27,0.24",52,8393,Baker St @ Rumford Rd,BOSTON,35,130100,Point,500,95537,2
"110607,130300,130200,110601,110501,130404,980700","0.06,0.83,0.31,0.00,0.47,0.02,0.00",38,5212,230 Park St opp Gilmore Terr,BOSTON,35,130300,Point,893,106790,2
"417502,417501,417400,417300,417200","0.90,0.79,0.01,0.10,0.01",211,3162,E Squantum St @ Holyoke St,QUINCY,243,417501,Point,1915,84599,2
"100800,100500,100400,100300,101002,100900","0.17,0.53,1.00,0.57,0.01,0.36",26,515,Washington St @ Fuller St,BOSTON,35,100400,Point,3220,57853,2
"110607,110502,110501,110401,140106,110403","0.23,1.00,0.57,0.16,0.36,0.55","40,70A,34E,34,50",10633,Washington St @ Rosecliff St,BOSTON,35,110502,Point,2268,83969,2
"417502,417501,417300,417200,100700,100603","0.53,0.01,0.12,0.22,0.18,0.13","201,202,210",30631,Hancock St @ Neponset River Bridge,QUINCY,243,417200,Point,1267,83410,2
"100800,100601,100500,100400,100900,100700","0.52,0.04,0.34,0.87,0.18,0.05","24,217,215,21,27,240",534,Dorchester Ave @ Van Winkle St,BOSTON,35,100800,Point,2701,65424,2
"416400,100800,100601,100500,100400,100900,100700","0.00,0.66,0.09,0.07,0.27,0.02,0.42",215,3377,Gallivan Blvd @ Adams St,BOSTON,35,100800,Point,1728,79061,2
"110607,110502,110501,110401,140106,110403","0.24,1.00,0.55,0.18,0.32,0.55","40,70A,34E,34,50",10603,Washington St @ Durnell Ave,BOSTON,35,110502,Point,2270,84524,2
"100800,100500,100400,100300,101002,100900","0.16,0.55,1.00,0.58,0.01,0.34",26,492,Washington St @ Fuller St,BOSTON,35,100400,Point,3231,57476,2
"100800,100601,100500,100400,100900,100700","0.52,0.05,0.35,0.86,0.17,0.06","24,217,215,21,27,240",536,Dorchester Ave @ Hurlcroft Ave,BOSTON,35,100800,Point,2717,65456,2
"130402,130300,130200,130100,130404","0.12,0.35,0.58,0.09,0.06","37,38",842,Lagrange St @ Westmount Ave,BOSTON,35,130200,Point,656,105867,2
"100500,100400,100300,101102,101101,101002,100900,100200,100100","0.00,0.01,0.87,0.62,0.58,0.33,0.01,0.99,0.28",26,445,Norfolk St @ Morton St,BOSTON,35,100200,Point,2986,47130,2
"416400,100800,100601,100500,100400,100900,100700","0.01,0.64,0.12,0.05,0.22,0.01,0.47",215,3371,Gallivan Blvd @ Frederika St,BOSTON,35,100700,Point,1676,80574,2
"100300,101102,101101,101002,101001,100200,100100,981100","0.14,0.94,1.00,0.16,0.05,0.79,0.24,0.10","28,31,29",1730,Blue Hill Ave @ Woolson St,BOSTON,35,101102,Point,2678,47072,2
"130402,130300,130200,130100,130404","0.11,0.34,0.58,0.09,0.05","37,38",846,Lagrange St @ Westmount Ave,BOSTON,35,130200,Point,641,106329,2
"140400,110502,110401,110103,110301,981100,110403,110201","0.06,0.10,0.77,0.00,0.60,0.07,0.44,1.00","33,32",6479,510 Hyde Park Ave,BOSTON,35,110201,Point,1721,60962,2
"140400,110401,101001,110103,110301,981100,110403,110201","0.07,0.46,0.00,0.00,0.79,0.19,0.15,1.00",14,46500,American Legion Hwy @ Mt Hope St,BOSTON,35,110301,Point,1295,57442,2
"100300,101102,101101,101002,101001,100200,100100,981100","0.12,0.93,1.00,0.14,0.05,0.79,0.25,0.11","28,31,29",1713,Blue Hill Ave @ Goodale Rd,BOSTON,35,101101,Point,2641,46993,2
"403400,403300,403100,457200","0.05,0.05,0.01,0.38",59,61852,Highland Ave @ May St,NEEDHAM,199,457200,Point,217,157744,3
"403400,403300,403100,457200","0.05,0.04,0.01,0.38",59,82437,Highland Ave @ May St,NEEDHAM,199,457200,Point,215,157505,3
"416400,100800,100601,100500,100400,100700,100603","0.01,0.55,0.12,0.00,0.01,0.68,0.02",215,33691,Granite Ave @ Gallivan Blvd,BOSTON,35,100700,Point,1277,86296,2
"416400,100800,100601,100500,100400,100700,100603","0.01,0.55,0.12,0.00,0.02,0.68,0.02","202,215",3378,Granite Ave @ Gallivan Blvd,BOSTON,35,100700,Point,1292,86071,2
"416400,417200,100800,100700,100603","0.02,0.03,0.04,0.95,0.34",201,38812,Hallet St @ Florian Hall,BOSTON,35,100700,Point,701,87930,2
