STOP_ID,TOWN,STOP_NAME,impacted_g,proportion,proporti_1,income,income_lev,impacted_p,geometry,route_ids
3394,QUINCY,Adams St @ Stedman St,"25021418102,25021418101,25021418200,25021416400,25021417200,25021417100","0.11,0.00,0.05,0.13,0.04,0.42","0.04,0.00,0.33,0.31,0.05,0.27",101827,2,665,POINT (238476.4465999976 889648.2961000018),"215,245"
111747,MILTON,Blue Hill Ave - Tucker St to Valentine Rd (FLAG),"25021416300,25021416200,25025140400,25025101001","0.03,0.51,0.09,0.01","0.04,0.87,0.08,0.00",105132,2,514,POINT (233106.3522000015 889648.7204999998),
6509,BOSTON,Hyde Park Ave @ Grant Place,"25025140300,25025140201,25025140202,25025140102,25025140107,25025140105,25025980700","0.60,0.02,0.15,0.01,0.95,0.07,0.05","0.47,0.01,0.11,0.01,0.29,0.03,0.07",56094,2,1121,POINT (231032.8191 889650.3154999986),"33,32"
111239,HINGHAM,Rockland St from Nantasket Ave to Kilby St (FLAG),"25021423100,25023500103,25023501101","0.02,0.13,0.14","0.20,0.12,0.55",129586,3,69,POINT (253494.2915000021 889651.2699999996),
3240,QUINCY,55 Sea St,"25021417701,25021417702,25021417902,25021417901,25021417602","0.54,0.63,0.00,0.02,0.01","0.42,0.53,0.00,0.02,0.01",71416,2,1108,POINT (241580.7475000024 889653.4981000014),"214,216"
3288,QUINCY,Sea St @ Cemetery,"25021417701,25021417702,25021417902,25021417901,25021417602","0.55,0.63,0.00,0.02,0.01","0.42,0.52,0.00,0.02,0.01",71342,2,1123,POINT (241572.5068000033 889656.1728999987),"214,216"
3315,QUINCY,Palmer St @ Roach St,"25021417901,25021417802,25021417801","0.02,0.85,0.06","0.01,0.50,0.06",35527,1,220,POINT (243766.4069000036 889672.7380000018),"214,216"
3300,QUINCY,Palmer St opp Roach St,"25021417901,25021417802,25021417801","0.02,0.84,0.07","0.01,0.49,0.07",36941,1,222,POINT (243753.494599998 889686.6094999984),"214,216"
61872,DEDHAM,Washington St @ Oak St,"25021402102,25021402400,25021402101,25025130402,25025130404,25025130406","0.25,0.08,0.10,0.06,0.19,0.30","0.24,0.17,0.21,0.07,0.15,0.16",77305,2,545,POINT (227893.497299999 889697.0780999996),"70A,34E,35,34"
3356,MILTON,Adams St @ Washington St,"25021418102,25021418200,25021416400,25021417200,25021417100","0.02,0.04,0.17,0.05,0.33","0.01,0.31,0.40,0.06,0.22",105196,2,554,POINT (238346.431400001 889702.003800001),"217,215,245"
