,GEO_ID,public_transport,walking,other,total_employed,impacted_pop
177,25005650101,98,11,0,3198,109
178,25005650102,38,62,16,2644,116
179,25005650201,0,3,0,1605,3
180,25005650202,0,0,16,1068,16
181,25005650300,9,1,1,1623,11
182,25005650400,7,167,0,1677,174
183,25005650500,27,27,11,1576,65
184,25005650600,0,80,24,1197,104
185,25005650700,45,190,15,1050,250
186,25005650800,57,100,0,1695,157
187,25005650900,46,40,17,1081,103
188,25005651001,2,14,11,1374,27
189,25005651002,40,80,40,1925,160
190,25005651100,0,108,52,2006,160
191,25005651200,67,155,32,1062,254
192,25005651300,67,88,24,748,179
193,25005651400,19,38,45,1444,102
194,25005651500,50,103,0,1372,153
195,25005651600,83,163,0,2068,246
196,25005651700,10,63,52,1246,125
197,25005651800,48,69,12,566,129
198,25005651900,66,103,0,669,169
199,25005652000,35,79,0,1265,114
200,25005652100,11,72,54,1327,137
201,25005652200,45,37,0,1386,82
202,25005652300,13,20,59,1312,92
203,25005652400,0,20,0,1187,20
204,25005652500,80,133,28,1187,241
205,25005652600,43,143,35,1046,221
206,25005652700,58,0,0,1255,58
207,25005652800,0,5,6,1390,11
208,25005653101,30,43,12,3163,85
209,25005653102,11,9,19,2721,39
210,25005653203,0,0,0,2496,0
211,25005653204,10,10,6,1822,26
212,25005653301,0,0,0,2287,0
213,25005653304,0,0,0,1543,0
214,25005654100,0,118,0,3928,118
215,25005654200,0,0,8,1659,8
216,25005655100,7,0,9,2005,16
217,25005655200,0,63,39,2493,102
218,25005655300,7,58,27,1501,92
219,25005655400,0,51,17,1776,68
220,25005985500,127,809,29,2800,965
221,25005985600,163,424,18,2824,605
222,25005990000,0,0,0,0,0
223,25007200100,112,80,147,2277,339
224,25007200200,31,27,0,2446,58
225,25007200300,41,129,121,1769,291
226,25007200400,30,99,32,2192,161
227,25007990000,0,0,0,0,0
228,25009201100,188,30,32,1978,250
229,25009202101,189,23,33,1086,245
230,25009202102,556,59,0,3421,615
231,25009202200,282,73,44,3247,399
232,25009203100,364,62,41,3624,467
233,25009203200,179,77,7,2374,263
234,25009203301,147,90,49,1936,286
235,25009203302,184,240,21,2192,445
236,25009204101,272,265,135,2568,672
237,25009204102,153,317,13,2616,483
238,25009204200,343,394,86,2931,823
239,25009204300,364,182,212,2139,758
240,25009204400,280,157,12,2066,449
241,25009204500,292,115,69,2124,476
242,25009204600,406,136,129,3132,671
243,25009204701,122,128,84,2980,334
244,25009204702,268,53,252,3560,573
245,25009205100,327,32,106,2862,465
246,25009205200,324,55,130,2656,509
247,25009205300,179,44,35,2421,258
248,25009205400,95,34,15,2719,144
249,25009205500,365,69,57,2207,491
250,25009205600,128,0,0,1537,128
251,25009205700,202,53,14,2882,269
252,25009205800,305,93,107,1680,505
253,25009205900,249,63,98,2315,410
254,25009206000,238,79,190,1691,507
255,25009206100,86,163,300,1836,549
256,25009206200,388,129,164,2835,681
257,25009206300,168,224,128,2353,520
258,25009206400,440,59,104,2836,603
259,25009206500,253,20,135,1737,408
260,25009206600,463,28,75,2112,566
261,25009206700,361,93,118,2317,572
262,25009206800,435,150,239,1938,824
263,25009206900,453,50,110,1864,613
264,25009207000,54,118,23,995,195
265,25009207100,342,36,227,1820,605
266,25009207200,68,98,43,1237,209
267,25009208101,264,0,92,2686,356
268,25009208102,125,0,0,1720,125
269,25009208200,229,37,95,2938,361
270,25009208300,176,22,0,3882,198
271,25009208400,259,131,159,3675,549
272,25009209100,64,22,0,3605,86
273,25009209200,92,11,5,3046,108
274,25009210100,88,0,63,4015,151
275,25009210200,95,1,21,2842,117
276,25009210300,237,80,21,3855,338
277,25009210400,83,59,65,3761,207
278,25009210500,112,38,72,3530,222
279,25009210600,99,10,132,2401,241
280,25009210700,87,69,102,2346,258
281,25009210800,28,88,113,2446,229
282,25009210900,34,13,88,2293,135
283,25009211100,68,20,64,2021,152
284,25009211200,99,82,14,3535,195
285,25009211300,60,25,12,3259,97
286,25009211401,68,63,48,2215,179
287,25009211402,99,0,10,3515,109
288,25009212100,90,60,56,4325,206
289,25009213100,72,0,41,4223,113
290,25009214100,20,17,40,2981,77
291,25009215101,164,75,16,2361,255
292,25009215102,152,101,13,1504,266
293,25009216100,80,265,43,2578,388
294,25009217100,343,21,4,3724,368
295,25009217201,84,77,48,2308,209
296,25009217202,77,42,9,2177,128
297,25009217300,298,124,80,2700,502
298,25009217400,426,180,126,3760,732
299,25009217500,468,225,74,3745,767
300,25009217600,333,527,21,4508,881
301,25009218100,370,79,13,2555,462
302,25009220101,145,212,12,2083,369
303,25009220102,71,49,8,1572,128
304,25009221100,28,58,8,2089,94
305,25009221300,45,101,0,2187,146
306,25009221400,115,267,29,1887,411
307,25009221500,62,166,19,1292,247
308,25009221600,72,45,68,1286,185
309,25009221700,33,168,32,1691,233
310,25009221800,0,2,2,867,4
311,25009221901,88,61,35,1734,184
312,25009221902,43,0,9,2218,52
313,25009222100,173,78,11,1915,262
314,25009223100,91,115,14,2143,220
315,25009223200,126,193,8,2050,327
316,25009223300,120,22,20,3170,162
317,25009250100,100,108,48,1061,256
318,25009250200,123,68,92,2400,283
319,25009250300,30,106,55,973,191
320,25009250400,65,187,226,1730,478
321,25009250500,141,95,121,1835,357
322,25009250600,150,20,158,2847,328
323,25009250700,83,114,42,2373,239
324,25009250800,51,124,97,3677,272
325,25009250900,6,67,107,798,180
326,25009251000,58,54,94,917,206
327,25009251100,82,94,67,916,243
328,25009251200,18,65,33,603,116
329,25009251300,117,123,98,1595,338
330,25009251400,23,104,109,2312,236
331,25009251500,142,175,287,2722,604
332,25009251600,146,67,174,2981,387
333,25009251700,69,113,124,2767,306
334,25009251800,83,133,65,3857,281
335,25009252101,52,13,19,1864,84
336,25009252102,34,11,8,2149,53
337,25009252201,14,11,10,1775,35
338,25009252202,0,0,10,1816,10
339,25009252300,141,84,84,4360,309
340,25009252400,32,50,144,2265,226
341,25009252501,0,22,15,2333,37
342,25009252502,14,34,44,2399,92
343,25009252601,65,0,59,4129,124
344,25009252602,27,39,7,2549,73
345,25009252603,29,7,18,1730,54
346,25009253100,47,42,0,2749,89
347,25009253201,91,38,20,1806,149
348,25009253202,116,119,53,3613,288
349,25009253203,77,52,17,2250,146
350,25009253204,186,0,42,3099,228
351,25009253205,62,9,7,2451,78
352,25009254100,144,33,16,3093,193
353,25009254200,109,364,56,2910,529
354,25009254301,93,119,91,2007,303
355,25009254302,137,31,53,2454,221
356,25009254401,119,15,13,1961,147
357,25009254402,202,0,3,3691,205
358,25009254403,106,38,39,2124,183
359,25009260100,340,230,0,2635,570
360,25009260200,130,61,15,1838,206
361,25009260301,18,89,35,2469,142
362,25009260302,40,0,0,1646,40
363,25009260401,34,19,26,1998,79
364,25009260402,70,0,0,3591,70
365,25009260500,39,0,7,1908,46
366,25009260600,120,42,54,1903,216
367,25009260700,126,54,69,2758,249
368,25009260800,132,103,14,2413,249
369,25009260900,204,57,75,2631,336
370,25009261000,42,10,56,2086,108
371,25009261101,22,42,54,2526,118
372,25009261102,56,19,61,2752,136
373,25009262100,106,22,47,3661,175
374,25009263100,60,0,63,2410,123
375,25009264100,68,38,35,3697,141
376,25009265101,31,0,0,2071,31
377,25009265102,26,9,3,2821,38
378,25009266100,42,8,43,2497,93
379,25009266200,45,24,57,3296,126
380,25009266300,48,74,66,1948,188
381,25009266400,50,28,9,2168,87
382,25009267101,110,20,9,1754,139
383,25009267102,37,185,43,2916,265
384,25009268100,62,31,6,1626,99
385,25009268200,198,251,116,3544,565
386,25009268300,74,202,38,2284,314
387,25009268400,63,106,52,2380,221
388,25009269100,205,83,78,3781,366
389,25009270100,116,19,34,3447,169
390,25009990100,0,0,0,0,0
391,25011040100,7,69,15,2177,91
392,25011040200,0,125,23,2460,148
393,25011040300,0,34,15,1633,49
394,25011040400,22,42,7,1696,71
395,25011040501,11,46,29,1888,86
396,25011040502,14,81,0,1657,95
397,25011040600,14,16,29,2553,59
398,25011040701,30,114,26,1932,170
399,25011040702,53,24,20,2389,97
400,25011040800,399,92,20,3219,511
401,25011040900,57,218,15,2604,290
402,25011041000,0,16,0,1667,16
403,25011041100,9,74,25,2011,108
404,25011041200,11,56,45,1832,112
405,25011041300,24,187,29,2334,240
406,25011041400,7,77,7,1043,91
407,25011041501,24,36,28,1996,88
408,25011041502,0,132,12,1891,144
409,25013800101,65,0,90,1719,155
410,25013800102,54,88,46,1747,188
411,25013800201,48,74,0,2800,122
412,25013800202,4,21,0,611,25
413,25013800300,114,15,31,2037,160
414,25013800400,98,123,0,2307,221
415,25013800500,73,81,31,1989,185
416,25013800600,29,56,35,688,120
417,25013800700,125,108,45,1063,278
418,25013800800,54,26,0,481,80
419,25013800900,299,155,12,1352,466
420,25013801101,74,140,0,598,214
421,25013801102,73,100,0,505,173
422,25013801200,119,140,31,822,290
423,25013801300,75,117,76,1619,268
424,25013801401,76,117,10,1291,203
425,25013801402,44,0,0,988,44
426,25013801501,52,78,95,2278,225
427,25013801502,35,50,0,1032,85
428,25013801503,0,46,40,1764,86
429,25013801601,8,203,42,2166,253
430,25013801602,25,39,10,2073,74
431,25013801603,0,21,0,1969,21
432,25013801604,8,8,0,2031,16
433,25013801605,0,10,91,2102,101
434,25013801700,114,476,77,2804,667
435,25013801800,110,92,70,1342,272
436,25013801901,140,57,54,1377,251
437,25013801902,122,175,47,1205,344
438,25013802000,34,106,107,854,247
439,25013802100,174,45,11,2659,230
440,25013802200,75,23,61,1140,159
441,25013802300,130,126,109,2895,365
442,25013802400,0,9,0,2055,9
443,25013802500,51,148,0,3623,199
444,25013802601,207,131,29,3319,367
445,25013802602,0,0,17,1058,17
446,25013810100,0,229,25,3662,254
447,25013810200,0,0,0,1285,0
448,25013810300,0,48,24,1490,72
449,25013810403,24,39,40,1819,103
450,25013810404,22,0,0,1843,22
451,25013810412,0,23,62,3402,85
452,25013810414,18,16,52,3366,86
453,25013810601,0,90,16,1839,106
454,25013810602,10,32,32,1491,74
455,25013810700,14,20,31,3027,65
456,25013810800,43,43,30,1790,116
457,25013810901,38,60,6,952,104
458,25013810902,23,69,8,1885,100
459,25013811000,0,54,0,2279,54
460,25013811101,7,83,47,2268,137
461,25013811102,61,0,22,2819,83
462,25013811200,59,18,62,2495,139
463,25013811301,0,48,0,2999,48
464,25013811302,8,0,13,2667,21
465,25013811400,92,15,23,672,130
466,25013811500,46,36,0,450,82
467,25013811600,25,183,38,1075,246
468,25013811700,0,95,0,566,95
469,25013811800,14,121,15,1936,150
470,25013811900,15,0,57,1961,72
471,25013812001,46,78,9,1163,133
472,25013812002,0,23,9,2113,32
473,25013812101,0,113,34,2781,147
474,25013812103,23,39,23,1505,85
475,25013812104,33,68,34,2592,135
476,25013812201,112,11,31,2468,154
477,25013812202,40,89,20,2027,149
478,25013812300,7,258,13,2269,278
479,25013812401,21,0,10,3579,31
480,25013812403,32,44,14,1959,90
481,25013812404,0,8,0,2148,8
482,25013812500,0,21,68,3998,89
483,25013812600,0,9,0,3559,9
484,25013812701,20,62,33,1979,115
485,25013812702,50,109,0,2625,159
486,25013812800,31,22,10,3796,63
487,25013812901,7,11,16,1914,34
488,25013812902,0,23,70,2402,93
489,25013812903,7,363,8,932,378
490,25013813000,8,61,33,3846,102
491,25013813101,0,83,21,2632,104
492,25013813102,14,43,24,2005,81
493,25013813204,0,0,10,1747,10
494,25013813205,20,0,31,3894,51
495,25013813206,0,9,74,2050,83
496,25013813207,22,0,0,2693,22
497,25013813208,8,7,0,1705,15
498,25013813209,30,28,121,2683,179
499,25013813301,15,160,65,3579,240
500,25013813303,5,9,17,1736,31
501,25013813304,16,0,11,2049,27
502,25013813401,7,38,47,2499,92
503,25013813403,9,45,0,1857,54
504,25013813404,66,62,40,3412,168
505,25013813500,9,32,12,2601,53
506,25013813601,0,80,66,4140,146
507,25013813602,51,0,104,3716,155
508,25013813701,0,13,0,2060,13
509,25013813702,0,8,8,2681,16
510,25013813801,0,21,15,2416,36
511,25013813802,0,0,10,1890,10
512,25015820101,0,16,71,2817,87
513,25015820102,1,74,0,1683,75
514,25015820202,0,14,1,715,15
515,25015820203,19,103,0,4699,122
516,25015820204,31,38,42,3943,111
517,25015820300,537,362,221,4040,1120
518,25015820400,153,2445,37,4747,2635
519,25015820500,588,426,191,3393,1205
520,25015820600,21,433,0,796,454
521,25015820700,146,41,143,2552,330
522,25015820801,259,27,75,2777,361
523,25015820802,0,316,9,559,325
524,25015820900,25,0,0,3747,25
525,25015821000,8,23,0,2153,31
526,25015821100,80,90,0,3865,170
527,25015821200,18,760,0,1290,778
528,25015821300,8,172,19,1997,199
529,25015821400,17,26,14,2704,57
530,25015821500,13,58,48,1894,119
531,25015821601,0,57,50,1410,107
532,25015821602,29,104,60,1711,193
533,25015821700,88,10,36,1672,134
534,25015821901,67,443,38,2245,548
535,25015821903,105,257,51,1499,413
536,25015821904,39,141,117,1811,297
537,25015822000,44,670,25,1219,739
538,25015822200,5,110,40,3101,155
539,25015822300,58,55,22,2790,135
540,25015822401,13,34,11,3367,58
541,25015822402,134,90,43,2888,267
542,25015822500,0,0,0,3421,0
543,25015822601,0,0,27,1135,27
544,25015822603,3,14,4,1041,21
545,25015822605,3,15,3,700,21
546,25015822606,9,47,36,2076,92
547,25015822700,21,23,19,1743,63
548,25017300100,17,15,0,1722,32
549,25017301101,11,26,27,2250,64
550,25017301102,44,24,18,2828,86
551,25017310100,194,327,96,2997,617
552,25017310200,153,114,112,3333,379
553,25017310300,0,194,67,3045,261
554,25017310400,93,110,7,1601,210
555,25017310500,87,408,8,1805,503
556,25017310601,68,48,37,2976,153
557,25017310602,91,124,50,2803,265
558,25017310700,110,232,57,2340,399
559,25017311100,25,187,11,1354,223
560,25017311200,67,39,48,1316,154
561,25017311300,59,107,18,2147,184
562,25017311400,190,24,16,3265,230
563,25017311500,88,18,0,1666,106
564,25017311600,0,94,39,2900,133
565,25017311700,96,65,6,2706,167
566,25017311800,69,60,32,1697,161
567,25017311900,95,69,14,892,178
568,25017312000,33,78,21,1279,132
569,25017312100,33,36,9,1277,78
570,25017312200,80,27,74,2489,181
571,25017312300,67,0,35,2800,102
572,25017312400,20,26,12,906,58
573,25017312501,98,40,46,2504,184
574,25017312502,33,0,26,2092,59
575,25017313101,12,19,0,3827,31
576,25017313102,84,29,0,3418,113
577,25017314101,73,54,0,3771,127
578,25017314102,126,42,19,4062,187
579,25017314200,15,13,43,2781,71
580,25017314301,94,27,77,4494,198
581,25017314302,18,0,10,1807,28
582,25017315100,48,55,12,3210,115
583,25017315200,174,15,0,4920,189
584,25017315401,43,8,15,1884,66
585,25017315402,45,7,5,1754,57
586,25017315403,25,0,5,952,30
587,25017315500,245,66,18,4534,329
588,25017316101,101,24,40,2913,165
589,25017316102,47,0,56,3681,103
590,25017316201,50,9,14,2326,73
591,25017316202,130,0,23,2415,153
592,25017316300,241,40,19,5752,300
593,25017316400,110,11,57,3618,178
594,25017316500,109,63,0,3264,172
595,25017317101,153,53,23,3785,229
596,25017317102,0,18,28,2562,46
597,25017317103,63,14,10,2418,87
598,25017317201,19,0,8,1433,27
599,25017317202,66,22,45,1842,133
600,25017317203,46,18,9,2149,73
601,25017317301,36,69,21,1429,126
602,25017317302,66,15,19,2997,100
603,25017318100,76,35,12,3485,123
604,25017318200,49,9,0,2837,58
605,25017318300,63,16,35,4142,114
606,25017318400,150,10,17,2212,177
607,25017320102,113,0,7,2875,120
608,25017320103,142,5,23,1586,170
609,25017320104,340,158,69,4605,567
610,25017321100,14,25,44,3538,83
611,25017321200,76,37,58,3708,171
612,25017321300,50,44,99,4861,193
613,25017321400,31,46,0,1905,77
614,25017321500,170,53,106,4146,329
615,25017321600,80,113,186,5052,379
616,25017322100,46,17,11,2709,74
617,25017322200,44,31,0,2111,75
618,25017322300,45,81,0,3660,126
619,25017322400,13,8,107,2757,128
620,25017323100,82,15,31,3808,128
621,25017324101,61,53,0,2867,114
622,25017324102,129,13,0,2384,142
623,25017325100,134,61,102,4793,297
624,25017326101,69,72,10,2456,151
625,25017326102,160,11,17,3264,188
626,25017327101,44,20,0,2294,64
627,25017327102,13,12,0,2252,25
628,25017327103,22,22,0,1914,44
629,25017328100,10,12,0,1833,22
630,25017330100,176,45,101,5022,322
631,25017330200,137,84,65,3756,286
632,25017331101,49,12,48,2095,109
633,25017331102,197,22,0,4069,219
634,25017331200,132,33,26,3504,191
635,25017331300,287,34,85,4012,406
636,25017332100,116,0,0,3290,116
637,25017332200,206,61,38,4803,305
638,25017332300,71,49,0,3870,120
639,25017332400,112,66,22,1973,200
640,25017333100,185,10,0,4307,195
641,25017333200,62,36,13,2751,111
642,25017333300,144,98,74,2176,316
643,25017333400,152,88,0,3720,240
644,25017333501,78,38,78,3134,194
645,25017333502,43,35,11,1790,89
646,25017333600,304,174,47,4973,525
647,25017334100,481,54,18,3591,553
648,25017334200,242,68,19,2102,329
649,25017334300,283,22,68,4157,373
650,25017334400,333,25,80,3721,438
651,25017335100,141,0,16,3014,157
652,25017335200,293,73,23,3444,389
653,25017335301,245,159,109,2721,513
654,25017335302,171,54,41,2971,266
655,25017335400,356,44,70,3067,470
656,25017336100,799,100,88,3147,987
657,25017336200,616,66,14,3345,696
658,25017336300,687,79,26,3884,792
659,25017336401,900,91,13,3031,1004
660,25017336402,669,279,30,2852,978
661,25017337101,102,28,34,1478,164
662,25017337102,296,0,10,3103,306
663,25017337201,69,24,0,1804,93
664,25017337202,172,45,53,2531,270
665,25017337300,243,75,0,3490,318
666,25017338100,169,31,96,1724,296
667,25017338200,263,0,25,2067,288
668,25017338300,94,37,12,1395,143
669,25017338400,313,11,45,3014,369
670,25017338500,374,25,66,2918,465
671,25017339100,443,113,103,3403,659
672,25017339200,690,44,62,3694,796
673,25017339300,286,0,94,1502,380
674,25017339400,372,186,139,2158,697
675,25017339500,460,564,52,3133,1076
676,25017339600,1013,299,186,4157,1498
677,25017339700,664,97,28,2511,789
678,25017339801,1033,42,34,2925,1109
679,25017339802,631,47,25,2752,703
680,25017339900,645,93,42,3142,780
681,25017340000,291,18,0,1535,309
682,25017340100,515,72,51,3687,638
683,25017341101,799,46,63,2311,908
684,25017341102,1310,27,1,2392,1338
685,25017341200,1061,128,122,3893,1311
686,25017341300,1289,129,73,2541,1491
687,25017341400,1169,193,0,3612,1362
688,25017341500,994,113,9,3043,1116
689,25017341600,1021,220,150,3381,1391
690,25017341700,494,18,29,2748,541
691,25017341800,747,33,93,3145,873
692,25017341901,86,7,8,735,101
693,25017341902,879,118,1,4611,998
694,25017342101,703,121,96,2352,920
695,25017342102,413,78,30,1879,521
696,25017342201,617,135,69,2680,821
697,25017342202,257,83,87,2178,427
698,25017342300,833,69,48,4141,950
699,25017342400,1275,112,84,3809,1471
700,25017342500,975,154,72,4312,1201
701,25017342600,540,50,0,2822,590
702,25017350103,323,40,30,1270,393
703,25017350104,1280,128,92,3823,1500
704,25017350200,1025,182,307,4133,1514
