,name,lat,lng,vicinity,business_status,permanently_closed ,rating ,user_ratings_total ,source,type,volient_no,expired
13,Ming Seafood Restaurant,42.27041009999999,-71.02356429999999,"477 Hancock Street, Quincy",OPERATIONAL,False,3.8,100,GOOGLE,"restaurant,food,point_of_interest,establishment",,
14,Assembly,42.2728017,-71.0250315,"425 Hancock Street, Quincy",OPERATIONAL,False,4.4,540,GOOGLE,"bar,restaurant,food,point_of_interest,establishment",,
15,Wendy's,42.269126,-71.0239287,"191 Newport Avenue, Quincy",OPERATIONAL,False,4.0,1020,GOOGLE,"restaurant,food,point_of_interest,establishment",101,True
16,Bánh Mì Lê,42.272987,-71.0252284,"419 Hancock Street, Quincy",OPERATIONAL,False,4.7,105,GOOGLE,"restaurant,food,point_of_interest,establishment",,
17,Pho Linh,42.2731953,-71.02552399999998,"409 Hancock Street, Quincy",OPERATIONAL,False,4.4,507,GOOGLE,"restaurant,food,point_of_interest,establishment",,
18,KFC,42.2666347,-71.0148614,"707 Hancock Street, Quincy",OPERATIONAL,False,3.3,226,GOOGLE,"restaurant,food,point_of_interest,establishment",24,False
19,JP Fuji Group,42.2673155,-71.0152988,"696 Hancock Street, Quincy",CLOSED_TEMPORARILY,True,3.0,1,GOOGLE,"restaurant,food,point_of_interest,establishment",,
20,Fuji,42.267344,-71.01522299999998,"698 Hancock Street, Quincy",OPERATIONAL,False,4.4,335,GOOGLE,"restaurant,food,point_of_interest,establishment",,
21,Fox and Hound Wood Grille and Tavern,42.259581,-70.994917,"123 Sea Street, Quincy",OPERATIONAL,False,4.2,396,GOOGLE,"bar,restaurant,food,point_of_interest,establishment",,
22,Dunkin',42.26703759999999,-71.01562890000001,"687 Hancock Street, Quincy",OPERATIONAL,False,4.0,213,GOOGLE,"bakery,meal_takeaway,cafe,restaurant,food,point_of_interest,store,establishment",,
23,Newcomb Farms Family Restaurant,42.2670544,-71.0175084,"31 Beale Street, Quincy",OPERATIONAL,False,4.5,325,GOOGLE,"restaurant,food,point_of_interest,establishment",,
24,Falafel King,42.267407,-71.015408,"690 Hancock Street, Quincy",OPERATIONAL,False,4.6,196,GOOGLE,"meal_takeaway,restaurant,food,point_of_interest,establishment",80,True
25,Shabu,42.27358209999999,-71.02592039999998,"397 Hancock Street, Quincy",OPERATIONAL,False,4.6,285,GOOGLE,"restaurant,food,point_of_interest,establishment",,
26,Taco Bell,42.26664089999999,-71.01487,"707 Hancock Street, Quincy",OPERATIONAL,False,3.6,592,GOOGLE,"meal_takeaway,restaurant,food,point_of_interest,establishment",10,False
27,Matteo's Pizza & Subs,42.2838265,-71.02477490000001,"243 Atlantic Street, Quincy",OPERATIONAL,False,4.3,73,GOOGLE,"meal_delivery,restaurant,food,point_of_interest,establishment",,
28,Pad Thai Restaurant,42.267503999999995,-71.01612999999998,"671 Hancock Street, Quincy",OPERATIONAL,False,4.3,143,GOOGLE,"restaurant,food,point_of_interest,establishment",,
29,Burke's Seafood (Temporary Hours),42.273888899999996,-71.02444440000001,"61 Billings Road, North Quincy",OPERATIONAL,False,4.7,195,GOOGLE,"restaurant,food,point_of_interest,establishment",,
30,Balducci's House of Pizza,42.27336880000001,-71.02516170000001,"35 Billings Road, Quincy",OPERATIONAL,False,4.2,149,GOOGLE,"meal_delivery,restaurant,food,point_of_interest,establishment",,
31,Tony's House of Pizza,42.267893,-71.01610099999998,"662 Hancock Street, Quincy",OPERATIONAL,False,4.1,124,GOOGLE,"meal_takeaway,meal_delivery,restaurant,food,point_of_interest,establishment",,
32,The Irish Pub,42.273710200000004,-71.0247172,"51 Billings Road, Quincy",OPERATIONAL,False,4.3,149,GOOGLE,"bar,restaurant,food,point_of_interest,establishment",,
33,B Cafe,42.2734195,-71.02576280000002,"405 Hancock Street, Quincy",OPERATIONAL,False,4.5,371,GOOGLE,"cafe,restaurant,food,point_of_interest,establishment",,
34,O B's Cafe,42.2743442,-71.02409510000003,"74 Billings Road, Quincy",OPERATIONAL,False,4.5,249,GOOGLE,"restaurant,food,point_of_interest,establishment",,
35,Koi Hot Pot,42.267268200000004,-71.0171593,"21 Beale Street, Quincy",OPERATIONAL,False,4.3,161,GOOGLE,"restaurant,food,point_of_interest,establishment",,
36,Cafe Maddie,42.27495,-71.0046222,"895 Quincy Shore Drive, Quincy",OPERATIONAL,False,4.4,267,GOOGLE,"cafe,restaurant,food,point_of_interest,store,establishment",,
37,BAJA Box,42.2762346,-71.0089059,"793 Quincy Shore Drive, Quincy",OPERATIONAL,False,4.5,251,GOOGLE,"restaurant,food,point_of_interest,store,establishment",,
38,Sofia Pizza House,42.2735296,-71.02494449999999,"45 Billings Road, Quincy",OPERATIONAL,False,4.0,106,GOOGLE,"meal_delivery,meal_takeaway,restaurant,food,point_of_interest,establishment",,
39,Winsor Dim Sum Cafe & Bar,42.267007,-71.0145926,"706 Hancock Street, Quincy",OPERATIONAL,False,4.2,466,GOOGLE,"restaurant,food,point_of_interest,establishment",,
40,Jinye Cafe,42.2673376,-71.0153165,"694 Hancock Street #A, Quincy",OPERATIONAL,False,4.6,5,GOOGLE,"restaurant,food,point_of_interest,establishment",,
41,Yummy Cafe,42.2675885,-71.01615129999998,"669 Hancock Street, Quincy",OPERATIONAL,False,4.5,75,GOOGLE,"restaurant,food,point_of_interest,establishment",,
42,TKK Fried Chicken,42.267835299999994,-71.0166718,"1 Beale Street, Quincy",OPERATIONAL,False,3.6,22,GOOGLE,"meal_takeaway,restaurant,food,point_of_interest,establishment",3,True
43,Yaowarat,42.2675094,-71.01638919999998,"6-8 Beale Street, Quincy",OPERATIONAL,False,4.6,35,GOOGLE,"restaurant,food,point_of_interest,establishment",,
44,Saigon Corner,42.2733146,-71.02605799999998,"24 Billings Road, Quincy",OPERATIONAL,False,4.6,94,GOOGLE,"meal_takeaway,restaurant,food,point_of_interest,establishment",,
45,金源大酒楼,42.27056930000001,-71.02329,"477 Hancock Street, Quincy",OPERATIONAL,False,3.8,5,GOOGLE,"restaurant,food,point_of_interest,establishment",,
46,Taipei Cuisine,42.2742244,-71.02436340000001,"68 Billings Road, Quincy",OPERATIONAL,False,4.2,358,GOOGLE,"restaurant,food,point_of_interest,establishment",,
47,East Chinatown Restaurant,42.273141100000004,-71.0253056,"415 Hancock Street, Quincy",OPERATIONAL,False,3.9,84,GOOGLE,"restaurant,food,point_of_interest,establishment",,
48,Fuzhou Gourmet,42.26609630000001,-71.0208774,"10 Brook Street, Quincy",OPERATIONAL,False,3.2,9,GOOGLE,"restaurant,food,point_of_interest,establishment",,
49,Fairy Cafe,42.2660175,-71.02102190000001,"14-16 Brook Street, Quincy",OPERATIONAL,False,4.6,193,GOOGLE,"restaurant,food,point_of_interest,establishment",,
50,big fun cafe,42.26593870000001,-71.0211108,"18 Brook Street, Quincy",OPERATIONAL,False,4.8,19,GOOGLE,"restaurant,food,point_of_interest,establishment",,
51,Dunkin',42.271092100000004,-71.026673,"In Stop & Shop, 65 Newport Avenue, Quincy",OPERATIONAL,False,3.6,134,GOOGLE,"bakery,meal_takeaway,cafe,restaurant,food,point_of_interest,store,establishment",,
52,Dunkin',42.26942710000001,-71.02450139999998,"195 Newport Avenue, Quincy",OPERATIONAL,False,3.9,8,GOOGLE,"bakery,meal_takeaway,cafe,restaurant,food,point_of_interest,store,establishment",,
53,East Ocean Seafood Restaurant,42.27310490000001,-71.0256421,"27 Billings Road, Quincy",OPERATIONAL,False,4.7,9,GOOGLE,"restaurant,food,point_of_interest,establishment",,
54,Windy City Pizza - Quincy,42.26924499999999,-71.02447240000001,"195 Newport Avenue, Quincy",OPERATIONAL,False,3.9,81,GOOGLE,"restaurant,food,point_of_interest,establishment",,
55,Cathay Pacific,42.28059700000001,-71.0354,"111 Hancock Street, Quincy",OPERATIONAL,False,4.1,2062,GOOGLE,"night_club,bar,restaurant,food,point_of_interest,establishment",,
56,Abby Park,42.25828789999999,-71.04046059999999,"550 Adams Street, Milton",OPERATIONAL,False,4.4,373,GOOGLE,"bar,restaurant,food,point_of_interest,establishment",,
57,Domino's Pizza,42.281857200000005,-71.03654089999998,"61 Hancock Street, Quincy",OPERATIONAL,False,3.6,167,GOOGLE,"meal_delivery,meal_takeaway,restaurant,food,point_of_interest,establishment",824,True
58,Panera Bread,42.2781885,-71.0307632,"200 Hancock Street, Quincy",OPERATIONAL,False,4.0,645,GOOGLE,"cafe,bakery,meal_takeaway,restaurant,food,point_of_interest,store,establishment",216,True
59,Starbucks,42.258247,-71.040032,"552 Adams Street, Milton",OPERATIONAL,False,3.9,294,GOOGLE,"cafe,restaurant,food,point_of_interest,store,establishment",66,True
60,Applebee's Grill + Bar,42.27876129999999,-71.0313845,"200 Hancock Street, Quincy",OPERATIONAL,False,3.9,857,GOOGLE,"restaurant,bar,food,point_of_interest,establishment",,
61,Papa Gino's,42.284727600000004,-71.04542690000001,"748 Gallivan Boulevard, Dorchester",OPERATIONAL,False,3.4,485,GOOGLE,"restaurant,meal_delivery,meal_takeaway,food,point_of_interest,establishment",22,True
62,Not Your Average Joes - Headquarters,42.277088299999996,-71.0517004,"2 Granite Avenue Suite 300, Milton",OPERATIONAL,False,4.0,4,GOOGLE,"bar,restaurant,food,point_of_interest,establishment",,
63,McDonald's,42.2766062,-71.0294383,"275 Hancock Street, Quincy",OPERATIONAL,False,3.4,873,GOOGLE,"cafe,restaurant,food,point_of_interest,store,establishment",824,True
64,Novara Restaurant,42.2583503,-71.03979489999998,"556 Adams Street, Milton",OPERATIONAL,False,4.4,486,GOOGLE,"restaurant,food,point_of_interest,establishment",,
65,Peel Pizza Company,42.2583586,-71.0407184,"538 Adams Street, Milton",OPERATIONAL,False,3.9,71,GOOGLE,"restaurant,food,point_of_interest,establishment",,
66,Dunkin',42.283817,-71.0461345,"719 Gallivan Boulevard, Dorchester",OPERATIONAL,False,3.9,54,GOOGLE,"bakery,meal_takeaway,cafe,restaurant,food,point_of_interest,store,establishment",,
67,Pizza Connection,42.2710104,-71.0302553,"41 Safford Street, Quincy",OPERATIONAL,False,4.1,118,GOOGLE,"meal_delivery,restaurant,food,point_of_interest,store,establishment",,
68,David's Pizza,42.26978079999999,-71.0337625,"218 West Squantum Street, Quincy",OPERATIONAL,False,4.0,58,GOOGLE,"restaurant,food,point_of_interest,establishment",,
69,Dunkin',42.280325899999994,-71.0345468,"125 Hancock Street, North Quincy",OPERATIONAL,False,4.0,326,GOOGLE,"bakery,meal_takeaway,cafe,restaurant,food,point_of_interest,store,establishment",,
70,D'Angelo Grilled Sandwiches,42.2773891,-71.0296293,"270 Hancock Street, Quincy",OPERATIONAL,False,4.0,164,GOOGLE,"restaurant,food,point_of_interest,store,establishment",,
71,I Love Italian Pizza,42.28139689999999,-71.02899690000001,"68 Newbury Avenue, Quincy",OPERATIONAL,False,4.3,159,GOOGLE,"restaurant,food,point_of_interest,establishment",,
72,Steel & Rye,42.269976,-71.07241700000002,"95 Eliot Street, Milton",OPERATIONAL,False,4.4,565,GOOGLE,"bar,restaurant,food,point_of_interest,establishment",,
73,Ashmont Grill,42.2860648,-71.06476579999999,"555 Talbot Avenue, Boston",OPERATIONAL,False,4.4,422,GOOGLE,"bar,restaurant,food,point_of_interest,establishment",,
74,Tavolo Ristorante,42.2838392,-71.06462990000001,"1918 Dorchester Avenue, Dorchester",OPERATIONAL,False,4.4,166,GOOGLE,"restaurant,food,point_of_interest,establishment",,
75,Pat's Pizza & Catering,42.273495000000004,-71.067576,"2254 Dorchester Avenue, Dorchester Center",OPERATIONAL,False,4.3,344,GOOGLE,"meal_delivery,restaurant,food,point_of_interest,establishment",,
76,Greenhills Irish Bakery,42.28330089999999,-71.05561309999999,"780 Adams Street, Boston",OPERATIONAL,False,4.5,236,GOOGLE,"bakery,restaurant,food,point_of_interest,store,establishment",,
77,Eire Pub,42.28307480000001,-71.0561142,"795 Adams Street, Boston",OPERATIONAL,False,4.5,255,GOOGLE,"restaurant,food,point_of_interest,establishment",,
78,Lower Mills Tavern,42.272976,-71.06805299999998,"2269 Dorchester Avenue, Boston",OPERATIONAL,False,4.4,417,GOOGLE,"bar,restaurant,food,point_of_interest,establishment",38,False
79,Lucy's American Tavern,42.282272,-71.0558719,"13 Granite Avenue, Dorchester",OPERATIONAL,False,4.2,1069,GOOGLE,"bar,restaurant,food,point_of_interest,establishment",91,False
80,Adam's Fish Market,42.28337,-71.055838,"783 Adams Street, Dorchester",OPERATIONAL,False,4.5,43,GOOGLE,"restaurant,food,point_of_interest,establishment",,
81,"Landmark Public House Restaurant & Bar | Dorchester, MA.",42.28341590000001,-71.0555641,"772 Adams Street, Dorchester",OPERATIONAL,False,4.2,255,GOOGLE,"bar,restaurant,food,point_of_interest,establishment",,
82,The Industry Bar & Grill,42.2839635,-71.0553161,"750 Adams Street, Boston",OPERATIONAL,False,4.2,310,GOOGLE,"bar,restaurant,food,point_of_interest,establishment",,
83,Stefano Sub,42.281544,-71.071314,"863 Washington Street, Boston",OPERATIONAL,False,4.2,89,GOOGLE,"restaurant,food,point_of_interest,establishment",,
84,Chinatown Express,42.2713588,-71.07400229999999,"79 River Street, Mattapan",OPERATIONAL,False,3.8,140,GOOGLE,"restaurant,food,point_of_interest,establishment",,
85,China Sky Restaurant,42.2830314,-71.0556716,"784 Adams Street, Dorchester Center",OPERATIONAL,False,3.8,132,GOOGLE,"meal_delivery,restaurant,food,point_of_interest,establishment",222,False
86,Tino's Pizza,42.2693942,-71.0728744,"22 Central Avenue, Milton",OPERATIONAL,False,4.0,62,GOOGLE,"restaurant,food,point_of_interest,establishment",,
87,Sweet Life,42.2737047,-71.0678959,"2243 Dorchester Avenue, Boston",OPERATIONAL,False,4.5,374,GOOGLE,"bakery,cafe,restaurant,food,point_of_interest,store,establishment",,
88,Spukies N Pizza,42.272265000000004,-71.0688673,"1159 Washington Street, Dorchester",OPERATIONAL,False,4.1,175,GOOGLE,"meal_delivery,meal_takeaway,restaurant,food,point_of_interest,establishment",,
89,River Street Grill,42.271569,-71.073655,"73 River Street, Mattapan",OPERATIONAL,False,4.1,272,GOOGLE,"meal_delivery,restaurant,food,point_of_interest,establishment",,
90,Dunkin',42.27238070000001,-71.0678178,"2290 Dorchester Avenue, Dorchester",OPERATIONAL,False,4.1,261,GOOGLE,"bakery,meal_takeaway,cafe,restaurant,food,point_of_interest,store,establishment",,
91,Five Star Pizza,42.283593200000006,-71.05068729999998,"616 Gallivan Boulevard, Dorchester",OPERATIONAL,False,4.2,166,GOOGLE,"meal_delivery,meal_takeaway,restaurant,food,point_of_interest,establishment",70,False
92,McDonald's,42.282346600000004,-71.05513859999998,"515 Gallivan Boulevard, Dorchester",OPERATIONAL,False,3.5,1030,GOOGLE,"cafe,restaurant,food,point_of_interest,store,establishment",824,True
93,Kapow Thai Cuisine,42.273385,-71.0679993,"2257 Dorchester Avenue, Boston",OPERATIONAL,False,3.9,85,GOOGLE,"meal_delivery,meal_takeaway,restaurant,food,point_of_interest,establishment",,
94,Dimitrio's House of Pizza,42.29015019999999,-71.06287420000001,"1750 Dorchester Avenue, Boston",OPERATIONAL,False,3.9,292,GOOGLE,"meal_delivery,restaurant,food,point_of_interest,establishment",,
95,Johnny's Pizza & Subs,42.285242499999995,-71.0645893,"1917 Dorchester Avenue, Dorchester Center",OPERATIONAL,False,4.1,147,GOOGLE,"meal_takeaway,restaurant,food,point_of_interest,store,establishment",,
96,China Sea Restaurant,42.283423,-71.09142170000001,"1202 Blue Hill Avenue #1819, Boston",OPERATIONAL,False,3.8,75,GOOGLE,"restaurant,food,point_of_interest,establishment",,
97,Lani's Pizza,42.2797888,-71.09262209999999,"1286 Blue Hill Avenue, Mattapan",OPERATIONAL,False,4.2,215,GOOGLE,"meal_delivery,restaurant,food,point_of_interest,establishment",22,False
98,Las Vegas Express Restaurant,42.26942200000001,-71.093374,"1592 Blue Hill Avenue, Mattapan",OPERATIONAL,False,4.0,248,GOOGLE,"restaurant,food,point_of_interest,establishment",235,True
99,Dunkin',42.2685479,-71.09406059999998,"1621 Blue Hill Avenue, Mattapan",OPERATIONAL,False,4.0,202,GOOGLE,"bakery,meal_takeaway,cafe,restaurant,food,point_of_interest,store,establishment",,
100,Nu Flav Restaurant,42.286903,-71.09020090000001,"1100 Blue Hill Avenue, Boston",OPERATIONAL,False,4.2,100,GOOGLE,"restaurant,food,point_of_interest,establishment",174,False
101,Boston Fried Chicken,42.2898505,-71.08935759999999,"Blue Hill Avenue, Dorchester",OPERATIONAL,False,4.1,125,GOOGLE,"restaurant,food,point_of_interest,establishment",50,False
102,"Flames Restaurant, Inc",42.2852211,-71.09330140000002,"663 Morton Street, Mattapan",OPERATIONAL,False,4.3,635,GOOGLE,"restaurant,food,point_of_interest,establishment",,
103,Only One Jamaican Restaurant,42.2871286,-71.0786368,"160 Norfolk Street, Dorchester Center",OPERATIONAL,False,4.2,733,GOOGLE,"restaurant,food,point_of_interest,establishment",,
104,Domino's Pizza,42.27234139999999,-71.0932335,"1514 Blue Hill Avenue, Mattapan",OPERATIONAL,False,2.3,297,GOOGLE,"meal_delivery,meal_takeaway,restaurant,food,point_of_interest,establishment",824,True
105,Mattapan House of Pizza,42.268330999999996,-71.09401629999998,"1631 Blue Hill Avenue, Mattapan",OPERATIONAL,False,4.0,283,GOOGLE,"restaurant,food,point_of_interest,establishment",123,False
106,Pit Stop Barbecue,42.28100200000001,-71.0840911,"888 Morton Street A, Mattapan",OPERATIONAL,False,3.8,358,GOOGLE,"restaurant,food,point_of_interest,establishment",174,False
107,Ali's Roti Restaurant,42.283762,-71.09134,"1188 Blue Hill Avenue, Mattapan",OPERATIONAL,False,4.4,572,GOOGLE,"restaurant,food,point_of_interest,establishment",,
108,24 Hour Pizza Delivery,42.2847472,-71.09204790000001,"686 Morton Street, Boston",OPERATIONAL,False,1.4,23,GOOGLE,"restaurant,food,point_of_interest,establishment",,
109,Nick's Pizza & Seafood,42.285507,-71.09131049999998,"1143 Blue Hill Avenue, Dorchester Center",OPERATIONAL,False,3.8,249,GOOGLE,"meal_delivery,restaurant,food,point_of_interest,establishment",,
110,Regal Pizza,42.2847552,-71.09208709999999,"686 Morton Street #1571, Mattapan",OPERATIONAL,False,1.7,288,GOOGLE,"restaurant,food,point_of_interest,establishment",,
111,Burger King,42.2682159,-71.0957627,"885 Cummins Highway, Mattapan",OPERATIONAL,False,3.8,856,GOOGLE,"restaurant,food,point_of_interest,establishment",819,True
112,Bon Appetit Restaurant,42.285415500000006,-71.09079919999998,"1138 Blue Hill Avenue, Dorchester Center",OPERATIONAL,False,3.7,251,GOOGLE,"restaurant,food,point_of_interest,establishment",,
113,Stalex Restaurant & Pizza,42.28781800000001,-71.0778253,"140 Norfolk Street, Dorchester",OPERATIONAL,False,3.5,193,GOOGLE,"meal_delivery,meal_takeaway,restaurant,food,point_of_interest,establishment",,
114,Brothers,42.26823899999999,-71.093367,"1638 Blue Hill Avenue, Mattapan",OPERATIONAL,False,4.4,496,GOOGLE,"restaurant,food,point_of_interest,establishment",,
115,P & R Ice Cream,42.2799498,-71.09258179999998,"1284 Blue Hill Avenue, Mattapan",OPERATIONAL,False,4.2,473,GOOGLE,"restaurant,food,point_of_interest,establishment",,
116,Top of the Hill Seafood & Subs,42.2774936,-71.0937194,"1357 Blue Hill Avenue, Mattapan",OPERATIONAL,False,4.1,217,GOOGLE,"meal_delivery,restaurant,food,point_of_interest,establishment",,
117,Joseph's Pizzeria,42.2834581,-71.09140959999998,"1200 Blue Hill Avenue, Mattapan",OPERATIONAL,False,3.7,95,GOOGLE,"restaurant,food,point_of_interest,establishment",16,False
118,Island Pride Function Hall,42.289988799999996,-71.0891877,"986 Blue Hill Avenue, Dorchester Center",OPERATIONAL,False,3.3,8,GOOGLE,"restaurant,food,point_of_interest,establishment",,
119,Le Foyer Bakery,42.2702778,-71.0927778,"132 Babson Street, Mattapan",OPERATIONAL,False,4.2,616,GOOGLE,"bakery,restaurant,food,point_of_interest,store,establishment",,
120,Dunkin',42.2804791,-71.0841453,"895 Morton Street, Boston",OPERATIONAL,False,3.5,640,GOOGLE,"bakery,meal_takeaway,cafe,restaurant,food,point_of_interest,store,establishment",,
121,Prestige Cuisine,42.28062070000001,-71.0828748,"924 Morton Street, Boston",OPERATIONAL,False,4.3,143,GOOGLE,"restaurant,food,point_of_interest,establishment",66,False
122,Morton's Pizza,42.2808179,-71.0838696,"898 Morton Street, Mattapan",OPERATIONAL,False,4.0,257,GOOGLE,"restaurant,food,point_of_interest,establishment",,
123,La Belle Capoise,42.2809982,-71.0847017,"884 Morton Street, Mattapan",OPERATIONAL,False,3.2,5,GOOGLE,"restaurant,food,point_of_interest,establishment",,
124,Blue Mountain,42.2810271,-71.08462,"884 Morton Street, Boston",OPERATIONAL,False,4.4,60,GOOGLE,"restaurant,food,point_of_interest,establishment",,
125,Simco's,42.2724706,-71.09394259999998,"1509 Blue Hill Avenue, Mattapan",OPERATIONAL,False,4.2,852,GOOGLE,"restaurant,food,point_of_interest,establishment",,
126,Safari African Restaurant,42.27798979999999,-71.0931145,"1336 Blue Hill Avenue, Mattapan",OPERATIONAL,False,4.4,168,GOOGLE,"restaurant,food,point_of_interest,establishment",31,False
127,Divine Merci Restaurant,42.2793476,-71.0928653,"1296 Blue Hill Avenue, Mattapan",OPERATIONAL,False,3.8,107,GOOGLE,"restaurant,food,point_of_interest,establishment",,
128,Golden Krust Caribbean Restaurant,42.2688532,-71.09334109999999,"1614 Blue Hill Avenue, Mattapan",OPERATIONAL,False,4.0,443,GOOGLE,"bakery,restaurant,food,point_of_interest,store,establishment",,
129,Invi restaurant,42.28333929999999,-71.0893827,"765 Morton Street, Mattapan",OPERATIONAL,False,4.4,64,GOOGLE,"restaurant,food,point_of_interest,establishment",,
130,Caribbean Flavors (Boston),42.282907200000004,-71.0913989,"1210 Blue Hill Avenue, Mattapan",OPERATIONAL,False,3.6,8,GOOGLE,"restaurant,food,point_of_interest,establishment",,
131,Dunkin',42.2670729,-71.1199577,"942 Hyde Park Avenue, Hyde Park",OPERATIONAL,False,4.1,306,GOOGLE,"bakery,meal_takeaway,cafe,restaurant,food,point_of_interest,store,establishment",,
132,Wendy's,42.2872193,-71.10657950000001,"530 American Legion Highway, Roslindale",OPERATIONAL,False,3.5,1786,GOOGLE,"restaurant,food,point_of_interest,establishment",101,True
133,Perla Del Sur,42.2850121,-71.11866909999998,"456 Hyde Park Avenue #3131, Roslindale",OPERATIONAL,False,4.5,130,GOOGLE,"restaurant,food,point_of_interest,establishment",,
134,La Taqueria,42.27870739999999,-71.11896479999999,"636 Hyde Park Avenue, Boston",OPERATIONAL,False,4.5,721,GOOGLE,"restaurant,food,point_of_interest,establishment",37,False
135,Oasis Cafe & Catering Services,42.27888890000001,-71.1188889,"630 Hyde Park Avenue, Boston",OPERATIONAL,False,4.3,49,GOOGLE,"restaurant,meal_delivery,food,point_of_interest,establishment",,
136,Popeyes Louisiana Kitchen,42.28296519999999,-71.11280140000002,"710 American Legion Highway, Roslindale",OPERATIONAL,False,3.9,666,GOOGLE,"restaurant,food,point_of_interest,establishment",,
137,Dunkin',42.28359349999999,-71.112507,"684 American Legion Highway, Roslindale",OPERATIONAL,False,4.0,314,GOOGLE,"bakery,meal_takeaway,cafe,restaurant,food,point_of_interest,store,establishment",,
138,Little Caesars Pizza,42.285183,-71.110052,"628 American Legion Highway, Roslindale",OPERATIONAL,False,3.9,226,GOOGLE,"meal_delivery,meal_takeaway,restaurant,food,point_of_interest,establishment",,
139,Nicholas Sub And Pizza Shop,42.28008310000001,-71.11867579999998,"600 Hyde Park Avenue, Roslindale",OPERATIONAL,False,4.3,196,GOOGLE,"meal_delivery,restaurant,food,point_of_interest,establishment",,
140,Boston House of Pizza,42.27455189999999,-71.1153686,"956 American Legion Highway, Roslindale",OPERATIONAL,False,4.2,267,GOOGLE,"meal_delivery,restaurant,food,point_of_interest,establishment",347,True
141,KFC,42.2856064,-71.11090209999998,"625 American Legion Highway, Roslindale",OPERATIONAL,False,3.8,362,GOOGLE,"restaurant,food,point_of_interest,establishment",24,False
142,Asian Thai,42.2588094,-71.1177451,"1064 River Street, Hyde Park",OPERATIONAL,False,4.4,124,GOOGLE,"meal_delivery,restaurant,food,point_of_interest,establishment",,
143,100X100 DELICIAS,42.27856569999999,-71.1194835,"635 Hyde Park Avenue, Boston",OPERATIONAL,False,4.0,338,GOOGLE,"restaurant,food,point_of_interest,establishment",,
144,Dragon Chef,42.286861200000004,-71.1273403,"4198 Washington Street, Roslindale",OPERATIONAL,False,3.7,98,GOOGLE,"meal_delivery,meal_takeaway,restaurant,food,point_of_interest,establishment",,
145,Jimmies Cafe,42.2859328,-71.12920489999998,"48 Corinth Street, Roslindale",OPERATIONAL,False,4.0,80,GOOGLE,"restaurant,food,point_of_interest,store,establishment",,
146,McDonald's,42.2828621,-71.11358729999998,"718 American Legion Highway, Roslindale",OPERATIONAL,False,3.4,1189,GOOGLE,"cafe,restaurant,food,point_of_interest,store,establishment",824,True
147,Mandarin House,42.27876679999999,-71.11933959999999,"633 Hyde Park Avenue, Roslindale",OPERATIONAL,False,4.0,112,GOOGLE,"restaurant,food,point_of_interest,establishment",62,False
148,Simco's,42.28542189999999,-71.11005300000001,"679 Canterbury Street, Roslindale",OPERATIONAL,False,4.0,415,GOOGLE,"restaurant,food,point_of_interest,establishment",,
