branch,num_of_instance
3811,27
965,27
867,27
1337,26
128,26
459,26
1945,26
1183,26
1877,26
3625,26
3587,26
2156,26
3166,26
3780,26
2240,26
2997,26
320,26
3487,26
3018,26
805,25
2747,25
3822,25
3830,25
2140,25
2373,25
1701,25
1503,25
1677,24
2277,24
3657,24
1946,24
1939,24
1419,24
1019,24
1427,24
2847,24
2835,24
672,23
589,23
1459,23
3511,23
483,23
692,23
2482,23
209,22
2459,22
52,22
1484,22
251,22
1409,22
1863,22
1447,22
1315,22
578,22
917,22
3426,22
3332,22
3348,22
862,21
2292,21
3825,21
3505,20
909,20
3601,20
1864,20
892,20
1091,20
312,20
1077,20
682,20
3749,19
1023,19
3125,19
1518,19
3194,19
1046,19
3310,19
2651,19
3660,19
3647,19
2774,19
1631,18
1498,18
1977,18
484,18
2924,18
3649,18
988,18
3835,18
908,18
3340,18
3407,18
2014,18
3394,18
3668,18
349,18
960,17
633,17
1471,17
3460,17
1456,17
2310,17
1512,17
39,17
3169,17
2167,17
2957,17
3542,17
3788,17
2078,17
227,16
313,16
3312,16
2926,16
3550,16
1443,16
1442,16
3818,16
876,16
3615,16
1832,16
3621,16
3355,15
1399,15
1544,15
1549,15
348,15
1589,15
2063,15
2040,15
811,15
2388,15
2323,15
3610,15
223,15
749,15
3284,15
3425,15
358,15
2266,15
422,14
1984,14
351,14
1251,14
2478,14
3013,14
2911,14
2253,14
3586,14
2002,14
1519,14
995,14
2335,14
574,14
1026,14
529,14
1123,14
1067,14
319,14
3492,14
3642,14
1619,13
729,13
783,13
2939,13
3449,13
1758,13
843,13
1762,13
368,13
1613,13
2157,13
103,13
1806,13
1163,13
3609,13
2788,13
1556,13
1786,13
288,13
1397,13
2786,13
3111,13
2445,13
2842,13
3434,12
2532,12
1107,12
2664,12
2627,12
621,12
2512,12
2809,12
2012,12
2881,12
468,12
509,12
3267,12
135,12
3095,12
3097,12
3237,12
3508,12
46,12
1685,12
160,12
2753,12
2280,12
956,12
3457,12
383,12
1935,11
3042,11
3061,11
2853,11
1354,11
709,11
1239,11
2637,11
