Date,AAPL,FB,NVDA,MSFT,JNJ,TSLA
2019-06-03,42.31690979003906,164.14999389648438,133.36854553222656,117.78939056396484,126.1356430053711,35.79399871826172
2019-06-04,43.865028381347656,167.5,142.56019592285156,121.0525894165039,128.3332061767578,38.720001220703125
2019-06-05,44.573158264160156,168.1699981689453,140.84548950195312,123.6769027709961,128.9569854736328,39.31800079345703
2019-06-06,45.22756576538086,168.3300018310547,143.33779907226562,125.63284301757812,131.16415405273438,41.189998626708984
2019-06-07,46.431392669677734,173.35000610351562,145.05250549316406,129.15158081054688,132.95870971679688,40.900001525878906
2019-06-10,47.024757385253906,174.82000732421875,147.97348022460938,130.33106994628906,133.40975952148438,42.57600021362305
2019-06-11,47.56928253173828,178.10000610351562,150.28634643554688,129.83961486816406,134.13906860351562,43.41999816894531
2019-06-12,47.41789245605469,175.0399932861328,145.75033569335938,129.2400665283203,135.96238708496094,41.85200119018555
2019-06-13,47.40812301635742,177.47000122070312,147.8040008544922,130.0558319091797,135.03155517578125,42.78200149536133
2019-06-14,47.06382369995117,181.3300018310547,144.19512939453125,130.18362426757812,134.4365692138672,42.98400115966797
2019-06-17,47.344642639160156,189.00999450683594,144.5839385986328,130.5767822265625,133.81280517578125,45.00600051879883
2019-06-18,48.45811080932617,188.47000122070312,152.40982055664062,132.84725952148438,134.57090759277344,44.948001861572266
2019-06-19,48.31648254394531,187.47999572753906,152.64907836914062,133.36819458007812,134.7820281982422,45.2859992980957
2019-06-20,48.70473861694336,189.52999877929688,153.6260528564453,134.60659790039062,136.47100830078125,43.92399978637695
2019-06-21,48.53868865966797,191.13999938964844,151.29324340820312,134.62628173828125,136.3558349609375,44.37200164794922
2019-06-24,48.4898567199707,192.60000610351562,152.1904754638672,135.42242431640625,137.2866973876953,44.72800064086914
2019-06-25,47.75486755371094,188.83999633789062,151.01409912109375,131.1468505859375,138.41908264160156,43.95199966430664
2019-06-26,48.78776168823242,187.66000366210938,158.77017211914062,131.63829040527344,136.12551879882812,43.854000091552734
2019-06-27,48.77311325073242,189.5,162.7279815673828,131.85450744628906,135.01234436035156,44.56800079345703
2019-06-28,48.328697204589844,193.0,163.72488403320312,131.6678009033203,133.6592559814453,44.69200134277344
2019-07-01,49.215084075927734,193.0,165.65892028808594,133.3583526611328,133.7360382080078,45.433998107910156
2019-07-02,49.503204345703125,195.0,161.7310333251953,134.24293518066406,134.37896728515625,44.90999984741211
2019-07-03,49.9134407043457,197.1999969482422,162.24945068359375,135.10789489746094,136.40383911132812,46.97999954223633
2019-07-05,49.869483947753906,196.39999389648438,159.73721313476562,134.71473693847656,134.89720153808594,46.619998931884766
2019-07-08,48.84147644042969,195.75999450683594,156.7265167236328,134.616455078125,135.2810516357422,46.06800079345703
2019-07-09,49.13938903808594,199.2100067138672,156.82620239257812,134.12501525878906,135.70330810546875,46.012001037597656
2019-07-10,49.62530517578125,202.72999572753906,159.56773376464844,135.49124145507812,135.51136779785156,47.784000396728516
2019-07-11,49.263916015625,201.22999572753906,165.76858520507812,136.0318145751953,134.45574951171875,47.720001220703125
2019-07-12,49.64240264892578,204.8699951171875,167.09451293945312,136.52325439453125,128.88021850585938,49.01599884033203
2019-07-15,50.108787536621094,203.91000366210938,166.75555419921875,136.52325439453125,129.27366638183594,50.70000076293945
2019-07-16,49.9354133605957,203.83999633789062,166.5661163330078,134.734375,127.1528549194336,50.47600173950195
2019-07-17,49.654605865478516,201.8000030517578,169.18804931640625,133.93826293945312,126.53868865966797,50.97200012207031
2019-07-18,50.21866989135742,200.77999877929688,169.65660095214844,134.085693359375,126.7402114868164,50.70800018310547
2019-07-19,49.46902847290039,198.36000061035156,167.9219512939453,134.28225708007812,125.05123901367188,51.63600158691406
2019-07-22,50.59959411621094,202.32000732421875,170.7930908203125,136.061279296875,123.4486312866211,51.13600158691406
2019-07-23,50.99516677856445,202.36000061035156,175.11973571777344,136.90658569335938,123.64054870605469,52.034000396728516
2019-07-24,50.95366668701172,204.66000366210938,178.1105194091797,138.31210327148438,124.54261016845703,52.97600173950195
2019-07-25,50.550758361816406,200.7100067138672,172.8467559814453,137.7911834716797,125.82853698730469,45.763999938964844
2019-07-26,50.72657012939453,199.75,174.5315704345703,138.92149353027344,125.45428466796875,45.608001708984375
2019-07-29,51.200279235839844,195.94000244140625,174.2823486328125,138.61680603027344,127.6518783569336,47.15399932861328
2019-07-30,50.98051834106445,197.0399932861328,174.91038513183594,137.9484405517578,126.74980163574219,48.45199966430664
2019-07-31,52.02074432373047,194.22999572753906,168.20106506347656,133.93826293945312,124.96487426757812,48.321998596191406
2019-08-01,50.89505386352539,192.72999572753906,164.41278076171875,135.69761657714844,125.03204345703125,46.77000045776367
2019-08-02,49.81821060180664,189.02000427246094,160.6942596435547,134.55746459960938,125.78056335449219,46.86800003051758
2019-08-05,47.210330963134766,181.72999572753906,150.3262176513672,129.94773864746094,124.90729522705078,45.66400146484375
2019-08-06,48.10404586791992,184.50999450683594,151.88145446777344,132.38528442382812,125.49267578125,46.150001525878906
2019-08-07,48.602176666259766,185.14999389648438,153.4167022705078,132.96517944335938,124.95528411865234,46.683998107910156
2019-08-08,49.67414093017578,190.16000366210938,157.7732391357422,136.51341247558594,126.36592864990234,47.65999984741211
2019-08-09,49.264808654785156,187.85000610351562,153.70579528808594,135.35362243652344,126.71141815185547,47.00199890136719
2019-08-12,49.139793395996094,185.3699951171875,150.9842071533203,133.46644592285156,126.60584259033203,45.801998138427734
2019-08-13,51.22079086303711,188.4499969482422,155.57005310058594,136.22840881347656,128.03570556640625,47.0
