GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PUMA5A,NAME,BTTRA,BTBGA,AJWME001
"G25000100117002","2014-2018",,,"Massachusetts","25","Barnstable County","001",,,"011700","2",,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 117, Barnstable County, Massachusetts",,,458
"G25000100117003","2014-2018",,,"Massachusetts","25","Barnstable County","001",,,"011700","3",,,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 117, Barnstable County, Massachusetts",,,638
"G25000100118011","2014-2018",,,"Massachusetts","25","Barnstable County","001",,,"011801","1",,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 118.01, Barnstable County, Massachusetts",,,1346
"G25000100118012","2014-2018",,,"Massachusetts","25","Barnstable County","001",,,"011801","2",,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 118.01, Barnstable County, Massachusetts",,,977
"G25000100118021","2014-2018",,,"Massachusetts","25","Barnstable County","001",,,"011802","1",,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 118.02, Barnstable County, Massachusetts",,,852
"G25000100118022","2014-2018",,,"Massachusetts","25","Barnstable County","001",,,"011802","2",,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 118.02, Barnstable County, Massachusetts",,,655
"G25000100118023","2014-2018",,,"Massachusetts","25","Barnstable County","001",,,"011802","3",,,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 118.02, Barnstable County, Massachusetts",,,1271
"G25000100118024","2014-2018",,,"Massachusetts","25","Barnstable County","001",,,"011802","4",,,,,,,,,,,,,,,,,,,,,,,"Block Group 4, Census Tract 118.02, Barnstable County, Massachusetts",,,1336
"G25000100120011","2014-2018",,,"Massachusetts","25","Barnstable County","001",,,"012001","1",,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 120.01, Barnstable County, Massachusetts",,,1443
"G25000100120012","2014-2018",,,"Massachusetts","25","Barnstable County","001",,,"012001","2",,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 120.01, Barnstable County, Massachusetts",,,1784
"G25000100120013","2014-2018",,,"Massachusetts","25","Barnstable County","001",,,"012001","3",,,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 120.01, Barnstable County, Massachusetts",,,1201
"G25000100120014","2014-2018",,,"Massachusetts","25","Barnstable County","001",,,"012001","4",,,,,,,,,,,,,,,,,,,,,,,"Block Group 4, Census Tract 120.01, Barnstable County, Massachusetts",,,1216
