parloc_id,muni,TransitFriendlyScore
M_173346_884669,Auburn,22.473737373737375
F_783526_2873015,Avon,28.473737373737375
F_988389_2701936,Barnstable,65.47373737373738
F_986671_2699415,Barnstable,62.97373737373738
F_987484_2699717,Barnstable,62.47373737373738
F_986432_2699992,Barnstable,61.47373737373738
F_989579_2700694,Barnstable,59.97373737373738
F_989869_2700672,Barnstable,59.97373737373738
F_989786_2700899,Barnstable,59.97373737373738
F_990001_2700854,Barnstable,58.97373737373738
F_988850_2703572,Barnstable,58.47373737373738
F_985981_2700630,Barnstable,57.97373737373738
F_987168_2702735,Barnstable,57.97373737373738
F_987059_2703096,Barnstable,56.47373737373738
F_988406_2699556,Barnstable,56.47373737373738
F_986980_2702526,Barnstable,54.97373737373738
F_986748_2704402,Barnstable,51.97373737373738
F_986624_2697219,Barnstable,51.47373737373738
F_986426_2697431,Barnstable,51.47373737373738
F_986573_2704478,Barnstable,49.47373737373738
F_981413_2699845,Barnstable,46.47373737373738
F_985360_2703020,Barnstable,45.97373737373738
F_985308_2703081,Barnstable,45.97373737373738
F_985362_2703204,Barnstable,45.97373737373738
F_982048_2698913,Barnstable,43.97373737373738
F_985222_2702218,Barnstable,43.97373737373738
F_980686_2701779,Barnstable,41.97373737373738
F_983552_2704100,Barnstable,41.97373737373738
F_984819_2703251,Barnstable,40.97373737373738
F_985723_2700863,Barnstable,40.47373737373738
F_980836_2700802,Barnstable,39.97373737373738
F_980800_2702311,Barnstable,39.97373737373738
F_980628_2700999,Barnstable,39.97373737373738
F_963430_2720016,Barnstable,37.47373737373738
F_981416_2706975,Barnstable,36.47373737373738
F_984895_2702924,Barnstable,36.47373737373738
F_982149_2700963,Barnstable,35.47373737373738
F_984363_2703488,Barnstable,35.47373737373738
F_979428_2707458,Barnstable,33.97373737373738
F_981842_2703782,Barnstable,32.97373737373738
F_978304_2703540,Barnstable,32.47373737373738
F_978155_2703588,Barnstable,32.47373737373738
F_978019_2703668,Barnstable,32.47373737373738
F_978178_2703746,Barnstable,32.47373737373738
F_978249_2703815,Barnstable,32.47373737373738
